,,,,,,,,,
Name of the file,Topic,Participant,CN,Dialogue,Translation,CS,Comments,,
,Instances When You Use Sheng,Interviewer,,Wh-what kind of a situations would make you use Sheng?,Wh-what kind of a situations would make you use Sheng?,,,,
,,Donna,,"Sheng? First of all, we are the Y generation (smiling) and my parents if not X, maybe a generation before that (both are smiling).  So as a Y generation-every generation has their own kind of language, by the way. And for the Y generation trust me, Sheng has to come in. Yea. So that is why we use Sheng. And then eh:, what have you said?  ","Sheng? First of all, we are the Y generation (smiling) and my parents if not X, maybe a generation before that (both are smiling).  So as a Y generation-every generation has their own kind of language, by the way. And for the Y generation trust me, Sheng has to come in. Yea. So that is why we use Sheng. And then eh:, what have you said?  ",,,,
,,Interviewer,,"I've just-I've just asked. Ok, maybe..what topics maybe would you be discussing so that you want to exclude your parents?","I've just-I've just asked. Ok, maybe..what topics maybe would you be discussing so that you want to exclude your parents?",,,,
,,Donna,,"Umm, what kind of topics? Anything-may-ok-I might be saying something that my parent did not do or did and I want to exclude them. I will use the Sheng. Or I will: use the Sheng also when uuh, they haven't done something for me and I want them. So I'm first seek-seeking the opinion of my brothers or my sisters before I go and present the case.","Umm, what kind of topics? Anything-may-ok-I might be saying something that my parent did not do or did and I want to exclude them. I will use the Sheng. Or I will: use the Sheng also when uuh, they haven't done something for me and I want them. So I'm first seek-seeking the opinion of my brothers or my sisters before I go and present the case.",,,,
,,Interviewer,,Okay.,Okay.,,,,
,,Donna,,Yes.,Yes.,,,,
,,Interviewer,,So sometimes you think-okay they are understanding of what you want to say might be offensive or something?,So sometimes you think-okay they are understanding of what you want to say might be offensive or something?,,,,
,,Donna,,"To them. Yes. They might reject so I have to seek for a way that when I go and present it to them, they are going to accept. Yea so I just have a discussion with my brothers or my sisters first of all ""If I go and tell them like this <Swahili label='quotation'>watakubali? Eh, unaonaje? Eh {ama nini}</Swahili label='quotation'>=""","To them. Yes. They might reject so I have to seek for a way that when I go and present it to them, they are going to accept. Yea so I just have a discussion with my brothers or my sisters first of all ""If I go and tell them like this <English>will they agree? Eh, what do you think? Eh {or what}</English>=""",CS,SM: Quotation.,,
,,Interviewer,,<Swahili>Saa unatatafuta maoni</Swahili>=,<English>Now you seek opinions</English>=,,,,
,,Donna,,So you seek for opinions first of all. ,So you seek for opinions first of all. ,,,,
,Language Use With Friends,Interviewer,00:04:01mins,"<Swahili>Na ukiwa na marafiki zako, huwa unatumia lugha gani</Swahili>?","<English>And when you are with your friends, which language do you usually use</English>?",,,,
,,Donna,,Which friends? Here?,Which friends? Here?,,,,
,,Interviewer,,Maybe-okay wherever you are=,Maybe-okay wherever you are=,,,,
,,Donna,,Wherever I am=,Wherever I am=,,,,
,,Interviewer,,How many-or which kind of friends do you have?,How many-or which kind of friends do you have?,,,,
,,Donna,,"Mm, the kind of friends-by the w-yea it also depends on the kind of friends that you have. If you have friends who mind-by the way, I'm not very good in Sheng.  That one I will not lie so, instances that-okay most of the instances I will tend to use English or Kiswahili. And since Kiswahili is more structured, it's <Swahili label='low expertise'>ngumu kidogo</Swahili label='low expertise'> (she laughs) English will be the ideal language to use here. As for the Sheng, this that one time when you have those yo-yo people, those kind of yo-yo friend and, you kind of want to fit in or you kind of want to accomodate them. Yea, not actually fit in you kind of want to accomodate their talk. ","Mm, the kind of friends-by the w-yea it also depends on the kind of friends that you have. If you have friends who mind-by the way, I'm not very good in Sheng.  That one I will not lie so, instances that-okay most of the instances I will tend to use English or Kiswahili. And since Kiswahili is more structured, it's <English>a little hard</English> (she laughs) English will be the ideal language to use here. As for the Sheng, this that one time when you have those yo-yo people, those kind of yo-yo friend and, you kind of want to fit in or you kind of want to accomodate them. Yea, not actually fit in you kind of want to accomodate their talk. ",CS,"SM: Low expertise OLF: She admits that Swahili is ""little hard""",,
,,Interviewer,,Okay.,Okay.,,,,
,,Donna,,"Because there are people who just come and tell you in Sheng, and since you do not want to put off the person, or you want to listen to what they are saying. You don't want to cut off that communication immediately, so I will accommodate them with the kind of language they've approached me. ","Because there are people who just come and tell you in Sheng, and since you do not want to put off the person, or you want to listen to what they are saying. You don't want to cut off that communication immediately, so I will accommodate them with the kind of language they've approached me. ",,,,
,,Interviewer,,Okay.,Okay.,,,,
,,Donna,,In instances that I do not understand I'll just have to ask for a clarification.,In instances that I do not understand I'll just have to ask for a clarification.,,,,
,,Interviewer,,So you can say that you: normally fit in their language system or they fit in yours?,So you can say that you: normally fit in their language system or they fit in yours?,,,,
,,Donna,,"It can be either way. Yes. If I'm using English and I see that it's a person who..doesn't know English or a person who their language is just limited to the Sheng, then I will try and accommodate them so that they can-I can fit in theirs.  I'm the one accomodating but I'm trying to fit in theirs. But if it's somebody who understands English, sometimes they could just be talking in their Sheng or whatever it is that they're using and I can be using my English or my Kiswahili as long as there's that kind of communication. Yes.","It can be either way. Yes. If I'm using English and I see that it's a person who..doesn't know English or a person who their language is just limited to the Sheng, then I will try and accommodate them so that they can-I can fit in theirs.  I'm the one accomodating but I'm trying to fit in theirs. But if it's somebody who understands English, sometimes they could just be talking in their Sheng or whatever it is that they're using and I can be using my English or my Kiswahili as long as there's that kind of communication. Yes.",,,,
,Language Use in School,Interviewer,00:06:04mins,"How about here in school, which language do you use?","How about here in school, which language do you use?",,,,
,,Donna,,"In school. First of all, I: use-I've used first of all severally, (she laughs) ","In school. First of all, I: use-I've used first of all severally, (she laughs) ",,,,
,,Interviewer,,It's allowed.,It's allowed.,,,,
,,Donna,,"It's allowed. Okay. I use English. Most of the settings are official. Half of-three quarters of what we actually do here is official business and English is the best language to conduct official business.  And now since I'm used to that English I will tend to be using English most of the time. But I also use Kiswahili other times if I know how to structure it. Or sometimes I just break it as long as the message is home. And Sheng also, yes. Though I'm not very good in it but I try somehow. And then there's this French. Yes, I also: speak in French, at times.  While not forgetting=","It's allowed. Okay. I use English. Most of the settings are official. Half of-three quarters of what we actually do here is official business and English is the best language to conduct official business.  And now since I'm used to that English I will tend to be using English most of the time. But I also use Kiswahili other times if I know how to structure it. Or sometimes I just break it as long as the message is home. And Sheng also, yes. Though I'm not very good in it but I try somehow. And then there's this French. Yes, I also: speak in French, at times.  While not forgetting=",,,,
,,Interviewer,,Interesting.,Interesting.,,,,
,,Donna,,(she laughs) Not forgetting Kipsigis.  If you meet somebody you share-somebody. Somebody from home or somebody who knows your language. You know there is that sense of connection there is that sense of bringing closer to home so I will tend to use the Kipsigis. So I use all of them. Those are like five.,(she laughs) Not forgetting Kipsigis.  If you meet somebody you share-somebody. Somebody from home or somebody who knows your language. You know there is that sense of connection there is that sense of bringing closer to home so I will tend to use the Kipsigis. So I use all of them. Those are like five.,,,,
,Importance of English,Interviewer,00:07:31mins,"English, do you think it's important to use English, to know English?","English, do you think it's important to use English, to know English?",,,,
,,Donna,,"Mmm, it is important to know English. It is uuh, it's a source-it's sort of a connection between you and any other speaker who does not understand any other of those languages that I, I mentioned: English, French, Ki-no, not English sorry. Kiswahili, French, Sheng and Kipsigis. And, if it's an official kind of situation, I will use Englislh. Yea.  So English is important. It is.","Mmm, it is important to know English. It is uuh, it's a source-it's sort of a connection between you and any other speaker who does not understand any other of those languages that I, I mentioned: English, French, Ki-no, not English sorry. Kiswahili, French, Sheng and Kipsigis. And, if it's an official kind of situation, I will use Englislh. Yea.  So English is important. It is.",,,,
,,Interviewer,,So-so you think English is..is used for official matters?,So-so you think English is..is used for official matters?,,,,
,,Donna,,Yes.,Yes.,,,,
,,Interviewer,,So-but they're in hostels when you speak English you are-{it's not so much official}.,So-but they're in hostels when you speak English you are-{it's not so much official}.,,,,
,,Donna,,"{It is something official}. No. When I speak in English back in my hostel it is something I'm used to. Yes English is an official language and if you tend to use something more often you get used to it, so I will use it not necessarily to conduct something official but because I've been used to the English. And then in my-if my vocabulary in this other language is limited, the choice would be English. Yes. But occasionally mixing it with maybe Kiswahili, Kipsigis..French for those French speakers who understand or if you're really feeling French, yes. (she laughs)","{It is something official}. No. When I speak in English back in my hostel it is something I'm used to. Yes English is an official language and if you tend to use something more often you get used to it, so I will use it not necessarily to conduct something official but because I've been used to the English. And then in my-if my vocabulary in this other language is limited, the choice would be English. Yes. But occasionally mixing it with maybe Kiswahili, Kipsigis..French for those French speakers who understand or if you're really feeling French, yes. (she laughs)",,,,
,,Interviewer,,"And uh, you talk about French. Now when maybe you meet your-your-your fellow colleagues who-who speak French or whom you-you learned French together in-in class. Which language is so spontaneous? Or so spontaneously comes to you and you start speaking? ","And uh, you talk about French. Now when maybe you meet your-your-your fellow colleagues who-who speak French or whom you-you learned French together in-in class. Which language is so spontaneous? Or so spontaneously comes to you and you start speaking? ",,,,
,,Donna,,"<Swahili label='quotation'>""Umemaliza kazi""</Swahili label='quotation'> that's an example of a situation if you meet somebody. Eh he, of course you have {one of those things that you share}. (lightly laughs as she's talking)","<English>""Are you done with your work""</English> that's an example of a situation if you meet somebody. Eh he, of course you have {one of those things that you share}. (lightly laughs as she's talking)",CS,SM: Quotation.,,
,,Interviewer,,{And you-you're talking to} a French speaking person?,{And you-you're talking to} a French speaking person?,,,,
,,Donna,,"A French speaking person. Eh! Now that French speaking person it depends. If it's a teacher, you will try. You don't disappoint them by:-and so you try and throw in some French words there, some English words there. But if it's a student and maybe you'll-the kind of structure that you want to use in French. Maybe the kind of sentence that you want to construct is hard. It's clear you-the want-the word-the kind of sentence you want to construct is hard, I'll just use Kiswahili or English. Yes.","A French speaking person. Eh! Now that French speaking person it depends. If it's a teacher, you will try. You don't disappoint them by:-and so you try and throw in some French words there, some English words there. But if it's a student and maybe you'll-the kind of structure that you want to use in French. Maybe the kind of sentence that you want to construct is hard. It's clear you-the want-the word-the kind of sentence you want to construct is hard, I'll just use Kiswahili or English. Yes.",,,,
,,Interviewer,00:10:11mins,Now back there in the hostels do you have students who understand French maybe? ,Now back there in the hostels do you have students who understand French maybe? ,,,,
,,Donna,,"I have a classmate who lives there,","I have a classmate who lives there,",,,,
,,Interviewer,,Okay.,Okay.,,,,
,,Donna,,And I assume that with that very little knowledge that she has of French I can communicate to her something once in a while in French.,And I assume that with that very little knowledge that she has of French I can communicate to her something once in a while in French.,,,,
,,Interviewer,,Okay. Now when you communicate using French do you feel that you are being so official yet you are there in an informal setting? You are in the hostel.,Okay. Now when you communicate using French do you feel that you are being so official yet you are there in an informal setting? You are in the hostel.,,,,
,,Donna,,"No, I-I don’t feel-feel official. I feel like I'm: trying to..practice my language of French (laughs) which is something very good. ","No, I-I don’t feel-feel official. I feel like I'm: trying to..practice my language of French (laughs) which is something very good. ",,,,
,,Interviewer,,"So you can treat French just like any other language, English-I mean eh, Kiswahili and Sheng?","So you can treat French just like any other language, English-I mean eh, Kiswahili and Sheng?",,,,
,,Donna,,"Practice makes perfect. (she laughs). So I tend to-yea, if you are practicing. But English, <Swahili label='low distance'>hiyo</Swahili label='low distance'> English. English you've been learning it all through, eh? Even you. I am sure the kind of education that <Swahili>umepitia imekuwa tu Kiingereza</Swahili>, all along. And then, we were colonized by who? The Britons. And they're the ones who brought that English along with them. So, there was, there's no way I'm going to compare English and eh, my use of English and my use of Kipsigis, or my use of French. French it is something I-I have just acquired the other day. Okay, maybe it might have been in primary. But it-there are no-not many situations require me to use French. But the English informs in wherever-in the currencies-in everything it is English. So I view it as a more formal language than those other languages. ","Practice makes perfect. (she laughs). So I tend to-yea, if you are practicing. But English, <English>that</English> English. English you've been learning it all through, eh? Even you. I am sure the kind of education that <English>you have gone through has been only English</English>, all along. And then, we were colonized by who? The Britons. And they're the ones who brought that English along with them. So, there was, there's no way I'm going to compare English and eh, my use of English and my use of Kipsigis, or my use of French. French it is something I-I have just acquired the other day. Okay, maybe it might have been in primary. But it-there are no-not many situations require me to use French. But the English informs in wherever-in the currencies-in everything it is English. So I view it as a more formal language than those other languages. ",CS,"SM: Low distance OLF: She refers to English as 'that' English, thus distancing herself, not 'owning' it as hers…although she says she is fluent in it, by practice/force.",,
,,Interviewer,,French included? ,French included? ,,,,
,,Donna,,Mmh.,Mmh.,,,,
,Importance of Native Languages,Interviewer,00:11:56mins,"Now talking of a native language, do you think it is important for anyone to know a not-a native language?","Now talking of a native language, do you think it is important for anyone to know a not-a native language?",,,,
,,Donna,,Yes. By native you mean now like Kipsigis?,Yes. By native you mean now like Kipsigis?,,,,
,,Interviewer,,"Yea. Mean-yea,your mother tongue.","Yea. Mean-yea,your mother tongue.",,,,
,,Donna,,"My mother tongue. It is important. You have to have come from somewhere you just didn’t fall from the sky with English. Yea. Soo, nat-ahh native language is important it gives you that sense of identity of belonging to somewhere. ","My mother tongue. It is important. You have to have come from somewhere you just didn’t fall from the sky with English. Yea. Soo, nat-ahh native language is important it gives you that sense of identity of belonging to somewhere. ",,,,
,,Interviewer,,You have-here in school you have heard or experienced some students who-who may not have a native language. What do you think they miss as compared to you who has a native language?,You have-here in school you have heard or experienced some students who-who may not have a native language. What do you think they miss as compared to you who has a native language?,,,,
,,Donna,,"Mmm. It depends on the kind of language that they first acquired. If-if uuh, the situation-if wherever they were they spoke their English first or they spoke Kiswahili first, that is the language-that actually would be their first language. But if I acquired Kipsigis first, that is my first language then the kind of people that you're also around if they're speaking Kipsigis, you will get the vocabulary for that language for Kipsigis. But if they're speaking English or Kiswahili you would also get the vocabulary for English or Kiswahili.  So for somebody who doesn't have a native language, they belong somewhere. It is only that they do not know. Not that they do not have, they do not know how to speak it.","Mmm. It depends on the kind of language that they first acquired. If-if uuh, the situation-if wherever they were they spoke their English first or they spoke Kiswahili first, that is the language-that actually would be their first language. But if I acquired Kipsigis first, that is my first language then the kind of people that you're also around if they're speaking Kipsigis, you will get the vocabulary for that language for Kipsigis. But if they're speaking English or Kiswahili you would also get the vocabulary for English or Kiswahili.  So for somebody who doesn't have a native language, they belong somewhere. It is only that they do not know. Not that they do not have, they do not know how to speak it.",,,She does not seem to understand the question and doesn’t respond to it properly.,
,,Interviewer,,Do-do you think there's a shortcoming in not knowing their native language?,Do-do you think there's a shortcoming in not knowing their native language?,,,Interviewer tries to ask the same question in another way.,
,,Donna,,"Mm. Okay, half of the businesses that we conduct-it depends on also where you are.  Half of everything that you conduct it's in English. At least that is eh, accepted formal system. English or Kiswahili. Then those other ones are just an added advantage. Yes. But there is also joy in knowing so many languages. Just imagine me I started- me I know Kipsigis, I know English, I know Kiswahili, I know French. And which other one? There were five. And maybe a little bit of Chinese. Yea! You feel like you can grasp things. You are more advantaged then the person who knows fewer languages.","Mm. Okay, half of the businesses that we conduct-it depends on also where you are.  Half of everything that you conduct it's in English. At least that is eh, accepted formal system. English or Kiswahili. Then those other ones are just an added advantage. Yes. But there is also joy in knowing so many languages. Just imagine me I started- me I know Kipsigis, I know English, I know Kiswahili, I know French. And which other one? There were five. And maybe a little bit of Chinese. Yea! You feel like you can grasp things. You are more advantaged then the person who knows fewer languages.",,,She is still not quite answering to the intent of the question.  Or perhaps she isn't listening. She is preoccupied establishing her expertise with her multi-lingualism.,
,,Interviewer,,So you feel you are more language reach when you=,So you feel you are more language reach when you=,,,,
,,Donna,,"Yes, you feel that you have so many ways of expressing yourself. If I lack the English I can use my Kiswahili. If I lack my Kiswahili and I go to a situation whereby I see people are Kalenjin speakers, and I need something from there, I will have to go and speak that Kalenjin. Actually conversational language is supposed to help you attain something, it's not just ""there's a flower"". Yea, it is for some purpose, to acquire something. Transactional, not just to inform me. So if I need something: <Unknown Language>""Kona!<Unknown Language> Give me! <Swahili label='quotation'>Nipe!</Swahili label='quotation'>"" Yes, {I'll have} acquired whatever it is that is needed.","Yes, you feel that you have so many ways of expressing yourself. If I lack the English I can use my Kiswahili. If I lack my Kiswahili and I go to a situation whereby I see people are Kalenjin speakers, and I need something from there, I will have to go and speak that Kalenjin. Actually conversational language is supposed to help you attain something, it's not just ""there's a flower"". Yea, it is for some purpose, to acquire something. Transactional, not just to inform me. So if I need something: <Unknown Language>""Kona!</Unknown Language> Give me! <English>Give me!</English>"" Yes, {I'll have} acquired whatever it is that is needed.",CS,SM: Quotation,,
,,Interviewer,00:15:00mins,"{How about} <Swahili>Tuseme ya kwamba, wale ambao hawaelewi lugha ya mama, wanaupungufu fulani,</Swahili> ","{How about} <English>Let's say that those who don't know their mothertongue, do they have some kind of shortcoming,</English> ",CS,Unmarked.,"Interviewer tries for a third time to ask the same question in a different way, using Kiswahili instead of English this time.",
,,Donna,,Yes.,Yes.,,,,
,,Interviewer,,"<Swahili>kwasababu kuna jambo ambalo wangelipenda kusema,ama wangelipenda kupata lakini hawana lugha la</Swahili>-I mean-<Swahili>lugha ya: ku- </Swahili>",<English>because there is something they might want to say or to understand but they don't have the language of-</English> I mean-<English>language to- </English>,CS,Unmarked.,,
,,Donna,,<Swahili>Kui:</Swahili>,<English>To:</English>,,,,
,,Interviewer,,<Swahili>Kuasilisha ujumbe.</Swahili>,<English>Deliver the message.</English>,,,,
,,Donna,,"Yes. See the way you-Kiswahili is hard. You just- (she laughs) you said a sentence in-in Kiswahili and I'm really trying to answer it. But I'll miss out on the-those ""a"" ""wa"" things, ""ki"" ""wi"" things. And ""mu"" ""wa"" things, yes. On your question, mm mhh. They are disadvantaged. <Swahili label='accomodation'>Wako na upungufu mahari</Swahili label='accomodation'>. (she laughs)","Yes. See the way you-Kiswahili is hard. You just- (she laughs) you said a sentence in-in Kiswahili and I'm really trying to answer it. But I'll miss out on the-those ""a"" ""wa"" things, ""ki"" ""wi"" things. And ""mu"" ""wa"" things, yes. On your question, mm mhh. They are disadvantaged. <English>They have a shortcoming somewhere</English>. (she laughs)",CS,SM: Accomodation OLF: She answers the question using the same language used by the interviewer in asking it.,,
,,Interviewer,,<Swahili>Wanaupungufu fulani?</Swahili>,<English>They have a certain shortcoming?</English>,,,,
,,Donna,,Yes.,Yes.,,,,
,,Interviewer,,"<Swahili>Naam. Na wewe umesema kwamba una umelisi wa lugha kama takriban tano hivi, umetaja Kifaransa, ukataja Kingereza, ukataja Kipsigis, ukataja pia Kiswahili na Sheng?</Swahili>","<English>Yes. And you, you say that you have knowledge of about five languages. You have mentioned French, you mentioned English, you mentioned Kipsigis, you mentioned also Swahili and Sheng?</English>",,,Interviewer gives up and decides to let go of that question.,
,,Donna,,"Mm, oh yes.","Mm, oh yes.",,,,
,,Interviewer,,<Swahili>Umejipata katika: mahali ambapo unachanganya hizi lugha?</Swahili>,<English>Have you found yourself in a situation where you mix these languages?</English>,,,,
,,Donna,,Mm. I mix=,Mm. I mix=,,,,
,,Interviewer,,<Swahili>Katika mazungumzo.</Swahili>,<English>In a conversation.</English>,,,,
,,Donna,,"Yes. <Swahili label='accomodation'>Nime-nimechangaya</Swahili label='accomodation'>. You will just allow me to speak in my English (laughs) cuz it flows better. Eeh. Na, I have found myself in situations whereby I mix eh, but it depends. I-I'll mix with friends. I'll mix the-the: English, Kiswahili, Sheng and any other kind of language.  By the way, there's a language called Franglish, that is French mixed with English.","Yes. <English>I have-I have mixed</English>. You will just allow me to speak in my English (laughs) cuz it flows better. Eeh. Na, I have found myself in situations whereby I mix eh, but it depends. I-I'll mix with friends. I'll mix the-the: English, Kiswahili, Sheng and any other kind of language.  By the way, there's a language called Franglish, that is French mixed with English.",CS,SM: Accomodation OLF: Donna attempts to answer question using the same language used by the interviewer in asking it.,"Donna tries to respond in Kiswahili but gives up and requests to be allowed to use English. She sounds slightly embarrased. Perhaps because interviewer had just reviewed all the languages she claims to speak, including Kiswahili.  ",
,,Interviewer,,So Frang?,So Frang?,,,,
,,Donna,,Franglish.,Franglish.,,,,
,,Interviewer,,Franglish.,Franglish.,,,,
,,Donna,,Yes. ,Yes. ,,,,
,,Interviewer,,That's a new language.,That's a new language.,,,,
,,Donna,,"It's a new language. It's actually there. The way you can also say Shenglish. Though nobody has come up with that. Perhaps I could come up with it. Yes. See you remember all those things of coining, blending in language. Yea, so it's been coined or it's been blended, one of those. Mm hmm.","It's a new language. It's actually there. The way you can also say Shenglish. Though nobody has come up with that. Perhaps I could come up with it. Yes. See you remember all those things of coining, blending in language. Yea, so it's been coined or it's been blended, one of those. Mm hmm.",,,,
,,Interviewer,,So that describes a case where you mix {French} and English?,So that describes a case where you mix {French} and English?,,,,
,,Donna,,{The French}. Yes.,{The French}. Yes.,,,,
,,Interviewer,,French and English.,French and English.,,,,
,,Donna,,"And English. So some situations will require that you mix. Even you, you started the conversation with English <Swahili label ='exemplification'>halafu sijui nini ikakushika katikati ukaanza kwenda Kiswahili</Swahili label ='exemplification'> that's like the way I-the same way I'm using it. You see? Kiswahili I'm using it as...as-I don't know in what kind of situation but you've heard the way I've used my Kiswahili statement, yea. So you mix the same thing with Sheng. You'll find somebody <Swahili>mwenye anakwambia</Swahili> <Unknown Language label ='quotation'>""eeh, ngori hapa""</Unknown Language label ='quotation'> whatever. Those words are. Yea you'll somehow mix. Mmm.","And English. So some situations will require that you mix. Even you, you started the conversation with English <English>and then I don't know what caught you in the middle you started to go Swahili</English> that's like the way I-the same way I'm using it. You see? Kiswahili I'm using it as...as-I don't know in what kind of situation but you've heard the way I've used my Kiswahili statement, yea. So you mix the same thing with Sheng. You'll find somebody <English>who tells you</English> <Unknown Language>""eeh, ngori hapa""</Unknown Language> whatever. Those words are. Yea you'll somehow mix. Mmm.",CS,SM: Exemplification. OLF: Switches to Swahili to exemplify how she codeswitches.,,
,Reasons for Mixing Languages,Interviewer,00:17:53mins,You have noted that you normally mix languages maybe in a conversation. Now when are these situations and maybe for what reasons do you mix these languages?,You have noted that you normally mix languages maybe in a conversation. Now when are these situations and maybe for what reasons do you mix these languages?,,,,
,,Donna,,"Umm,what reasons? Umm:","Umm,what reasons? Umm:",,,,
,,Interviewer,,And maybe in what situations?,And maybe in what situations?,,,,
,,Donna,,"It's because I can just-I can also use them. Why have it and not use it? Yea. It's because I can, that is one of the reasons. Other reasons, it's umm, to accommodate other people. Yea. If I'm speaking to a cleaner probably, huyo mwenye ana cleaning hapo hivyo school of arts. Then I just come ""Hi, excuse me"" And maybe I needed a teacher, and maybe I have seen the teacher come somewhere. Then aah, she's there cleaning. He or she is there cleaning. <Swahili label ='quotation'>Kafanya namuuliza ""hey sasa, habari ya asubuhi. Umeona huyo mwalimu kwenye ameingia? Ameingia ofisi gani?""</Swahili label ='quotation'> Yea, or I can come, <Swahili label ='quotation'>""Habari yako?</Swahili label ='quotation'> Have you seen?"" It also depends on, their language. You know the way also somebody is, you can tell if they can be having the knowledge of a certain language English for example. For the workers who are here, at least they know some English. The environment is the one that is allowing them to know some English. So I can mix, the English.  And then for you, if I come and find you in an office, I can decide to speak to you both in Kiswahili and English. Just to-yea, just like that. To just-for fun. (laughs)","It's because I can just-I can also use them. Why have it and not use it? Yea. It's because I can, that is one of the reasons. Other reasons, it's umm, to accommodate other people. Yea. If I'm speaking to a cleaner probably, huyo mwenye ana cleaning hapo hivyo school of arts. Then I just come ""Hi, excuse me"" And maybe I needed a teacher, and maybe I have seen the teacher come somewhere. Then aah, she's there cleaning. He or she is there cleaning. <English>I ask her ""hey what's up, good morning. Have you seen that teacher where s/he has gone? Which office has s/he gone into?""</English> Yea, or I can come, <English>""How are you?</English> Have you seen?"" It also depends on, their language. You know the way also somebody is, you can tell if they can be having the knowledge of a certain language English for example. For the workers who are here, at least they know some English. The environment is the one that is allowing them to know some English. So I can mix, the English.  And then for you, if I come and find you in an office, I can decide to speak to you both in Kiswahili and English. Just to-yea, just like that. To just-for fun. (laughs)",CS,SM: Quotation.,,
,,Interviewer,,Mm mmh. So it's fun. It's fun mixing these languages.,Mm mmh. So it's fun. It's fun mixing these languages.,,,,
,,Donna,,Yes. And since you can why not?,Yes. And since you can why not?,,,,
,,Interviewer,,"No wonder you talk of Franglish, and-","No wonder you talk of Franglish, and-",,,,
,,Donna,,"(laughs) The Franglish, yes. But though our Franglish, for some of us it's terrible. Okay, umm, there are people in my class maybe who might know the-the French. So if we are using the Franglish it's just for fun. Yea. I can ""good morning"" and mix some French words there. Or I can just say a statement, start in French then reach the parts for the conjugation and I put an English word there. Cuz for the French, the conjugation is really different-difficult.  If I say so. So yea, since I came, you mix and since you need to practice sometimes. Yea. And to add flavor. Language is flavorful. When you play with it it's-it's-<Swahili label ='emphasis'>ni tamu</Swahili label ='emphasis'>.","(laughs) The Franglish, yes. But though our Franglish, for some of us it's terrible. Okay, umm, there are people in my class maybe who might know the-the French. So if we are using the Franglish it's just for fun. Yea. I can ""good morning"" and mix some French words there. Or I can just say a statement, start in French then reach the parts for the conjugation and I put an English word there. Cuz for the French, the conjugation is really different-difficult.  If I say so. So yea, since I came, you mix and since you need to practice sometimes. Yea. And to add flavor. Language is flavorful. When you play with it it's-it's-<English>it's sweet</English>.",CS,SM: Emphasis. OLF: Codeswitched to drive home the point about the sweetness of language in a way that she deemed had the most impact.,,
