,,Mary 1,,Most of the  time I mix English and<Swahili>Kiswhili yah.,Most of the time I mix English<English>Swahili yah,,,
,,Interviwer ,,mmm!! Ok (long pause),mmm!! Ok (long pause),,,
,,Mary 1,,Ok well I tend to think it is interesting when you are mixing launguages<Swahili>kwanza</Swahili>mostly English<Swahili>na Kiswahili</Swahili>as in it comes naturally and you enjoy it so you find yourself most of the time wanting to mix yah.,Ok well I tend to think it is interesting when you are mixing launguages<English>first</English>mostly English<english>and swahili</English>as in it comes naturally and you enjoy it so you find yourself most of the time wanting to mix yah.,,,
,,Interviwer ,,Is it because you friends also do that?,Is it because you friends also do that?,,,
,,Mary 1,,Yah (agree) most of my friends also do that yah.,Yah (agree) most of my friends also do that yah.,,,
,,Interviwer ,,Now in the way you speak do you notice any difference? Between the way you speak and the way  other students talk?,Now in the way you speak do you notice any difference? Between the way you speak and the way  other students talk?,,,
,,Mary 1,,"Yah (agree) there is a big difference<Swahili>kwanza</Swahili>accent, people from different areas have different accents<Swahili label=""power"">kama vile</Swahili>me<Swahili>ujienjoy</Swahili>when my luo friends are talking they have nice English or<Swahili>Swahili</Swahili>and then now  you hear the luo accent as in it is fun. Yah people speak diffently yah. mostly I tend to think<Swahili>ni kwa sababu ya penye mtu ametoka.","Yah (agree) there is a big difference<English>first<English>accent, people from different areas have different accents<English>like when</English>me<English>enjoy myself.</English>when my luo friends are talking they have nice English or<English>Swahili</English>and then now  you hear the luo accent as in it is fun. Yah people speak diffently yah. mostly I tend to think<English>it's because of where someone comes from. ",,"SM: Power, OLF; Mary illustrates how accent influence the identity when it comes to accent.",
,Accent,Interviwer ,,Ok<Swahili>venye wewe umetoka</Swahili>that place Nyeri do you think you have the accent  that identifies you with that place ?,Ok<English>since you are</English>that place Nyeri do you think you have the accent  that identifies you with that place ?,,,
,,Mary 1,,"Personally<Swahili>sidhani niko na</Swahili>accent<Swahili>ya Kikuyu</Swahili>and the reason been<Swahili>kwetu sana sana sisi uongea Kiswahili, ndio maana sina hiyo</Swahili>accent, but aah<Swahili>kama</Swahili>my friends, most of them<Swahili label=""referring"">wako nayo ya Kikuyu</Swahili>like aah! when somebody as in they have a problem with L and R as in<Swahili>wakiongea unaskia</Swahili>L and R, SH and CH yah they have a problem.","Personally<English>I don't think I have</English>accent <English> of</English>Kikuyu and the reason been<English>in our home we mostly speak Swahili,that is why I don't have that</English>accent, but aah!<English>if</English>my friends, most of them<English>have for</English>like aah! when somebody as in they have a problem with L and R as in<English>when they talk you hear</English>L and R, SH and CH yah they have a problem.",,SM: Referring. OLF: Mary used herself to explain the influence of accent in language.,
,,Interviwer ,,<Swahili>Inaonyesha mahali wametoka.,<English>It shows where you are from.,,,
,,Mary 1,,Yah (agree) it shows where they come from.,Yah (agree) it shows where they come from.,,,
,,Interviwer ,,The way they speak?,The way they speak?,,,
,,Mary 1,,mmmh!!,Mmmh!!,,,
,,Interviwer ,,Now you yourself can you identify the fact if somebody was speaking even Swahili or English see they are not speaking their native language can you tell from the way they talk that  they come from such and such an area?,Now you yourself can you identify the fact if somebody was speaking even Swahili or English see they are not speaking their native language can you tell from the way they talk that  they come from such and such an area?,,,
,,Mary 1,,"Of course it is very possible, yah when a luo talks from the accent, even if this  person is speaking English or Swahili you will know that this is a luo, when a Kikuyu is speaking, whether you speak in English or Swahili<Swahili>na iko na</Swahili>accent, you can tell that this person is a Kikuyu at one time or another. aah place<Swahili>yenye ni ngumu ni watu wenye tuseme kuna watu hawana</Swahili>accent so sometimes it is difficult for you<Swahili>kujua wametoka wapi saa zenye wanaongea</Swahili>yah the speakers who are so good as in<Swahili label=""referring"">kuna watu wenye hawana</Swahili>accent<Swahili>lakini</Swahili>the highest percentage of people<Swahili>wako na<Swahili>accent.","Of course ot is very possible, yah when a luo talks from the accent, even if this  person is speaking English or Swahili you will know that this is a luo, when a Kikuyu is speaking, whether you speak in English or Swahili<English>and it have</English>accent, you can tell that this person is a kikuyu at one time or another. aah place<English>he is hard they are people lets say there are people with no</English>accent so sometimes it is difficult for you<English>to know where they are from when they are talking </English> yah the speakers who are so good as in<English>there are people who don't have</English>accent<English>but</English>the highest percentage of people<English>have</English>accent.",,SM: Referring. OLF: The speaker elaborated the difference of people who may have accent influence and those who don’t have.,
,,Interviwer ,,<Swahili>Ni nini</Swahili>maybe<Swahili>hutoa</Swahili>this  accent from people?,<English>What</English>maybe<English>brings</English>this  accent from people?,,,
,,Mary 1,,I think most of the people at home will communicate with their native language so your mother tounge interference<Swahili>ndio hiyo hufanya</Swahili>as in<Swahili>mtu akuwe na</Swahili>accent<Swahili>na pia kwenye mko kama watu wanakusorround sana kama wewe ni mjaluo</Swahili>you speak<Swahili>kijaka<Shegg>unacheki ni maneno unaskia kila saa</Swahili>so I tend to think<Swahili>hata<Swahili>kusungumza hivyo ndio utasungumsa venye unasikia yah..,I think most of the people at home will communicate with their native language so your mother tounge interference<English>that's what usually make</English>as in<English>a person to have</English>accent<English>and also when you are with people surrounding you if you are a luo</english>you speak<english>luo<Slang>you see it's words you hearing all the time</English>so I tend to think<English>even talking like that is when you talk the way you are hearing yah.,,,
,level of Education.,Interviwer ,,"<Swahili>Namm, Na ukiwa unamsikiza mtu, Hujamwona huyo mtu</Swahili>can you tell maybe their level of education, their position in the society from the way they just talk?"," <English>Well, and if you are listening a person, you haven't seen that person</English>can you tell maybe their level of education, their position in the society from the way they just talk?",,Unmarked ,
,,Mary 1,,"Yah( agree) you can aah.., its very possible, according to me, aah.. sometimes aah..<Swahili>yaani vile mtu anaongea </Swahili> the chioce of words, the level<Swahili>ya</Swahili>vocabulary<Swahili>mtu anatumia unaoana kabisa yenyewe huyu<shegg>msee<Swahili>ako juu yah kuna venye</Swahili>yah, the way somebody talks<Swahili>anaongea</Swahili>alot about the level of education yah,<Swahili>mtu mwenye ni hivi hivi</Swahili>ok fine<Swahili>mtu mwenye ako</Swahili>down as in<Swahili>hivi hivi anaongea tu hivi hivi</Swahili>so<Swahili>utaunderstand</Swahili>maybe<Swahili>hajesoma sana</Swahili>and stuff somebody who is educated maybe formal, speak good English, nice English, the way he/she arrange the words the vocabulary you know.","Yah (agree) you can aah its very possible, according to me, aah.. sometimes aah..<English>the way a person talk</English>the chioce of words, the level<English>of</English>vocabulary<English>somebody is using you see really this person is on higher level</English>yah, the way somebody talks<English>talks</English>alot about the level of education yah<English>somebody who is average</English>ok fine<English>somebody who is</English>down as in<English>average talks averagely</English>so<English>you understand</English>maybe<English>is not educated</English>and stuff somebody who is educated may be formal, speak good English, nice English, the way he/she arange  the words the vocabulary you know.",,,
,,Interviwer ,,<Swahili>Watu husema ati</Swahili>when somebody speaks English you can tell the level of Education<Swahili>na wakiongea Kiswahili kuna vile yani</Swahili>you cannot really tell is that true?,<English>People always say that</English>when somebody speaks English you can tell the level of education<English>and when they talk Swahili there there is away</English>you cannot really tell is that true?,,,
,,Mary 1,,"Well yah (agree)<Swahili>unaweza sema hivyo</Swahili>because aah..<Swahili>kama</Swahili>English you know I think English<Swahili>ni</Swahili>a matter of vocabulary and words, if you are highly educated<Swahili>bana</Swahili>as in I tend to think your  level of english<Swahili>inafaa ikuwe si ile</Swahili>common<Swahili>unajua kuna</Swahili>common words people will use<Swahili>na kuna</Swahili>some words people will use<Shegg>bana=<Swahili>hata unaachwa tu hapo ukisikiza.","Well yah (agree)<English>you can say like that</English>because aah..<English>if</English>English you know i think English<English>is</English>a matter of vocabulary and words, if you are highly educated<English>sir</English>as in I tend to think your level of English<English>it's important to be not</English>common<English>you know there is</English>common words people will use<English>and there is</English>some words people will use<Slang>sir =<English>even you are left there listening.  ",,,
,,Interviwer ,,<Swahili>unaachwa ukii… inaweza tafuta</Swahili>dictionary<Swahili>yako.,<English>you are left doing… you can find</English>your dictionary.,,,
,,Mary 1,,"So yah, it is true<Swahili>lakini Kiswahili, unajua si watu wengi wanapay</Swahili>much attention to Swahili as in<Swahili>hata mtu anaweza kukuambia amesoma lakini hawezi</Swahili>communicate<Swahili>na Kiswahili vizuri</Swahili>so Swahili by the way<Swahili>ningumu, ningumu hujue</Swahili>place<Swahili>yenye<Shegg>msee<Swahili>amefika, yah.","So yah, it is true<English>but swahili, you know not all people pay</English>much attention to kiswahili as in<English>even a person can tell you he/she is educated but he/she can't</English>communicate<English>and good swahili</English>so kiswahili by the way<English>it's hard, it's hard to know</English>place<English>where a person have reach, yah.",,,
,Position in the society,Interviwer ,,"And the position in the society, can you tell from the way somebody talk?","And the position in the society, can you tell from the way somebody talk?",,,
,,Mary 1,,"Position in the society somehow, somehow<Swahili>unaweza</Swahili>because<Swahili>hawa<Shegg>wasee utend<Swahili>kuwa</Swahili>authoritative<Swahili>ile yaani wakiongea, zile</Swahili>words<Swahili>wana</Swahili>use<Swahili>ni kama</Swahili>authoritative, ordering around according to me, so yah<Swahili>unaweza sema yah.","Position in the society somehow, somehow<English>you can</English>because<English>this<Slang>men tend<English>to be</English>authoritative<English>in that when they talk it's like</English>words<English>are</English>use<English>it's like</English>authoritative, ordering around according to me, so yah<English>they can say yah. ",,,
,Politics and Language.,Interviwer ,,<Swahili>Na ile</Swahili>ok the political affiliation from the way somebody talks can you tell may be that this person is affiliated to such and such party maybe?,<English>And that</English>ok the political affiliation from the way somebody talks can you tell may be that this person is affiliated to such and such party maybe?,,,
,,Mary 1,,<Swahili>unajua saa zile unaongea</Swahili>obviously<Swahili>kuna….(interruptend),<English>You know when talking</English>obviously<English>there is.. (interruptend),,,
,,Interviwer ,,<Swahili>Kuna maneno</Swahili>you understand?,<English>there are words</English>you understand?,,,
,,Mary 1,,"Yah(agree)<Swahili>sasa yani tuseme</Swahili maybe<Swahili>mimi ni mtu wa Cord (political party), napenda Raila (Cord party leader) sana</Swahili>maybe<Shegg>unacheki<Swahili>nitakuwa tu ninamsifu sifu</Swahili>everything ni positive<Swahili> simucriticize</Swahili>So from the way I talk, you can say<Swahili>huyu msee yenyewe ni mtu wa Cord damu<Shegg> unacheki?</Swahili>yah  So I tend to think that aah, from the way a person talks<Swahili>unaweza</Swahili>pick because when it comes to political issues, eeh.. Kenyans are very sensitive<Shegg>bana yah</Swahili>so<Swahili>mtu yaani anapenda kitu na ile</Swahili>passion so<Swahili>hata akiongea</Swahili>yah you can tell from that.","Yah(agree)<English>now let's say</English>maybe<English>I am person of Cord (political party) I like Raila (Cord party leader) very much</English>maybe<Slagg>you see<English>I will be only praising praising</English>everything ni positive<English>I don't criticize him</English>So from the way I talk, you can say<English>this person is typically forCord<Slang>you see</English>yah So I tend to think that aah, from the way a person talks<English>you can</English>pick because when it comes to political issues, eeh.. kenyans are very sensitive<English>man yah</English>so<English>person likes something with that</English>passion so<English>even when he/she talks</English>yah you can tell from that..",,,
,,Interviwer ,,<Swahili>Anajitokeza tu?,<English>Reveals him/herself?,,,
,,Mary 1,,Yah (agree) you can tell from that.,You (agree) you can tell from that.,,,
,,Interviwer ,,Now<Swahili>wewe unaweza sema kwamba unaweza kuongea lugha tofauti kwa watu tofauti?,Now<English>you can say that you can talk in different language to different people?,,,
,,Mary 1,,"<Swahili>Mimi(pause)</Swahili>ok, fine<Swahili>lugha tofauti</Swahili>interms of what<Swahili>nikiongea na mkikuyu na Kikuyu, nikiongea na…. ama? ","<English>I(pause) ok</English>fine<English>different language</English>interms of what<English>if I talk with a Kikuyu person in Kikuyu, if i talk with…..or? ",,,
,Language with friends.,Interviwer ,,"mmm!! Aaah<Swahili>hivo</Swahili>Like ok<Swahili>unaweza, unaenda</Swahili>place, you are talking Kiswahili to somebody all over sudden you meet this person and you like ""eeh.. English<Swahili label=""quoting"">bana lazima niongee"" ","mmm!! Aaah<English>that</English>like ok <English>you can go</English>place, you are talking Kiswahili to somebody all over sudden you meet this person and you like ""eeh.. english<English>hey, I must talk "" ",,SM: Quoting. OLF: The speaker gives an example by quoting what someone may say in a given  scenario.,
,,Mary 1,,Yah (agree) It has happen yah.,Yah (agree) It has happen yah.,,,
,,Interviwer ,,Maybe in what situations and maybe when?,Maybe in what situations and maybe when?,,,
,,Mary 1,,"<Swahili>Kama mimi hee!! Nikipatana.. Niende school of IS, nipatane na<Shegg>dem<Swahili>mwingine hapa<Shegg>beshe<Swahili>yangu anaitwa Ester ni mkikuyu aah.. Nikipatana na yeye hatakama sijui Kikuyu vizuri yah…(interapted)</Swahili> Because most of the time you see<Swahili>anapanda kuniongelesha Kikuyu ama</Swahili>as in my kikuyu name<Swahili>ni</Swahili>Shiro, so<Swahili label=""quoting"">akiniona ananiambia ""niaje Shiro ati Shiro""</Swahili>as in yani<Swahili>ananiongelesha</Swahili>Kikuyu so<Swahili>ata mimi inabidi..(interrupted) yah!! najibu na kikuyu naaza kuongea na Kikuyu.</Swahili>When it comes to, aah...may friends, most of like muslim friends are from Coast so I switch my Kiswahili to adjust<Swahili>hiyo ya</Swahili>Coast yah.. that is how I do it.. yah<Swahili>nikikutana na<Shegg>beshte<Swahili>yangu Okelo kama ni mjaka Kiswahili changu yani nakitwist naingiza ile</Swahili>accent<Swahili>ya kijaka hata kasina unajua</Swahili>as in to make the environment just conduive."," <English>If I hee. meet with..go to school IS, meet with a another<Slang>lady who is<Salng>my friend called Ester she is a Kikuyu aah..when we meet even if I don't Kikuyu very well yah…(interapted)</English>Because most of the time you see<English>she likes to talk to me in Kikuyu or</English>as in my Kikuyu name<English>is</English>Shiro, so<English>when she see me she tells me ""what's up Shiro like Shiro""</English> as in<English>as in she is talking to me in</English>Kikuyu so<English>even I have to..(interrupted) yah!! I respond in Kikuyu she starts talking in Kikuyu</English>When it comes to, aah... my friends, most of like muslim friends are from coast so i switch my kiswahili to adjust<English>that of</English>Coast yah.. that is how I do it.. yah.<English>when I  meet with my<Slang>friend Okelo if he is a Luo my Swahili as in I twist I put that</English>accent<English>of luo even if I don't have it comes</English>as in to make the environment just conduive.",,SM: Quoting. OLF: Mary quotes what her friend says when they meet.,,
,,Interviwer ,,<Swahili>Ni kwa nini? Kwa nini mingi?,<English>Why? Why many?,,,,
,,Mary 1,,"Ok.. It is fun, it is intresting and pia you make somebody more comfortable<Swahili>unajua kama tuseme</Swahili>maybe<Swahili>umepatana na mtu</Swahili>and then<Swahili> hamukuwa mnapatana tena kidogo alafu sasa tuseme aonge Kikuyu asikietu unajua hiyo lugha si nikama yani</Swahili>it's bringing you more closer<Swahili>na inamake ile</Swahili environment condusive as in<Swahili>kuna</Swahili>cool<Swahili>yani yaah..(interrupted) mnapatana zaidi</Swahili>by the way yah.","Ok.. It is fun, it is intresting and pia you make somebody more comfortable<English>you like lets say</English>maybe<English>you meet with somebody</English>and then<English>you haven't been meeting for a while then lets say she/he speaks Kikuyu then hears you know that language it's not like</English>it's bringing you more closer<English>and it makes that</English>environment condusive as in<English>there is</English>cool<English>in that yaah..(interrupted) you get each other more</English>by the way yah.",,,,
,,Interviwer ,,"Now, you admited the fact that you talk diffrently from the way other people speak. Now have you tried to change in any way the way you talk? ","Now, you admited the fact that you talk diffrently from the way other people speak. Now have you tried to change in any way the way you talk? ",,,,
,,Mary 1,,Yah (agree) have tried to change….(interrupted),Yah (agree) have tried to change….(interrupted),,,,
,,Interviwer ,,<Swahili>Nani kwasababu gani</Swahili>maybe?,<English>And why?</English maybe?,,,,
,,Mary 1,,"<Swahili>Kama, ok fine<Swahili>vile naongea</Swahili>maybe English<Swahili>na Kiswahili hapa aaah..</Swahili> When it comes to, I go to the studio<Swahili>saa zingine</Swahili>When it comes to presenting something<Swahili>lazima nikuwe</Swahili>official, as in I have to use a language that is official so I'll switch, my English has to be formal my Swahili  also has to be formal<Swahili>kwa vivyo lazima ni zungumuze vile inafaa. Pia</Swahili>when it comes to maybe talking to lecturers you just don't as in<Swahili>vile me ubonga na<Shegg>mabeshe<Swahili>zangu</Swahili>I just can't talk to them like that. You have to be abit formal yah coz<Swahili>hiyo</Swahili>informality<Swahili>sana ni sazile mko na<Shegg>mabeshe<Swahili>wako</Swahili>So yani aah..<Swahili>inadepend pia, kama mna</Swahili>discuss class if you are discussing something in class as in you have to be formal you just don't speak the way<Swahili>unaspeak<Swahili>outside class yah.","<English>if, ok fine<Swahili>the way I talk</English>maybe English<English>and Swahili here aaah..</English>When it comes to, I go to the studio<English>sometimes Swahili</English>When it comes to presenting something<English>I must be</English>official, as in I have to use a language that is official so I'll switch, my English has to be formal my Kiswahili  also has to be formal<English>therefore I must talk the way it should be. Also</English>when it comes to maybe talking to lecturers you just don't ask in<English>the way I talk with my friends</English>I just can't talk to them like that. You have to be abit formal yah coz<English>that</english>informality<English>mostly is when you are with<Slang>your friends</English>So<English>so aah..it depends also if you are</English>discuss class if you are discussing something in class as in you have to be formal you just don't speak the way<English>you speak </English>outside class yah.",,.,,
,,Interviwer ,,<Swahili>Sasa tumesema ukiwa na marafiki wako</Swahili>you are informal. What if you<Swahili>unaamkatu siku moja</Swahili>you are so formal how will these people take you? ,<English>Now we have said when you have your friends</English>you are informal. What if you<English>you wake up one day</English>you are so formal how will these people take you? ,,,,
,,Mary 1,,You know it's abit hard. Ok well according to me it's abit hard..(interrupted) as in to..,You know it's abit hard. Ok well according to me it's abit hard..(interrupted) as in to..,,,,
,,Interviwer ,,<Swahili>Hata huwezi anza hata.,<English>Even you can't start,,,,
,,Mary 1,,"Eeh..<Swahili>Ati niamketu ati mimi leo nianze kuongea</Swahili>English<Swahili>yani</Swahili>formal English<Swahili>kama niko</Swahili>class, aah.. It is  hard.<Swahili>Unapata tu… unajua..</Swahili>as in,<Swahili>wasee ni kama yani</Swahili>you<Swahili> uchukulia kila kitu</Swahili>seriouse<Swahili>hivo, hata hiyo</Swahili>environment<Swahili>ya</Swahili>formality<Swahili>alafu</Swahili>somebody doesn't know what you are thinking<Swahili>kama</Swahili>you use to kidding making fun you know as in and then all over sadden you start<Swahili>ile</Swahili>formality<Swahili>wasee wanshindwa</Swahili>what's wrong with you yah..(laughter) ","eeh..<English>it's like a wake up today and start speaking</English>English<English>meaning</English>formal English<English>when am in</English>class, aah.. It is  hard.<English>you just find yourself... you know</English>as in,<English>guys it's like</English>you<English>always take it</English>seriouse<English>like that, even so</English>environment<English>of</English>formality<English>then</English>somebody doesn't know what you are thinking<English>like</English>you use to kidding making fun you know as in and then all over sadden you start<english>that</English>formality<English>guys be defeated</English>what's wrong with you yah..(laughter) ",,,,
,,Interviwer ,,"<Swahili>Sawa</Swahili>and talking of your friends, now what issues are you discussing with your friends nowadays?","<English>Ok</English>and talking of your friends, now what issues are you discussing with your friends nowadays?",,,,
,,Mary 1,,"Ok, with my friends, we discuss everything or anything that crops up<Swahili>tunaweza</Swahili>discuss politics, marrige, relationship, education, anything that crops up yah. We never plan what to discuss, an issue just comes up and we pick it and we discuss it yah.","Ok, with my friends, we discuss everything or anything that crops up<English>we can</English>discuss politics, marrige, relationship, education, anything that crops up yah. We never plan what to discuss, an issue just comes up and we pick it and we discuss it yah.",,,,
,,Interviwer ,,You have some issues in mind maybe why do you discuss this issues?,You have some issues in mind maybe why do you discuss this issues?,,,,
