Name of the file,Topic,Participant,Time,Dialogue,Translation,CS/DM,Comments
,,Participant,,Hhm… I normally mix <zulu>isiZulu</zulu> and English.,Hhm… I normally mix <english>Zulu</english> and English.,,
,,Interviewer,,Which means your answer is yes?,Which means your answer is yes?,,
,,Participant,,"Yes. I normally mix <zulu>isiZulu</zulu> and English. The reason is <zulu>isikhathi esiningi</zulu> we tend to use English but at the back of our mind we grew up speaking <zulu>isiZulu</zulu> so <zulu>isiZulu-</zulu> even <zulu>uma sesihleli sabangana</zulu> like Zulus, let’s say a group of five people, we are all Zulus. So we are going to speak <zulu>isiZulu</zulu> because we know we all understand <zulu>isiZulu.</zulu> But because our mental or <zulu>umqondo wethu- indlela esesispende ngayo isikhathi sikhuluma isiNgisi</zulu> we tend to- like <zulu>uma ngingase ngenze iexample nje ngami. Indlela esesisikhulume ngayo isiZulu,</zulu> I tend to forget <zulu>amanye amagama</zulu> in Zulu, not that <zulu>angisawazi</zulu> but it’s just that the easiest way to explain something=","Yes. I normally mix <english>Zulu</english> and English. The reason is <english>most of the time</english> we tend to use English but at the back of our mind we grew up speaking <english>Zulu</english> so <english>Zulu-</english> even <english>when me and my friends are together</english> like Zulus, let’s say a group of five people, we are all Zulus. So we are going to speak <english>Zulu</english> because we know we all understand <english>Zulu.</english> But because our mental or <english>our mind- the way we've spent time speaking English</english> we tend to- like <english>if I can make this example about me. The way we speak Zulu,</english> I tend to forget <english>other words</english> in Zulu, not that <english>I don't know them</english> but it’s just that the easiest way to explain something=",,"LF: the Participant uses a plural of ""we"" to express solidarity or group identification (SM). "
,,Interviewer,,<zulu>Uthi ukhuluma kufike kuqala elesiNgisi-</zulu>,<english>You try to speak and and English word comes first-</english>,,
,,Participant,,"<afrikaans>Ja,</afrikaans> when you say that- but you are saying <zulu>into ethize</zulu> in English or in Zulu. <zulu>Ubusticke kwisiZulu</zulu> but because you have to think fast the only way you normally design- like- <zulu>usujwayele</zulu> the way you think fast you have to explain it in English. ","<english>Yes,</english> when you say that- but you are saying <english>something particular</english> in English or in Zulu. <english>You were sticking to Zulu</english> but because you have to think fast the only way you normally design- like- <english>you are used to</english> the way you think fast you have to explain it in English. ",,"SM: Expertise. LF: ""into"" is used by the Participant to show off expertise and command of both English and Zulu language."
,,Interviewer,,Have you noticed any difference the way you speak and how other students talk?,Have you noticed any difference the way you speak and how other students talk?,,
,,Participant,,"<afrikaans>Ja,</afrikaans> I’ve noticed but- then <zulu>lokho</zulu> depends on our background like- where- like when did you start like Zu- English permanently or <zulu>isikhathi esiningi osuspende ukhuluma isiNgisi sona sesibe singakanani.</zulu> Like for example, for me, <zulu>isikhathi la ngiqale khona ukukhuluma isiNgisi,</zulu> spending more hours speaking English is when I finished my matric and came in here at varsity, so that’s when I started speaking English. So English- <zulu>indlela engikhuluma ngayo isiNgisi</zulu> is different to another person. So it’s easy to identify a person <zulu>osiqale esephuma kwamatric ukukhuluma isiNgisi nomuntu oqale</zulu> like at an early age.","<english>Yes,</english> I’ve noticed but- then <english>that</english> depends on our background like- where- like when did you start like Zu- English permanently or <english>the time you've spent speaking English has been how long.</english> Like for example, for me, <english>the time when I started speaking English,</english> spending more hours speaking English is when I finished my matric and came in here at varsity, so that’s when I started speaking English. So English- <english>the way I speak English</english> is different to another person. So it’s easy to identify a person <english>who started speaking English after matric and a person who started</english> like at an early age.",,"LF: ""I've noticed"" is used to show expertise as he answers with authority on how English dialect varies even in the urban areas, depending on which school one attended. SM: showing off on his ease of English usage and codeswitching."
,,Interviewer,,Can you tell if someone is from your area by the way he or she talks? How can you tell?,Can you tell if someone is from your area by the way he or she talks? How can you tell?,,
,,Participant,,"<afrikaans>Ja,</afrikaans> I can tell. I can tell because- like- there is this kind of- <zulu>ngingathini? Kuzoba iaccent.</zulu> There is this model accent. <zulu>Umunntu- umuntu wangasekhaya-</zulu> like <zulu>osuka ngasekhaya.</zulu> Even- <zulu>mhlawumbe ngoba bazohluka</zulu> but <zulu>abangasekhaya abafunde kulezizikole eziphucuzekile, abanye bazofunda kulezizikole nje=</zulu>","<english>Yes,</english> I can tell. I can tell because- like- there is this kind of- <english>what can I say? It is the accent.</english> There is this model accent. <english>A person- a person from my neighbourhood-</english> like <english>coming from my area.</english> Even- <english>perhaps because they will differ</english> but <english>others from my neighbourhood who went to these modern schools, others studied in these just other schools=</english>",,"LF:""I can tell"" is used to show expertise. SM: group identification denotes the urban vs rural relations of those that attended White schools."
,,Interviewer,,What do you mean <zulu>eziphucuzekile?</zulu> Multi-racial?,What do you mean <english>modern?</english> Multi-racial?,,
,,Participant,,"<afrikaans>Ja,</afrikaans> multi-racial=","<english>Yes,</english> multi-racial=",,
,,Interviewer,,Model C?,Model C?,,
,,Participant,,"Yes, yes, multiracial. So that person <zulu>uzokhuluma isiNgisi</zulu> in a different way even though <zulu>ephuma kwiarea yami</zulu> but a person <zulu>ofunde esikoleni sami,</zulu> even though <zulu>singomakhelwane, esuka la eza la</zulu> but <zulu>lo uzofunda ku-multi-racial lo uzofunda ekhaya</zulu> so even <zulu>lo wangasekhaya ekhuluma isiNgisi, ngikhule naye,</zulu> I’ll understand him, <zulu label='expertise'>ngizomuzwa ukuthi oh lo owangase khaya. Lo owaku-multi-racial ngizomuzwa ukuthi oh ukhule efunda ufestiye</zulu label='expertise'> was doing this and- <afrikaans>ja.</afrikaans>","Yes, yes, multiracial. So that person <english>will speak English</english> in a different way even though <english>coming from my area</english> but a person <english>who attended my school,</english> even though <english>we are neighbours, coming here going there</english> but <english>this one attending multi racial and this one attending township school</english> so even <english>this one from my area speaking in English, I grew up with him,</english> I’ll understand him, <english>I will hear that this one is from my area. This one from multi racial I will hear that he started there his grade one</english> was doing this and- <english>Yes.</english>",,"LF: Expertise. SM: ""ngizomuzwa"" is used by the Participant to draw a distinction that he is aware of, existing between urban and rural relations amongst those that attended White schools."
,,Interviewer,,"Okay. If you just heard someone talk without seeing this person, would you tell what kind of background he or she has? That is, their level of education, position in society, political affiliation, etc?","Okay. If you just heard someone talk without seeing this person, would you tell what kind of background he or she has? That is, their level of education, position in society, political affiliation, etc?",,
,,Participant,,"<afrikaans>Ja,</afrikaans> you can- you can- I think you can identify, you can tell. Because, like- it tends to be a trend <zulu>yokuthi,</zulu> people like <zulu>abakwipolitiki,</zulu> let me say the accent they use or they speak <zulu>ngalendlela le</zulu> or they use <zulu>amagama</zulu> in English. <zulu>Lama-</zulu> like- they use=","<english>Yes,</english> you can- you can- I think you can identify, you can tell. Because, like- it tends to be a trend <english>that,</english> people like <english>those in politics,</english> let me say the accent they use or they speak <english>this way</english> or they use <english>the words</english> in English. <english>These-</english> like- they use=",,"SM: Emphasis. LF: ""you can"" is the feature used by the Participant to emphasize that he can distinguish the background of any person talking without even seeing him or her.."
,,Interviewer,,"Choice of words, vocabulary?","Choice of words, vocabulary?",,
,,Participant,,"Yes, yes, yes. And then <zulu>ebese kuthi, ebese kuthi laba abafunde kuma multi-racial uzozwa ukuthi</zulu> like <zulu>indlela abakhuluma ngayo, indlela</zulu> like- like ah for example like- <zulu>amagama aba-</zulu> like “oh my God” and ah- <zulu>labantu laba uyayizwa igroup yabo ukuthi oh, ilegroup le. Besekuthi wena okhuluma isiNgisi ngoba ufuna ukudlulisa umyalezo uyezwa ukuthi</zulu> this person is speaking English to transfer to- to- to- <zulu>ukuhhambisa umyalezo kuphela. Hhayi ukuthi</zulu> there is that addition. So you can tell from a person <zulu>okhuluma isiNgisi ngoba- okwipolitiki- owusomapolitiki, ngizosho njalo. Besekuba ilona ofunde kuma-multi-racial noma okhulele endaweni vele la kukhulunywa khona isiNgisi</zulu> from early age. <zulu>Ebese kubakhona lo okhuluma isiNgisi ngoba efuna ukudlulisa umyalezo.</zulu>","Yes, yes, yes. And then <english>and then, and then those who attended multi racial you'll hear that</english> like <english>the way they speak, the way</english> like- like ah for example like- <english>the words are-</english> like “oh my God” and ah- <english>these people you can hear their group, it's this group. And then you who speak English because you want to relay a message you hear that</english> this person is speaking English to transfer to- to- to- <english>to relay only the message. Not that</english> there is that addition. So you can tell from a person <english>who speaks English because- who is in politics- a politician, let me put it like that. And then there is this one who went to multi racial or who grew in a place where they speak English</english> from early age. <english>And then there is this one who use English only to relay a message.</english>",,"SM: Quotation. LF: ""oh my God"" is used by the Participant to poke fun at the various accents used by Blacks that went to the so-called Model C schools."
,,Interviewer,,Do you speak different languages to different people? Where and why?,Do you speak different languages to different people? Where and why?,,
,,Participant,,"Hhhmmm… I do speak different languages, it’s English and Zulu. And- and I think most of the time I speak different languages when- to different people.","Hhhmmm… I do speak different languages, it’s English and Zulu. And- and I think most of the time I speak different languages when- to different people.",,
,,Interviewer,,And when?,And when?,,
,,Participant,,"When we are doing group works, <zulu>senza igroup</zulu> work we are mixed up, <zulu>mhlawumbe</zulu> we have Zulus, we have Xhosas and we have=","When we are doing group works, <english>doing group</english> work we are mixed up, <english>perhaps</english> we have Zulus, we have Xhosas and we have=",,
,,Interviewer,,Where do you do that group work?,Where do you do that group work?,,
,,Participant,,At school.,At school.,,
,,Interviewer,,At the university?,At the university?,,
,,Participant,,"<afrikaans>Ja,</afrikaans> at the university, we have white people=","<english>Yes,</english> at the university, we have white people=",,
,,Interviewer,,And why do you speak differently to different people?,And why do you speak differently to different people?,,
,,Participant,,"Oh, I’ll explain that. Like for us, <zulu>mina nje</zulu> for me, sometimes it’s very easy to <zulu label='quotation'>ukuthi umuntu ngimchazele- uma- mhlawumbe ngimchazele isibalo noma ini, ngingakwazi ukuthi ngimchazele ngesiZulu ngithi “ndoda, yabona la u-x ushona la kanje kanje, thatha leyanto uyibeke la”</zulu label='quotation'> but <zulu>uma sengichazela umuntu owumlungu,</zulu label='quotation'> I cant use English <zulu>noma sengibona ukuthi akaandastendi isiZulu, ngithi ndoda “nakhu nakhu nakhu, nakhu ndoda”. Uma=</zulu label='quotation'>","Oh, I’ll explain that. Like for us, <english>me for instance</english> for me, sometimes it’s very easy to <english>explain to a person- when- perhaps I am explaining a mathematical item or something, I can be able to explain it in Zulu and say ""man, you se here x goes here like this like this, take this thing and put it here""</english> but <english>but when I explain it to a white person,</english> I cant use English <english>even when I see he doesn't understand Zulu, I say man here here here, here man"". When=</english>",,SM: Quotation. LF: two instances of quotation used by the Participant to show wxpertise on his command of the Zulu language even when it comes to doing school work exercises.
,,Interviewer,,<zulu>Mhlawumbe uzama ukumchazela ngesiNgisi uthole ukuthi akaandastendi ugcine ususwishe</zulu> to=,<english>Perhaps you try to explain it in English and end up switching</english> to=,,
,,Participant,,Switch to a language <zulu>azoyi understander kangcono.</zulu>,Switch to a language <english>he will understand better.</english>,,
,,Interviewer,,"Have you ever tried to change anything about the way you talk, and why? Have you ever tried?","Have you ever tried to change anything about the way you talk, and why? Have you ever tried?",,
,,Participant,,"<afrikaans>Ja,</afrikaans> I haven’t- ah no, I did to qualify that <zulu label='emphasis'>phela</zulu label='emphasis'> you have to be in a same standard. <zulu>La eyunivesithi</zulu> you have to know English to get through. So I can say <zulu>ukuthi-</zulu> not that <zulu>mhlawumbe</zulu> I’ve noticed=","<english>Yes,</english> I haven’t- ah no, I did to qualify that <english>because</english> you have to be in a same standard. <english>Here at university</english> you have to know English to get through. So I can say <english>that-</english> not that <english>perhaps</english> I’ve noticed=",,"SM: Emphasis. LF: ""phela"" is used to stress the importance of English literacy, and why English is useful at university level in order to learn and advance."
,,Interviewer,,"The way you talk, not the way you use=","The way you talk, not the way you use=",,
,,Participant,,The way you talk?,The way you talk?,,
,,Interviewer,,"<afrikaans>Ja,</afrikaans> do you change anything- have you ever tried to change anything about the way you talk?","<english>Yes,</english> do you change anything- have you ever tried to change anything about the way you talk?",,
,,Participant,,"Like the accent, <zulu>kwasha kwacima?</zulu>","Like the accent, <english>and so forth?</english>",,"Code switching happens here because the Participant doesn't have an English equivalent of ""kwasha kwacima"""
,,Interviewer,,"Like the accent, the way you pronounce like Americans, instead of saying water you say waarter?","Like the accent, the way you pronounce like Americans, instead of saying water you say waarter?",,
,,,,,,,
,,Participant,,"<afrikaans>Ja, ja,</afrikaans> it happens.","<english>Yes, yes,</english> it happens.",,
,,Interviewer,,So why?,So why?,,
,,Participant,,"I don’t know. <zulu>Lapho</zulu> I have to be honest, <zulu label='disinterest'>ukuthi mhlawumbe- mhlawumbe=</zulu label='disinterest'>","I don’t know. <english>There</english> I have to be honest, <english>that perhaps- perhaps=</english>",,"SM: Disinterest (low) LF: ""mhlawumbe"" is used to show lack of interest or lack of expertise."
,,Interviewer,,You just aping? <zulu>Uba inkawu</zulu> sort of. [BOTH LAUGHING],You just aping? <english>You become a monkey</english> sort of. [BOTH LAUGHING],,
,,Participant,,"<afrikaans>Ja,</afrikaans> you feel <zulu>ukuthi akengiyishaye kanje lento, naleli uthi “akengilishaye kanje.” Liyachaza uma ngilishaya kanje, liyachaza uma ulishaya kanje.</zulu> But <zulu>kwesinye isikhathi=</zulu>","<english>Yes,</english> you feel <english>you feel you have to do it this way, and this one you say ""let me do it this way."" It is nice if I do it this way, it is nice if you do it this way.</english> But <english>other times=</english>",,
,,Interviewer,,You want to pronounce words the way they are pronounced by native speakers of English? English words.,You want to pronounce words the way they are pronounced by native speakers of English? English words.,,
,,Participant,,Mmhhh.,Mmhhh.,,
,,Interviewer,,What are the issues that you and your friends talk about these days and why?,What are the issues that you and your friends talk about these days and why?,,
,,Participant,,I mean=,I mean=,,
,,Interviewer,,What are the issues?,What are the issues?,,
,,Participant,,"<zulu label='expertise'>Mina</zulu label='expertise'> to be honest, like we had a huge debate <zulu>nabangani bami</zulu> recently <zulu>siphuma kofunda.</zulu> We- we- we debate that <zulu>ukuthi</zulu> like we were debating <zulu>ngalento yecolonialism ukuthi</zulu> what happened coz we have different views about that. Like ah- <zulu>kade sisuka elibrary siya eRes coz mina- mina</zulu> I have a different view about that and <zulu>nabo</zulu> have a different view and it turns out I’m the only person who agrees in a different thing and <zulu>nabo bavumelana ngento eseceleni.</zulu> So we- we normally talk about girls <zulu>uma samaJita sihlangene.</zulu> Not most of the time but <zulu>isikhathi esiningi</zulu> we talk about <zulu>ipolitiki</zulu> and we like politics stuff. <afrikaans>Ja.</afrikaans>","<english>Me</english> to be honest, like we had a huge debate <english>with my friends</english> recently <english>coming from studying.</english> We- we- we debate that <english>that</english> like we were debating <english>this issue of colonialism that</english> what happened coz we have different views about that. Like ah- <english>we were coming from the library going to our Residence because me- me</english> I have a different view about that and <english>they also</english> have a different view and it turns out I’m the only person who agrees in a different thing and <english>they agree with something different.</english> So we- we normally talk about girls <english>when we as guys are together.</english> Not most of the time but <english>most of the time</english> we talk about <english>politics</english> and we like politics stuff. <english>Yes.</english>",,"SM: Expertise. LF: ""mina"" is used by the Participant to show off  about what him and his university peers talk about."
,,Interviewer,,And why do you talk about girls?,And why do you talk about girls?,,
,,Participant,,"Ah, I think it’s part of growing up. I can say that, it’s part of growing up as a boy, changing stages and seeing girls you like, you tell your friends “I like that one” and it’s like, part of growing up but we don’t like normally waste our energy on that section. We just talk about that that “oh, that one is fine” but we don’t dwell=","Ah, I think it’s part of growing up. I can say that, it’s part of growing up as a boy, changing stages and seeing girls you like, you tell your friends “I like that one” and it’s like, part of growing up but we don’t like normally waste our energy on that section. We just talk about that that “oh, that one is fine” but we don’t dwell=",,
,,Interviewer,,"You are saying that is your future, you cannot avoid talking about girls?","You are saying that is your future, you cannot avoid talking about girls?",,
,,Participant,,Yes.,Yes.,,
,,Interviewer,,Because one day it will- you want to get married=,Because one day it will- you want to get married=,,
,,Participant,,You can’t run away from=,You can’t run away from=,,
,,Interviewer,,Is there any other issue that you want to talk about that interest you?,Is there any other issue that you want to talk about that interest you?,,
,,Participant,,<zulu>Mhlawumbe ngaphansi kwani?</zulu>,<english>Perhaps under what?</english>,,
,,Interviewer,,"Whatever issue, natural- that comes naturally that you think- that you feel you want to talk about.","Whatever issue, natural- that comes naturally that you think- that you feel you want to talk about.",,
,,Participant,,"I don’t know if- maybe I can- I can pose this question to you Sir. <zulu>Mina mhlawumbe ngalento esesike sabanayo ngedebate</zulu> about in few days back, I don’t know if <zulu>mhlawumbe</zulu> I can ask <zulu>wena.</zulu>","I don’t know if- maybe I can- I can pose this question to you Sir. <english>Me perhaps regarding this thing we debated</english> about in few days back, I don’t know if <english>perhaps</english> I can ask <english>you.</english>",,"SM: Power. LF: the Participant shifts the power relations between him and the Interviewer by asking him a question- ""I can pose this question to you Sir"". Also, this indicates the Participant's expertise and confidence strong enough to turn around and interview his Interviewer. He does it in a respectful manner by using the word ""Sir""."
,,Interviewer,,<afrikaans>Ja.</afrikaans>,<english>Yes.</english>,,
,,Participant,,"<zulu>Mina</zulu> what I believe in <zulu>ukuthi</zulu> as- as black people we still have like- there is that- <zulu>kusanaleya</zulu> mentality <zulu>kubantu abamnyama ukuthi, ngingathini? Kuna- kunale-design</zulu> like at first <zulu>ngalenkathi kufika icolonialism- kufika abantu abamhlophe la eAfrica. Kunedesign abafika nayo</zulu> and <zulu>njengoba izikhathi zishintsha i-design iyashintsha</zulu> in a way.","<english>Me</english> what I believe in <english>is that</english> as- as black people we still have like- there is that- <english>there is this</english> mentality <english>with Black people that, what can I say? There- there is this design</english> like at first <english>when colonialism came- white people coming to Africa. They came with this design</english> and <english>and as times are changing the design is changing</english> in a way.",,
,,Interviewer,,What do you mean by design?,What do you mean by design?,,
,,Participant,,"Like- like I believe <zulu label='expertise'ukuthi</zulu label='expertise' a black person was designed to think as we think now. Eh <zulu>ngoba ngithe uma ngibuka ngabona ukuthi- ngathi mina asikhohlwe ithina laba balana evarsity.</zulu> Think about South Africa as a whole, <zulu>wena mhlawumpe uwu</zulu> zero point zero one percent <zulu>wabantu balana eSouth</zulu> Africa. Think about a person <zulu>owaphuma eskoleni, wa- wa- waphuma ngoba ngenza iexample- sasikhuluma ngokukhulelwa kwezingane, babethi amaJita, izingane zine</zulu> choice <zulu>yokuthi zikhulelwe. Mina ngithi</zulu> think about a person <zulu>okhule kwienvironment uMama wakhe akasebenzi, uBaba wakhe akasebenzi, ubhuti wakhe naye uhleli ekhaya. Uyafunda,</zulu> let’s just say <zulu>ufunda u-eight, umngani mhlawumbe anaye, isikhathi asispendayo akasafundi naye, mhlawumbe sewasiyeka isikole. Ngicela ungicabangele lomuntu ukuthi mhlawumbe ujola nalomJita lona owusiCabha, uzomnika imali, uzomkhuleliswa athole imali yegrant. Umucabango lomuntu iyiphi- eyiphi enye into anayo ekhanda ngaphandle kwalento emsurroundile?</zulu> Coz I think for you to think differently, <zulu>kumele ube- kumele uspende noma kumele ube kwindawo la ezokwenza ukuthi ucabange ngalendlela ozoba iyona kusasa.</zulu> Coz I think to be something tomorrow <zulu>kumele uqale manje=</zulu>","Like- like I believe <english>that</english> a black person was designed to think as we think now. Eh <english>because when I took a look I noticed that- I said let us forget about us here at university.</english> Think about South Africa as a whole, <english>you perhaps are</english> zero point zero one percent <english>of the population here in South</english> Africa. Think about a person <english>who dropped out from school, he- he- he dropped out as I was making an example- we were talking about teenage pregnancy, the guys were saying, the girls have a</english> choice <english>to get pregnant. Me I say</english> think about a person <english>who grew up in an environment where her mother is not working, her father is not working, her brother also is unemployed. She is studying,</english> let’s just say <english>she is doing grade ten, perhaps her only friend, time she spends with her and she is also not at school, perhaps she also dropped out of school. Please consider for me this person perhaps she is dating a cab conductor, he gives her money, he gets her pregnant so she can get welfare grant money. If you think what this person- what else does this person has in her mind apart from what surrounds her?</english> Coz I think for you to think differently, <english>you have to- you have to spend or you have to be in a place that will make you think the way you want to become tomorrow.</english> Coz I think to be something tomorrow <english>you have to start now=</english>",,"SM: Expertise. LF: the Participant codw-switches by using ""ukuthi"" to educate the Interviewer on his take on colonialism, education, teenage pregnancy, and socio-economic issues."
,,Interviewer,,<zulu>Uchaza ukuthi lomuntu</zulu> all she is thinking about <zulu label='solidarity'>ukuthi uScabhaboy</zulu label='solidarity'> has money=,<english>You mean that this person</english> all she is thinking about <english>is that cab conductor</english> has money=,,"SM: Solidarity. LF: Code switching here is the way the Interviewer shows solidarity with the Participant regarding the use of both English and Zulu in one sentence. ""uScabhaboy"" is a double morphology."
,,Participant,,Has money=,Has money=,,
,,Interviewer,,Is not thinking about <zulu>ifuture ukuthi=</zulu>,Is not thinking about <english>the future that=</english>,,
,,Participant,,"<zulu>Iskole</zulu> it doesn’t mean anything. <zulu>Ngasengathi mina-ke,</zulu> think about a person=","<english>School</english> it doesn’t mean anything. <english>I then said,</english> think about a person=",,"SM: Expertise. LF: ""think about a person"" proves that the Participant knows and is comfortable in his subject matter."
,,Interviewer,,"<zulu>Okusho ukuthi yena akacabangi ngokuba</zulu> independent, <zulu>ukuthi</zulu> one day- because <zulu>nayo into efuneka ukuthi</zulu> we all want to be independent.","<english>Which means she is not thinking about being independent, that</english> one day- because <english>that is what is required</english> we all want to be independent.",,
,,Participant,,"Yes. Yes. And then <zulu label='expertise'>ngasengathi</zulu label='expertise'> “step back, <zulu>asibuyele emuva kancane”, uMawakhe naye</zulu> let’s say <zulu>mhlawumpe,</zulu> similar thing <zulu>yenzeke kuyena, kusuka lapho=</zulu>","Yes. Yes. And then <english>I said</english> “step back, <english>let us step back a bit"", her mother also</english> let’s say <english>perhaps,</english> similar thing <english>happened to her, it starts there=</english>",,"SM: Expertise. LF: the Participant uses ""ngasengithi"" to show his expertise on the topic at hand."
,,Interviewer,,<zulu>Uthini lapho? Icolonialsation esishintshile imindset?</zulu>,<english>What are you saying? Colonialisation changed our mindset?</english>,,
,,Participant,,Yes.,Yes.,,
