Name of the file,Topic,Participant,CN,Dialogue,Translation,CS/SS,Comments,
,,Interviewer,,Mm hmm. Do you ever use English with your- <Swahili label='refereeing'>wazazi wako</Swahili label='refereeing'>?,Mm hmm. Do you ever use English with your- <English>your parents</English>?,CS,SM: Refereeing.,
,,Andrew,,"<Swahili label='accomodation'>Wazazi</Swahili label='accomodation'>, English? Yea, occasionally. But not aah=","<English>Parents</English>, English? Yea, occasionally. But not aah=",CS,SM: Accomodation.,
,,Interviewer,,"But with your: brothers and sisters? So when you say English and Kiswahili, your brothers and sisters does it mean also Sheng? Like you are mixing the two or?","But with your: brothers and sisters? So when you say English and Kiswahili, your brothers and sisters does it mean also Sheng? Like you are mixing the two or?",,,
,,Andrew,,"Mmh, usually I try to shun Sheng, eh?","Mmh, usually I try to shun Sheng, eh?",,,
,,Interviewer,,To shun Sheng?,To shun Sheng?,,,
,,Andrew,,"Yea, just to make sure that it doesn't have any negative impact on my-the offic-when it comes to official communications. I remember sometime when I was still in primary school I-I almost adopted too much of Sheng. ","Yea, just to make sure that it doesn't have any negative impact on my-the offic-when it comes to official communications. I remember sometime when I was still in primary school I-I almost adopted too much of Sheng. ",,,
,,Interviewer,,Mmm hmm.,Mmm hmm.,,,
,,Andrew,,And it could-it-it-it almost brought complications to my Kiswahili.,And it could-it-it-it almost brought complications to my Kiswahili.,,,
,,Interviewer,,It was affecting your=,It was affecting your=,,,
,,Andrew,,It was affecting me=,It was affecting me=,,,
,,Interviewer,,Performance in school?,Performance in school?,,,
,,Andrew,,Yes. ,Yes. ,,,
,,Interviewer,,Ok. {You had} developed some attitude-negative attitude towards it?,Ok. {You had} developed some attitude-negative attitude towards it?,,,
,,Andrew,,"{And so I=}Yea, but not much negative=","{And so I=}Yea, but not much negative=",,,
,,Interviewer,,But now you campus. Do you use Sheng?,But now you campus. Do you use Sheng?,,,
,,Andrew,,"Sheng I-I don't use it, always. And I can say I am not always-I'm not always willing. Unless I'm=","Sheng I-I don't use it, always. And I can say I am not always-I'm not always willing. Unless I'm=",,,
,,Interviewer,,Somebody=,Somebody=,,,
,,Andrew,,Somebody communicates but then I won't object to that. I will just answer-just to make sure that the other part-the other party=,Somebody communicates but then I won't object to that. I will just answer-just to make sure that the other part-the other party=,,,
,,Interviewer,,Is this parties you are referring to are your friends? ,Is this parties you are referring to are your friends? ,,,
,,Andrew,,Yea my friends.,Yea my friends.,,,
,,Interviewer,,<Swahili>Rafiki zako hapa</Swahili> in campus?,<English>Your friends here</English> in campus?,CS,Unmarked.,
,,Andrew,,<Swahili>Ndio.</Swahili>,<English>Yes.</English>,,,
,,Interviewer,,"Soo, which language would you use with them, these friends in campus?","Soo, which language would you use with them, these friends in campus?",,,
,,Andrew,,In campus I normally get myself using Kiswahili-,In campus I normally get myself using Kiswahili-,,,
,,Interviewer,,Mmh hmm.,Mmh hmm.,,,
,,Andrew,,Yea. And when you're in these-in the academic streets and also maybe in the highway that's where we meet. Usually and mostly we try to use English.,Yea. And when you're in these-in the academic streets and also maybe in the highway that's where we meet. Usually and mostly we try to use English.,,,
,,Interviewer,,English?,English?,,,
,,Andrew,00:03:55mins,"Yea, and though in the rooms I would just use any language.  But then my roommate is-is aah, Kiswahili and History student in the school of Education so we try so much to apply the use of Kiswahili.","Yea, and though in the rooms I would just use any language.  But then my roommate is-is aah, Kiswahili and History student in the school of Education so we try so much to apply the use of Kiswahili.",,,
,,Interviewer,,Mm hmm. Mh mmh. These are your friends in-in-in campus?,Mm hmm. Mh mmh. These are your friends in-in-in campus?,,,
,,Andrew,,Yes. ,Yes. ,,,
,,Interviewer,,How about your friends at home?,How about your friends at home?,,,
,,Andrew,,"At home:, I-I remember:, usually I'm not-I-when at home, I usually stay indoors unless it is on a weekend and then I'm going for-to worship in the church.  And so you see, in the church you can't use much of Sheng. Cuz aah, we take to Sheng it actually=","At home:, I-I remember:, usually I'm not-I-when at home, I usually stay indoors unless it is on a weekend and then I'm going for-to worship in the church.  And so you see, in the church you can't use much of Sheng. Cuz aah, we take to Sheng it actually=",,,
,,Interviewer,,So most of your friends are in church?,So most of your friends are in church?,,,
,,Andrew,,In the churches [uncertain transcription],In the churches [uncertain transcription],,,
,,Interviewer,,So which languages do you use with them?,So which languages do you use with them?,,,
,,Andrew,,"We use Kiswahili, for those who are: less privileged in terms of literacy. Yea, but for those ones in the same capacity as I am maybe in the university, we use pure Kiswahili.","We use Kiswahili, for those who are: less privileged in terms of literacy. Yea, but for those ones in the same capacity as I am maybe in the university, we use pure Kiswahili.",,,
,,Interviewer,,Pure Kiswahili.,Pure Kiswahili.,,,
,,Andrew,,Yea and-and English=,Yea and-and English=,,,
,,Interviewer,,"Mm hmm, because this other Kiswahili which-which Kiswahili is it?","Mm hmm, because this other Kiswahili which-which Kiswahili is it?",,,
,,Andrew,,"We call it, Kiswahili sanifu.","We call it, Kiswahili sanifu.",,,
,,Interviewer,,"Yea, I know that is the pure one. This other one that you use with <Swahili label='exclusion'>hawa ninii</Swahili> label='exclusion', that-those guys <Swahili>wenye umesema</Swahili> aah, challenge in terms of-yea, they are not at the same level as you are. Which Kiswahil-because you said you use Kiswahili with them.","Yea, I know that is the pure one. This other one that you use with <English>these whatchamacallit</English>, that-those guys <English>who you have said</English> aah, challenge in terms of-yea, they are not at the same level as you are. Which Kiswahil-because you said you use Kiswahili with them.",CS,SM: Exclusion. OLF: These so and so's. ,
,,Andrew,,Yes. ,Yes. ,,,
,,Interviewer,,Wha-What type of Kiswahili is it?,Wha-What type of Kiswahili is it?,,,
,,Andrew,,"I think to me there is that Kiswahili which is most ah-I can say frankly because you can speak it. Yea, without much-..without much eh-tension. Let me say <Swahili label='exemplification'>kuna vile Kiswahili tuna:ongea-tunasema-tunakiita cha jikoni. Tunasema “kujako”</Swahili label='exemplification'>? [uncertain transcription] such language that we don't [uncertain transcription]=","I think to me there is that Kiswahili which is most ah-I can say frankly because you can speak it. Yea, without much-..without much eh-tension. Let me say <English>there is that Kiswahili we speak-we say-we call it of the kitchen.  We say 'kujako'</English>? [uncertain transcription] such language that we don't [uncertain transcription]=",CS,SM: Exemplification.,
,,Interviewer,,"Which is not,<Swahili> nini sio Kiswahili sanifu</Swahili>=","Which is not,<English>what, not standard Swahili</English>=",CS,Unmarked.,
,,Andrew,,"Because they've not learned [uncertain transcription] to-to learn the, <Swahili>kile Kiswahili sanifu</Swahili>.","Because they've not learned [uncertain transcription] to-to learn the, <English>that standard Swahili</English>.",CS,Unmarked.,
,,Interviewer,,Mm. So you try to accommodate them.,Mm. So you try to accommodate them.,,,
,,Andrew,00:06:00mins,"Yea, to accommodate them.","Yea, to accommodate them.",,,
,,Interviewer,,"So that they-they don't feel like “<Swahili label='quotation'>eesh, huyu jamaa amesoma sana na, anatuonyesha vile amesoma</Swahili label='quotation'>”","So that they-they don't feel like “<English>eesh, this guy is very educated and he is showing us just how educated he is</English>”",CS,SM: Quotation.,
,,Andrew,,Yea.,Yea.,,"NOTE: He giggles. He is agreeing with the notion that he doesn't use proper Kiswahili in the presence of the less educated because he doesn't want to seem like he is showing off his education, his social status as one of the educated.",
,,Interviewer,,Mmh?  Ok. So you don't [uncertain transcription],Mmh?  Ok. So you don't [uncertain transcription],,NOTE: Noisy  background. Hard to hear transcription clearly.,
,,Andrew,,Yea. Just to make sure you are communicating with them.,Yea. Just to make sure you are communicating with them.,,NOTE: This segment has noisy background. It is difficult to ascertain what is being said even by slowing down recording.,
,,Interviewer,,"That's all. Okay. Ee: tell me again, apart- in school here which languages do you use?","That's all. Okay. Ee: tell me again, apart- in school here which languages do you use?",,,
,,Andrew,,"In school here: I-I use-first as I had mentioned earlier, Kiswahili when-when I'm in the room and more so maybe in the streets I'm meeting my friends. ","In school here: I-I use-first as I had mentioned earlier, Kiswahili when-when I'm in the room and more so maybe in the streets I'm meeting my friends. ",,,
,,Interviewer,,Yes. ,Yes. ,,,
,,Andrew,,And especially my LMC colleagues.,And especially my LMC colleagues.,,,
,,Interviewer,,Yes. ,Yes. ,,,
,,Andrew,,"Then you have English. That's for the o-peop-official purposes mostly when you [uncertain transcription] And then, toward on that I'm-now that I'm-I'm-I'm a foreign language student, I uh=","Then you have English. That's for the o-peop-official purposes mostly when you [uncertain transcription] And then, toward on that I'm-now that I'm-I'm-I'm a foreign language student, I uh=",,,
,,Interviewer,,"Aaah! Yea, yea yea [uncertain transcription]","Aaah! Yea, yea yea [uncertain transcription]",,,
,,Andrew,,"Yea, I'm pursuing, my French studies.","Yea, I'm pursuing, my French studies.",,,
,,Interviewer,,Mm hmm. How-how are you-how fluent are you in French?,Mm hmm. How-how are you-how fluent are you in French?,,,
,,Andrew,,I'm not that much fluent but ah-I'm trying to be competent. I'm trying to be fluent.,I'm not that much fluent but ah-I'm trying to be competent. I'm trying to be fluent.,,,
,,Interviewer,,But you can communicate in French.,But you can communicate in French.,,,
,,Andrew,,But I can communicate.,But I can communicate.,,,
,,Interviewer,,You can communicate?,You can communicate?,,,
,,Andrew,,Yes. ,Yes. ,,,
,,Interviewer,,"With eh, fellow students, with your friends, with your lecturers?","With eh, fellow students, with your friends, with your lecturers?",,,
,,Andrew,,"Friends and lecturers, yea.","Friends and lecturers, yea.",,,
,,Interviewer,,So when do you use the French?,So when do you use the French?,,,
,,Andrew,,"More so I can state in the class and in the classes. Yes, that's one. And then when communicating- now that I'm a class representative of my group eh, we: usually use French when communicating with course lecturers. They expect you course lecturers that's maybe in text or-just, on-on our phone calls trying to arrange for classes and other activities. Yea. ","More so I can state in the class and in the classes. Yes, that's one. And then when communicating- now that I'm a class representative of my group eh, we: usually use French when communicating with course lecturers. They expect you course lecturers that's maybe in text or-just, on-on our phone calls trying to arrange for classes and other activities. Yea. ",,,
,,Interviewer,,Do you think it's important to know English?,Do you think it's important to know English?,,,
,,Andrew,,"Yea, it's very important to know English.","Yea, it's very important to know English.",,,
,,Interviewer,,[uncertain transcription] important to know English?,[uncertain transcription] important to know English?,,,
,,Andrew,00:07:56mins,"I think-I remember there was one motivational speaker who came to my former high school, that is Bungoma High School [uncertain transcription]. By then I was a finalist in-in 2009. He: tried to convince me so much.  He said everybody should know English. Why? At-as you can see, from the look of things. From-it's all over the world, English is the language of-I think it's-diplomacy and-yea, something like commerce. And so, when I try-when I sit down and try to recapture my life and try to conjoin to the future. With the kind of person I would like to be, it is really necessary that I know English because I'm also attracted towards the area of diplomacy and public relations. So as well I would like to be. It's my blood that it's=","I think-I remember there was one motivational speaker who came to my former high school, that is Bungoma High School [uncertain transcription]. By then I was a finalist in-in 2009. He: tried to convince me so much.  He said everybody should know English. Why? At-as you can see, from the look of things. From-it's all over the world, English is the language of-I think it's-diplomacy and-yea, something like commerce. And so, when I try-when I sit down and try to recapture my life and try to conjoin to the future. With the kind of person I would like to be, it is really necessary that I know English because I'm also attracted towards the area of diplomacy and public relations. So as well I would like to be. It's my blood that it's=",,Here Andrew has a lot of false starts. His disfluency is evident as he struggles to find the correct English words to complete his thought.,
,,Interviewer,,"<Swahili>Huyu m-na huyu mtu, alikuwa Mkenya</Swahili>? This motivational speaker?","<English>This-and this person, was he Kenyan</English>? This motivational speaker?",CS,Unmarked.,
,,Andrew,,"Yea,<Swahili label='accomodation'>alikuwa Mkenya</Swahili label='accomodation'>.  Yea. He was one of those competent English and literature teachers high school. And he is currently in-in Buka Academy.  ","Yea,<English>he was Kenyan</English>.  Yea. He was one of those competent English and literature teachers high school. And he is currently in-in Buka Academy.  ",CS,SM: Accomodation.,
,,Interviewer,,Oh okay. So he's somebody you: aire the way they use English?,Oh okay. So he's somebody you: aire the way they use English?,,,
,,Andrew,,I aired the way he used it.,I aired the way he used it.,,,
,,Interviewer,,He uses English?,He uses English?,,,
,,Andrew,,Yes. ,Yes. ,,,
,,Interviewer,,Uh huh.  Soo mainly for dip-for career because you had told me your interest is-is the diplomacy [uncertain transcription].  So <Swahili>Kingereza kwako ni</Swahili> career. <Swahili>Ile</Swahili>-because of career. Is it? {Is that what you're telling me?},Uh huh.  Soo mainly for dip-for career because you had told me your interest is-is the diplomacy [uncertain transcription].  So <English>English for you is</English> [for] career. <English>That</English>-because of career. Is it? {Is that what you're telling me?},CS,Unmarked.,
,,Andrew,,"{And not only-not only career}, as well, English is everywhere. And when you go to most countries, even in France, you will get to know that at least there's some-a-there's a fraction of the French who speak English. So when you fail-I-wi-maybe on my side when I will at one point fail, to be competent in French I would try to switch to English so just weigh, is there anybody I would be communicating to? In that language? But to me=","{And not only-not only career}, as well, English is everywhere. And when you go to most countries, even in France, you will get to know that at least there's some-a-there's a fraction of the French who speak English. So when you fail-I-wi-maybe on my side when I will at one point fail, to be competent in French I would try to switch to English so just weigh, is there anybody I would be communicating to? In that language? But to me=",,,
,,Interviewer,00:10:04mins,"You know, for you, you are doing French. So you have an advantage over other students mostly in Kenya because mostly people do English, as a foreign language.  Right?","You know, for you, you are doing French. So you have an advantage over other students mostly in Kenya because mostly people do English, as a foreign language.  Right?",,,
,,Andrew,,Yes. ,Yes. ,,,
,,Interviewer,,So what advantage do you think you have by knowing French?..That is different from those ones who know English? ,So what advantage do you think you have by knowing French?..That is different from those ones who know English? ,,,
,,Andrew,,"By knowing French eh?  I-on my side-and I so believe that actually as just you have stated that I tend to have an added advantage over the rest because one, I have one more foreign language, maybe when you go to [uncertain transcription].  If-when I [uncertain transcription] that fluent in French, when I go outside, let's say overseas, I'll have more chances exposed to job opportunities than that one who have done {English only}.  Let's go-say for example in Canada, they speak English and French as well. But when I go there I will have more chances-maybe-when I go there as an instructor maybe I will have specialized and I'm a professional in certain fields.   You get to know that when there's a chance there to teach, they will-I'm-I'm sure they will take me.","By knowing French eh?  I-on my side-and I so believe that actually as just you have stated that I tend to have an added advantage over the rest because one, I have one more foreign language, maybe when you go to [uncertain transcription].  If-when I [uncertain transcription] that fluent in French, when I go outside, let's say overseas, I'll have more chances exposed to job opportunities than that one who have done {English only}.  Let's go-say for example in Canada, they speak English and French as well. But when I go there I will have more chances-maybe-when I go there as an instructor maybe I will have specialized and I'm a professional in certain fields.   You get to know that when there's a chance there to teach, they will-I'm-I'm sure they will take me.",,,
,,Interviewer,,"{Only English}. Mmh, it seems <Swahili>uko na</Swahili> dreams <Swahili>za kuenda</Swahili> abroad?","{Only English}. Mmh, it seems <English>you have</English> dreams <English>of going</English> abroad?",CS,Unmarked.,
,,Andrew,,Yea. Those are my-some of my dreams. God willing.,Yea. Those are my-some of my dreams. God willing.,,,
,,Interviewer,,God willing.,God willing.,,,
,,Andrew,,If God allows I'll =,If God allows I'll =,,,
,,Interviewer,,"Mmm, I wish you had [uncertain transcription] you can have that chance eh?","Mmm, I wish you had [uncertain transcription] you can have that chance eh?",,,
,,Andrew,,Thank you.,Thank you.,,,
,Importance of Vernacular,Interviewer,,"And: how about nini-this mother tongue, native language?  Do you think it's important for anyone to know our native languages?","And: how about nini-this mother tongue, native language?  Do you think it's important for anyone to know our native languages?",,,
,,Andrew,,"Yes.  It's, very vital to know.","Yes.  It's, very vital to know.",,,
,,Interviewer,,It's vital?,It's vital?,,,
,,Andrew,,Yea it's vital {because you're}=. ,Yea it's vital {because you're}=. ,,NOTE: Andrew was about to explain why he feels knowing native languages is important when Interviewer interrupts him to say he is contradicting himself. This interruption takes us away from Andrew's authentic thought. ,
,,Interviewer,,{But then you are contradicting} yourself because you told me you have a problem [uncertain transcription] for you you feel ashamed.  ,{But then you are contradicting} yourself because you told me you have a problem [uncertain transcription] for you you feel ashamed.  ,,,
,,Andrew,00:12:00mins,"Yea, actually the reason behind the feeling ashamed actually it was the discouragement,","Yea, actually the reason behind the feeling ashamed actually it was the discouragement,",,,
,,Interviewer,,Yea. From people?,Yea. From people?,,,
,,Andrew,,"Yea, from people.","Yea, from people.",,,
,,Interviewer,,Because you {tried to speak it}?,Because you {tried to speak it}?,,,
,,Andrew,,"{In fact} Yes. In fact neighbors-I get-and the relatives. They are so much into Bukusu such that when I try to speak, they laugh at you. They say “Now are you really a Bukusu?”","{In fact} Yes. In fact neighbors-I get-and the relatives. They are so much into Bukusu such that when I try to speak, they laugh at you. They say “Now are you really a Bukusu?”",,,
,,Interviewer,,(Laughs) So why is it important? {You say it's vital}.,(Laughs) So why is it important? {You say it's vital}.,,Andrew is given another chance to answer this question.,
,,Andrew,,"{It's important because} Yea, it's important in this way eh? They have those rituals. Eh maybe the celebrations <Swahili label='elaboration'>zile sherehe</Swahili label='elaboration'> they come together. When you are together actually it feels so..more at home when you use one language then to use an- maybe in my capacity now that I'm a university student.  It will feel so much awkward, to try and maintain Kiswahili or English other than using my mother tongue, that is Kiswahili with other members. And there are some other things when, the-the-let's say <Swahili label='elaboration'>tunaziita kanuni za utamaduni. Hauwezi ukazielewa vyuma vile bila kuelewa Kibukusu. Nikijichukulia mimi mwenyewe.</Swahili label='elaboration'>","{It's important because} Yea, it's important in this way eh? They have those rituals. Eh maybe the celebrations <English>those celebrations</English> they come together. When you are together actually it feels so..more at home when you use one language then to use an- maybe in my capacity now that I'm a university student.  It will feel so much awkward, to try and maintain Kiswahili or English other than using my mother tongue, that is Kiswahili with other members. And there are some other things when, the-the-let's say <English>we call them the cultural rules.  You can't understand them without understanding Bukusu. If I were to take myself [as an example].</English>",CS,SM: Elaboration.,
,,Interviewer,,"Mm hmm. I've lived with Bukusus. And I-you're-you're a very interesting culture, especially when it comes to nini-eeh: right of passage.","Mm hmm. I've lived with Bukusus. And I-you're-you're a very interesting culture, especially when it comes to nini-eeh: right of passage.",,,
,,Andrew,,Yes. ,Yes. ,,,
,,Interviewer,,What do you call it?,What do you call it?,,,
,,Andrew,,The..<Swahili>tohara</Swahili>.,The..<English>circumcision</English>.,CS,Unmarked.,
,,Interviewer,,<Swahili>Tohara</Swahili>.,<English>Circumcision</English>.,,,
,,Andrew,,Yes. ,Yes. ,,,
,,Interviewer,,Mmm.  Very interesting. So you think it's important for such cultural things-to know Bukusu for you?,Mmm.  Very interesting. So you think it's important for such cultural things-to know Bukusu for you?,,Andrew does not  understand the question. So he just starts to talk about the tohara.,
,,Andrew,,Yea. As in-in order to carry out the mm:=,Yea. As in-in order to carry out the mm:=,,,
,,Interviewer,,Just to feel part of the community.,Just to feel part of the community.,,,
,,Andrew,,(Pause) The <Swahili>tohara</Swahili> -the <Swahili>tohara</Swahili>:=,(Pause) The <English>circumcision</English> -the <English>circumcision</English>:=,CS,Unmarked.,
,,Interviewer,,"No, no, not the act of <Swahili>tohara</Swahili>. Because it's always an event that people follow, people are happy, people dance. Would you want to know-I mean would Bukusu-knowing Bukusu help you like mingle and-and,","No, no, not the act of <English>circumcision</English>. Because it's always an event that people follow, people are happy, people dance. Would you want to know-I mean would Bukusu-knowing Bukusu help you like mingle and-and,",CS,Unmarked.,
,,Andrew,00:14:00mins,"Yes, it will really help. It comes in handy. ","Yes, it will really help. It comes in handy. ",,,
,,Interviewer,,You said those events that-that you feel you need to know that your language. What else? What other reasons do you think..your native language is important for you? {And not just} [uncertain transcription] any other people because Kenya we have got some forty two,You said those events that-that you feel you need to know that your language. What else? What other reasons do you think..your native language is important for you? {And not just} [uncertain transcription] any other people because Kenya we have got some forty two,,Noisy  background. Hard to hear transcription clearly.,
,,Andrew,,"{Yea, I think} Mm, yea really it's im-it's-it's important to know even as many vernacular languages as possible because trust me.  When-let me say I am only competent in English, Kiswahili and my vernacular Kibukusu. When I've-when taken to Central, be sure, kule mashinani (grassroots, trenches) Central, I won't survive. Because, not-not-mm, various regions-ai, all over the world you never get intellectuals only. You get as well those who-those people who've just stuck to their native languages. Yea, like I-I can give an example from my community. There are those people you can talk to them in Kiswahili and then you won't get a response you wont' be communicating. Yea.","{Yea, I think} Mm, yea really it's im-it's-it's important to know even as many vernacular languages as possible because trust me.  When-let me say I am only competent in English, Kiswahili and my vernacular Kibukusu. When I've-when taken to Central, be sure, kule mashinani (grassroots, trenches) Central, I won't survive. Because, not-not-mm, various regions-ai, all over the world you never get intellectuals only. You get as well those who-those people who've just stuck to their native languages. Yea, like I-I can give an example from my community. There are those people you can talk to them in Kiswahili and then you won't get a response you wont' be communicating. Yea.",,Here Andrew has a lot of false starts. His disfluency is evident as he struggles to find the correct English words to complete his thought.,
,,Interviewer,,Mm. But don't you think that is encouraging tribalism?,Mm. But don't you think that is encouraging tribalism?,,Leading question. Not objective. “Don't you think” suggests that the thought in question is the desired way of being. So Andrew is left no choice but to agree.,
,,Andrew,,Yea.,Yea.,,,
,,Interviewer,,[uncertain transcription] <Swahili>tunasema kila siku</Swahili> .,[uncertain transcription] <English>we say [it] everyday</English> .,,,
,,Andrew,,"Yea, that encourages tribalism so much.","Yea, that encourages tribalism so much.",,,
,,Interviewer,,Do you think-so you think also now our native language is not good.  Because of-of issues  <Swahili>na ukabila</Swahili>?,Do you think-so you think also now our native language is not good.  Because of-of issues <English>with tribalism</English>?,CS,Unmarked.,
,,Andrew,,"Yea, it's good to know them. But you-yea, know them for their positive reasons and not for the=","Yea, it's good to know them. But you-yea, know them for their positive reasons and not for the=",,,
,,Interviewer,,So do you think the positive reasons outweigh the negative?,So do you think the positive reasons outweigh the negative?,,,
,,Andrew,,At the moment I can say as for the situation in Kenya the negative reasons outweigh the positive ones. ,At the moment I can say as for the situation in Kenya the negative reasons outweigh the positive ones. ,,,
,,Interviewer,,"But is it-is it the language that is the problem, or the people?","But is it-is it the language that is the problem, or the people?",,,
,,Andrew,,"(Long pause) Yea, to me it's=","(Long pause) Yea, to me it's=",,,
,,Interviewer,,Is it the language or the people? {It's separate things},Is it the language or the people? {It's separate things},,,
,,Andrew,,"I think the {people, the people.} Yea, yea, people are the problem. Yes.","I think the {people, the people.} Yea, yea, people are the problem. Yes.",,,
,,Interviewer,00:16:00mins,"Mm hmm. <Swahili>Wenye wanatumia ninii vibaya. Hayo mambo kuhusu</Swahili> [uncertain transcription] so you think it's the people. But the language itself is, there's nothing wrong with it.","Mm hmm. <English>Those who use watchamacallit badly.  Those issues regarding</English> [uncertain transcription] so you think it's the people. But the language itself is, there's nothing wrong with it.",CS,Unmarked.,
