Name of the file,Topic,Participant,CN,Dialogue,Translation,CS,Comments,Notes,,,,,
,,Fred,,"Yea she doesn't want me to use this. She says that you see, <Swahili label='refereeing'>lugha ya siku hizi unavenye [uncertain transcription-recording has a lot of extra noise] yani</Swahili label='refereeing'>, that's why things you can be [uncertain transcription] you can be saying something. But that's not what it means. She says that we <Swahili label='high solidarity'>vijana</Swahili label='high solidarity'> nowadays we are tricky.","Yea she doesn't want me to use this. She says that you see, <English>the language of nowadays you have the ones [uncertain transcription-recording has a lot of extra noise] I mean</English>, that's why things you can be [uncertain transcription] you can be saying something. But that's not what it means. She says that we <English>the youth</English> nowadays we are tricky.",CS,SM: Refereeing. SM: High solidarity.,"Although, Fred is not quoting his mother I believe he switched to Swahili because it adds emphasis to what he is saying. By association, the word ""vijana"" (the youth) may likely spark within Fred and the interviewer a full package of meaning,  culture and subculture that would not be similarly conveyed in the word youth.",,,,,
,,Interviewer,,"Oooh, okay.","Oooh, okay.",,,,,,,,
,,Fred,,Yea. So we might be saying something you are talking but in that you don't mean whatever you are saying?,Yea. So we might be saying something you are talking but in that you don't mean whatever you are saying?,,,,,,,,
,,Interviewer,,Is it because you have done that sometime back?,Is it because you have done that sometime back?,,,,,,,,
,,Fred,,(laughs) ,(laughs) ,,,,,,,,
,,Interviewer,,That's that she knows that when you switch to-to this you? Is it?,That's that she knows that when you switch to-to this you? Is it?,,,,,,,,
,,Fred,,Yea we do it commonly when I'm with my friends. Yea so:=,Yea we do it commonly when I'm with my friends. Yea so:=,,,,,,,,
,,Interviewer,,"So she knows you are, you are capable of hiding things (Fred laughs heartily)","So she knows you are, you are capable of hiding things (Fred laughs heartily)",,,,,,,,
,,Fred,,Yea.,Yea.,,,,,,,,
,,Interviewer,,And with your brother you said you speak English.,And with your brother you said you speak English.,,,,,,,,
,,Fred,,Yes.,Yes.,,,,,,,,
,,Interviewer,,Just English?,Just English?,,,,,,,,
,,Fred,,"Yea, mostly it's English.","Yea, mostly it's English.",,,,,,,,
,,Interviewer,,Mostly it's English.,Mostly it's English.,,,,,,,,
,,Fred,,Yea but some other times can be Dholuo or Swahili=,Yea but some other times can be Dholuo or Swahili=,,,,,,,,
,,Interviewer,,Why? Why English?,Why? Why English?,,,,,,,,
,,Fred,,I don't even know but that's [uncertain transcription] the context that we find ourselves into.,I don't even know but that's [uncertain transcription] the context that we find ourselves into.,,,,,,,,
,,Interviewer,,Mmm. ,Mmm. ,,,,,,,,
,,Fred,,That's where=,That's where=,,,,,,,,
,,Interviewer,,When you are at home=,When you are at home=,,,,,,,,
,,Fred,,"Even when he calls me, it's just English.","Even when he calls me, it's just English.",,,,,,,,
,,Interviewer,,"Aah, how-is he older than you?","Aah, how-is he older than you?",,,,,,,,
,,Fred,,He is my elder brother he's older than me.,He is my elder brother he's older than me.,,,,,,,,
,,Interviewer,,Your elder brother.,Your elder brother.,,,,,,,,
,,Fred,,The eldest in the family.,The eldest in the family.,,,,,,,,
,,Interviewer,,Is he:-eeh-somebody in some position somewhere [uncertain transcription]=,Is he:-eeh-somebody in some position somewhere [uncertain transcription]=,,,,,,,,
,,Fred,,"Yea, he's a teacher.","Yea, he's a teacher.",,,,,,,,
,,Interviewer,,He's a teacher.,He's a teacher.,,,,,,,,
,,Fred,,Yea. He's a teacher.,Yea. He's a teacher.,,,,,,,,
,,Interviewer,,Is that some-do you think that could be the reason?,Is that some-do you think that could be the reason?,,,,,,,,
,,Fred,,"Mm, maybe but (laughs). You know I also to find that I just like it when I'm with=","Mm, maybe but (laughs). You know I also to find that I just like it when I'm with=",,,,,,,,
,,Interviewer,,Is he a-is he an English teacher?,Is he a-is he an English teacher?,,,,,,,,
,,Fred,,"No he teaches eh-CRE,","No he teaches eh-CRE,",,,,,,,,
,,Interviewer,,CRE.,CRE.,,,,,,,,
,,Fred,,And Swahili. But mostly we speak in English.,And Swahili. But mostly we speak in English.,,,,,,,,
,,Interviewer,00:02:15mins,"Mm, okay=","Mm, okay=",,,,,,,,
,,Fred,,Whene=,Whene=,,,,,,,,
,,Interviewer,,So his Swahili he knows. He's teaching Kiswahili then he's-must be very good. So he would speak Kiswahili if he wanted.,So his Swahili he knows. He's teaching Kiswahili then he's-must be very good. So he would speak Kiswahili if he wanted.,,,,,,,,
,,Fred,,"Yea, but mostly he prefer English.","Yea, but mostly he prefer English.",,,,,,,,
,,Interviewer,,(The background is extremely noisy) You know there is this thing about Luo people. That <Swahili label='quotation'>Kiswahili ni ngumu!</Swahili label='quotation'> (Fred laughs) Is it true? That <Swahili>Kiswahili ni ngumu</Swahili> for Luos?,(The background is extremely noisy) You know there is this thing about Luo people. That <English>Swahili is hard!</English> (Fred laughs) Is it true? That <English>Swahili is hard</Swahili> for Luos?,CS,SM: Quotation.,"This sounds like an indirect quote, a phrase that may often be said of Luos ""Swahili is hard!""",,,,,
,,Fred,,Just like you said it's a stereotype.,Just like you said it's a stereotype.,,,,,,,,
,,Interviewer,,It's a stereotype.,It's a stereotype.,,,,,,,,
,,Fred,,"Yea because you see now just-the last exams [uncertain transcription] going back to the KCSE and that the school that I think 2010 it was Kisumu girls and you see that-that is also in fact in the center, let's say the heart of Luo.","Yea because you see now just-the last exams [uncertain transcription] going back to the KCSE and that the school that I think 2010 it was Kisumu girls and you see that-that is also in fact in the center, let's say the heart of Luo.",,,,,,,,
,,Interviewer,,Luo-Luoland.,Luo-Luoland.,,,,,,,,
,,Fred,,You see and they beat people in Swahili. I also myself I did very well in Swahili and I am proficient in Swahili language so I don't know.,You see and they beat people in Swahili. I also myself I did very well in Swahili and I am proficient in Swahili language so I don't know.,,,,,,,,
,,Interviewer,,You know there is a difference between written and spoken Swahili?,You know there is a difference between written and-and spoken Swahili?,,,,,,,,
,,Fred,,Yea. ,Yea. ,,,,,,,,
,,Interviewer,,<Swahili>Yako ni ile ya kuongea</Swahili>=,<English>Yours is the spoken one</English>=,,,,,,,,
,,Fred,,Both.,Both.,,,,,,,,
,,Interviewer,,<Swahili>Ama ya</Swahili>=,<English>Or of</English>=,,,,,,,,
,,Fred,,Both. I can=,Both. I can=,,,,,,,,
,,Interviewer,,You are confident?,You are confident?,,,,,,,,
,,Fred,,Yes I am confident. <Swahili label='high expertise'>Naweza nikazungumza na kuongea.</Swahili label='high expertise'>,Yes I am confident. <English>I can speak and talk.</English>,CS,"SM: High Expertise OLF: To emphacize how confident he is in his Swahili language skills, Fred switches to Swahili.",,,,,,
,,Interviewer,,So it's a stereotype?,So it's a stereotype?,,,,,,,,
,,Fred,,Yea.,Yea.,,,,,,,,
,,Interviewer,,<Swahili>Eeh si ati</Swahili> it's a true thing?,<English>Eeh it's not that</English> it's a true thing?,CS,Unmarked.,,,,,,
,,Fred,,Even though most people you find that yani they lack ah-they-<Swahili>yani</Swahili> mostly it is upbringing. <Swahili>Yani venye mtu amelelewa unaona? Sisi</Swahili> mostly <Swahili>ukiwa huko mashambani ukizaliwa huko unakaa huko</Swahili> maybe <Swahili>lugha ambayo inazungumzwa pale ni Ki-ni Dholuo</Swahili>. So and you see language a person develops language majorly from their environment. The environment can determine what language a person speaks. So being that the-where we are it's Dholuo and even if <Swahili>ukienda</Swahili> Class One the language that they introduce you to will be Dholuo. They will be teaching you in Dholuo from Class One=,"Even though most people you find that yani they lack ah-they-<English>that is</English> mostly it is upbringing. <English>That is the way a person a person is brought up you see?  We</English> mostly <English>when you are out there in the rural if you are born out there, you live out there</English> maybe <English>the language that is spoken there is Dholuo</English>. So and you see language a person develops language majorly from their environment. The environment can determine what language a person speaks. So being that the-where we are it's Dholuo and even if <English>you go</English> Class One the language that they introduce you to will be Dholuo. They will be teaching you in Dholuo from Class One=",CS,Unmarked.,,,,,,
,,Interviewer,,I tend to have an issue with Dholuo. Dholuo is-is your language=,I tend to have an issue with Dholuo. Dholuo is-is your language=,,,,,,,,
,,Fred,,That is our language.,That is our language.,,,,,,,,
,,Interviewer,,It's your first language.,It's your first language.,,,,,,,,
,,Fred,,Exactly. ,Exactly. ,,,,,,,,
,,Interviewer,,"My issue is, why there's this stereotype that Luos prefer English then Kiswahili. They mostly=","My issue is, why there's this stereotype that Luos prefer English then Kiswahili. They mostly=",,,,,,,,
,,Fred,,Prefer English.,Prefer English.,,,,,,,,
,,Interviewer,,Yea.,Yea.,,,,,,,,
,,Fred,,I think one of the reasons=,I think one of the reasons=,,,,,,,,
,,Interviewer,,Especially when they speak to people who are non Luo.,Especially when they speak to people who are non Luo.,,,,,,,,
,,Fred,,"You see, when-why I think most Luos prefer English. In fact <Swahili>yani na wanasema ile [uncertain transcription]</Swahili>, the: high status that the English language has been given. And you see nobody likes to be left-to be-to be left behind. (they both laugh heartily)","You see, when-why I think most Luos prefer English. In fact <English>I mean and they say that[uncertain transcription]</English>, the: high status that the English language has been given. And you see nobody likes to be left-to be-to be left behind. (they both laugh heartily)",CS,Unmarked.,,,,,,
,,Interviewer,,The Luos won't like to be left behind.,The Luos won't like to be left behind.,,,,,,,,
,,Fred,,Exactly. ,Exactly. ,,,,,,,,
,,Interviewer,,So you are now agreeing that the stereotype [uncertain transcription] as true.,So you are now agreeing that the stereotype [uncertain transcription] as true.,,,,,,,,
,,Fred,,Yea it might be there.,Yea it might be there.,,,,,,,,
,Languages Spoken with Friends,Interviewer,00:04:22mins,So we-what languages do you speak with your friends?,So we-what languages do you speak with your friends?,,,,,,,,
,,Fred,,"My friends we speak Sheng, Swahili=","My friends we speak Sheng, Swahili=",,,,,,,,
,,Interviewer,,When you say Sheng what do you mean?,When you say Sheng what do you mean?,,,,,,,,
,,Fred,,This the-the language of the <Swahili label ='high solidarity'>vijana. Eh hii lugha mpya imezuka</Swahili label ='high solidarity'>. I find that=,This the-the language of the <English>the youth. Eh this new language has emerged</English>. I find that=,CS,"SM: High solidarity. OLF: I believe he switched to Swahili because it adds emphasis to what he is saying. By association, the word ""vijana"" (the youth) may likely spark within Fred and the interviewer a full package of meaning,  culture and subculture that would not be similarly conveyed in the word youth.",,,,,,
,,Interviewer,,So it is-it's so-it's a language that is..a language in itself or a mixture of languages?,So it is-it's so-it's a language that is..a language in itself or a mixture of languages?,,,,,,,,
,,Fred,,It's a mixture of languages. ,It's a mixture of languages. ,,,,,,,,
,,Interviewer,,Which languages do you mix=,Which languages do you mix=,,,,,,,,
,,Fred,,Mostly in Swahili and English. ,Mostly in Swahili and English. ,,,,,,,,
,,Interviewer,,Swahili and English.,Swahili and English.,,,,,,,,
,,Fred,,Yea. ,Yea. ,,,,,,,,
,,Interviewer,,So when you are talking to your friends you mix.,So when you are talking to your friends you mix.,,,,,,,,
,,Fred,,Yea you mix Swahili=,Yea you mix Swahili=,,,,,,,,
,,Interviewer,,"Any Dholuo sometimes, with your friends?","Any Dholuo sometimes, with your friends?",,,,,,,,
,,Fred,,"Dholuo, that is when I'm with my Luo friends.","Dholuo, that is when I'm with my Luo friends.",,,,,,,,
,,Interviewer,,Eh he. I'm talking of those friends at home and I assume most of them will be Luo because it's-it's Nyanza.,Eh he. I'm talking of those friends at home and I assume most of them will be Luo because it's-it's Nyanza.,,,There is a long pause here after his last question and before she asks this question.,,,,,
,,Fred,,"Yea, but again just like you had said. You said those that have gone to school, they would really-they won't really like to speak in Luo.","Yea, but again just like you had said. You said those that have gone to school, they would really-they won't really like to speak in Luo.",,,,,,,,
,,Interviewer,,Aah [uncertain transcription] (they both laugh),Aah [uncertain transcription] (they both laugh),,,,,,,,
,,Fred,,"So if I’m with them, the language that we speak mostly it is not Sheng it's either English or Swahili.","So if I’m with them, the language that we speak mostly it is not Sheng it's either English or Swahili.",,,,,,,,
,,Interviewer,,Friends in school?,Friends in school?,,,,,,,,
,,Fred,,Friends in school. Again like let's say here in school I have mm-several different kind of friends and most of them you find mostly in Swahili or English.,Friends in school. Again like let's say here in school I have mm-several different kind of friends and most of them you find mostly in Swahili or English.,,,,,,,,
,,Interviewer,,Most of the Kiswahili.,Most of the Kiswahili.,,,,,,,,
,,Fred,,That's the language that we speak.,That's the language that we speak.,,,,,,,,
,,Interviewer,,Others?,Others?,,,,,,,,
,,Fred,,Others like my Luo friends we'll always speak Luo [uncertain transcription],Others like my Luo friends we'll always speak Luo [uncertain transcription],,,,,,,,
,,Interviewer,,Even here in campus?,Even here in campus?,,,,,,,,
,,Fred,,"Exactly. See, the matter-or the reason behind is just for convenience. There are certain=","Exactly. See, the matter-or the reason behind is just for convenience. There are certain=",,,,,,,,
,,Interviewer,,It sounds like you want to talk about these other people from {other communities}.,It sounds like you want to talk about these other people from {other communities}.,,,,,,,,
,,Fred,,"{Ah ah!} No, there are certain things that you don't even have their words-their the-their tongues how you can hold them in Luo, in-maybe in English so, for-for that-for a person to know it better you just have it to say it in the language that that person understands. ","{Ah ah!} No, there are certain things that you don't even have their words-their the-their tongues how you can hold them in Luo, in-maybe in English so, for-for that-for a person to know it better you just have it to say it in the language that that person understands. ",,,,,,,,
,,Interviewer,,Understands.,Understands.,,,,,,,,
,,Fred,,Yea.,Yea.,,,,,,,,
,,Interviewer,,"Which is Luo, in this case. ","Which is Luo, in this case. ",,,,,,,,
,,Fred,,Mm hmm.,Mm hmm.,,,,,,,,
,The Importance of Knowing English,Interviewer,00:05:50mins,Okay. Do you think it's important for-for you or anybody to know English?,Okay. Do you think it's important for-for you or anybody to know English?,,,,,,,,
,,Fred,,"Yea, I think it's important {for people to know}. ","Yea, I think it's important {for people to know}. ",,,,,,,,
,,Interviewer,,{You think it's important},{You think it's important},,,,,,,,
,,Fred,,Yea.,Yea.,,,,,,,,
,,Interviewer,,Why is it important? <Swahili label='emphasis'>Ina muhimu gani</Swahili label='emphasis'>?,Why is it important? <English>What importance does it have</English>?,CS,SM: Emphasis.,,,,,,
,,Fred,,"<Swahili label='accomodation'>Mm, sababu ya kwanza</Swahili label='accomodation'> maybe <Swahili>mtu kujua Kiingereza</Swahili>, you see it's-eeh aah-things like this you say that the language that is spoken-the widely spoken language in the world I think it's English.  So, if you-nobody want to be left behind just like I had said. If you don't know this English how will you communicate [uncertain transcription]. Like you find that-I personally I don't know French. And in Facebook I have French-friends who speak French they don't know English. So you find that for us to communicate maybe I have to get another friend who knows French then he translates tells me that if you want to say ""hi"" you do write this way then that person replies and you {see it's really tedious}.","Mm, <English>the first reason</English> maybe <English>a person to know English</English>, you see it's-eeh aah-things like this you say that the language that is spoken-the widely spoken language in the world I think it's English.  So, if you-nobody want to be left behind just like I had said. If you don't know this English how will you communicate [uncertain transcription]. Like you find that-I personally I don't know French. And in Facebook I have French-friends who speak French they don't know English. So you find that for us to communicate maybe I have to get another friend who knows French then he translates tells me that if you want to say ""hi"" you do write this way then that person replies and you {see it's really tedious}.",CS,"SM: Accomodation. OLF: For some minutes now they have both been speaking only in English. But as soon as interviewer used Swahili, Fred in turn responded in Swahili.",,,,,,
,,Interviewer,,{Does that prove} that-that it is important to know French?,{Does that prove} that-that it is important to know French?,,,,,,,,
,,Fred,,Yea it's also important to know these other languages such that=,Yea it's also important to know these other languages such that=,,,,,,,,
,,Interviewer,,Why don't you learn French? Now that it's also important. Not English. Why don't you learn the French?,Why don't you learn French? Now that it's also important. Not English. Why don't you learn the French?,,,,,,,,
,,Fred,,"Mm, maybe it's the environment where I am in.  Find that the environment where I am in=","Mm, maybe it's the environment where I am in.  Find that the environment where I am in=",,,,,,,,
,,Interviewer,,Is not French.,Is not French.,,,,,,,,
,,Fred,,"French is not that-is not that common. In fact like in our class we only have one person who is confident and he can speak solely in French. So <Swahili>ni ngumu sana mimi binafsi kujua na kuanzia kutoka</Swahili> primary school, secondary school=","French is not that-is not that common. In fact like in our class we only have one person who is confident and he can speak solely in French. So <English>it is very hard for me to personally to start.  From</English> primary school, secondary school=",CS,Unmarked.,,,,,,
,,Interviewer,,You have been using English.,You have been using English.,,,,,,,,
,,Fred,,Just English. <Swahili>Hata sijawahi kuwa kwa</Swahili> French class.,Just English. <English>Even I have never been in a</English> French class.,CS,Unmarked.,,,,,,
,,Interviewer,00:07:11mins,Mm hmm. Na Dholuo? What-is it important for somebody to know Dholuo?,Mm hmm. Na Dholuo? What-is it important for somebody to know Dholuo?,,,,,,,,
,,Fred,,Yes! That's very important. Mandatory. A person must know their language.,Yes! That's very important. Mandatory. A person must know their language.,,,,,,,,
,,Interviewer,,You are-eh he? Why? Why I mean because you can-you can survive without Dholuo.,You are-eh he? Why? Why I mean because you can-you can survive without Dholuo.,,,,,,,,
,,Fred,,Yea.,Yea.,,,,,,,,
,,Interviewer,,"And there are those Luo eeh people who are born for example in these urban areas. Okay. Not only Dholuo even others-these other [uncertain transcription] born in urban areas, grew up speaking Kiswahili and=","And there are those Luo eeh people who are born for example in these urban areas. Okay. Not only Dholuo even others-these other [uncertain transcription] born in urban areas, grew up speaking Kiswahili and=",,,,,,,,
,,Fred,,English.,English.,,,,,,,,
,,Interviewer,,English. That is why-why do you say it's mandatory=,English. That is why-why do you say it's mandatory=,,,,,,,,
,,Fred,,"But you see it's very necessary. For:-just for personal safety like let's ss-take the example for the one the post election violence that happened in Kenya in 2007. You see, there are some people that the-<Swahili>yani ile</Swahili> time <Swahili>kuzaliwa, ye alizaliwaga</Swahili> town. <Swahili>Kila kitu akafanyia huko na lakini alikuwa anasikia eti ""kwetu"", kwetu ni</Swahili> a place <Swahili>inaitwa Bondo</Swahili>. So <Swahili>vita vimetokea anataka aende huko</Swahili>. By the time <Swahili>anafika</Swahili> he reaches maybe that place [uncertain transcription] so do you see these people now trust-they start trusting <Swahili>ati huyo naye anatoka wapi? Kisha unapata</Swahili> doing that this person <Swahili>hata hajui lugha yake</Swahili> even communicating to these people is very difficult. So I think knowing your native language, hey it can also be used as a tool for identifying you. Yea, that this where you come from because [uncertain transcription] <Swahili>kama wewe</Swahili> you know that language.  You know, when let's say you have a problem, you can be traced-your origin can be traced that this person he's called Ochieng and yes that is a Luo name but he does not know any Luo. So because you see Luos we also have different ways of speaking. If let's say someone is lost then he says that ""I'm called Ochieng"". Then I-according to the person that you are with you will know that this Ochieng is speaking some Luo. And this Luo is the type of language he's speaking is majorly common let's say in [says a Luo name/word], therefore you can be taken there. That is just for identification. And another thing is you see our culture. People learn culture through the languages. Because just like I had said <Swahili label='high solidarity'>kuna maneno mengine ambapo ukitaka kuzungumza</Swahili label='high solidarity'> maybe <Swahili>kwa Kiingereza</Swahili> you'll never get them. ","But you see it's very necessary. For:-just for personal safety like let's ss-take the example for the one the post election violence that happened in Kenya in 2007. You see, there are some people that the-<English>I mean that</English> time <English>of birth, s/he was born in</English> town. <English>Everything s/he did out there but s/he was hearing ""Ours, ours is</English> a place <English>it is called Bondo</English>. So <English>fighting happens and s/he wants to go out there</English>. By the time <English>s/he gets there</English> he reaches maybe that place [uncertain transcription] so do you see these people now trust-they start trusting <English>now where is that person coming from? Then you find</English> doing that this person <English>doesn't even know his/her language</English> even communicating to these people is very difficult. So I think knowing your native language, hey it can also be used as a tool for identifying you. Yea, that this where you come from because [uncertain transcription] <English>like you</English> you know that language.  You know, when let's say you have a problem, you can be traced-your origin can be traced that this person he's called Ochieng and yes that is a Luo name but he does not know any Luo. So because you see Luos we also have different ways of speaking. If let's say someone is lost then he says that ""I'm called Ochieng"". Then I-according to the person that you are with you will know that this Ochieng is speaking some Luo. And this Luo is the type of language he's speaking is majorly common let's say in [says a Luo name/word], therefore you can be taken there. That is just for identification. And another thing is you see our culture. People learn culture through the languages. Because just like I had said <English>there are some words where if you want to say</English> maybe <English>in English</English> you'll never get them. ",CS,SM: High Solidarity.,,,,,,
,,Interviewer,,You'll never,You'll never,,,,,,,,
,,Fred,,So that's why I-at least <Swahili label='high solidarity'>tukijua ile lugha yako</Swahili label='high solidarity'> your native language I think it's better.,So that's why I-at least <English>if we know that your language</English> your native language I think it's better.,CS,SM: High Solidarity.,,,,,,
,,Interviewer,,"Aah. So: English, native language in terms of importance both of them are important to-you feel that English could be more important? [uncertain transcription] or it is the other way around?  Which one is more important for you?","Aah. So: English, native language in terms of importance both of them are important to-you feel that English could be more important? [uncertain transcription] or it is the other way around?  Which one is more important for you?",,,,,,,,
,,Fred,,"Uuh, between these?","Uuh, between these?",,,,,,,,
,,Interviewer,,Yea. ,Yea. ,,,,,,,,
,,Fred,,"I think now I-in matters of importance, in the world that we are [uncertain transcription] nowadays I think English it is a bit-is more important because the offices that we: maybe let's say when looking for job, they never tell you to write anything in your native language. Let's say it's a cv you are writing, that cv is written in English. Then most offices it's just English.","I think now I-in matters of importance, in the world that we are [uncertain transcription] nowadays I think English it is a bit-is more important because the offices that we: maybe let's say when looking for job, they never tell you to write anything in your native language. Let's say it's a cv you are writing, that cv is written in English. Then most offices it's just English.",,,,,,,,
,,Interviewer,,Then there are people who-you come from [uncertain transcription]?,Then there are people who-you come from [uncertain transcription]?,,,,,,,,
,,Fred,,No I come from Siaya.,No I come from Siaya.,,,,,,,,
,,Interviewer,,"You co-come from Siaya [uncertain transcription] (noisy background). Went to school with men or women didn’t go to school, just do their-their work. Is there-is there fishing in Siaya?","You co-come from Siaya [uncertain transcription] (noisy background). Went to school with men or women didn’t go to school, just do their-their work. Is there-is there fishing in Siaya?",,,,,,,,
,,Fred,,Yea there's fishing.  Yes. ,Yea there's fishing.  Yes. ,,,,,,,,
,,Interviewer,,"They just do their fishing, they grow up doing fishing, living their with their families, get married there. Is it important for them now to le-because they don't access any offices for example. Is it important?","They just do their fishing, they grow up doing fishing, living their with their families, get married there. Is it important for them now to le-because they don't access any offices for example. Is it important?",,,,,,,,
,,Fred,,"But even in those places, they might need aah-they might need assistance. ","But even in those places, they might need aah-they might need assistance. ",,,,,,,,
,,Interviewer,,In the offices.,In the offices.,,,,,,,,
,,Fred,,"Yea, in the offices=","Yea, in the offices=",,,,,,,,
,,Interviewer,,"But mostly, you go to an office, you'll find <Swahili>watu wenye ako hapo</Swahili> most of them I-are=","But mostly, you go to an office, you'll find <English>the people who are there</English> most of them I-are=",CS,Unmarked.,,,,,,
,,Fred,,The natives.,The natives.,,,,,,,,
,,Interviewer,,"They are the native speakers or, one of them even if the office I want to see is not-is not a speaker of Dholuo, there's somebody there who can translate.","They are the native speakers or, one of them even if the office I want to see is not-is not a speaker of Dholuo, there's somebody there who can translate.",,,,,,,,
,,Fred,,"Yea, but ah=","Yea, but ah=",,,,,,,,
,,Interviewer,,So is it important for such a person?,So is it important for such a person?,,,,,,,,
,,Fred,,"Yea, it's also important at least you know because let's say-let's say the offices that you go out to, the people that you find there, they are Luos.  And you see, aah-the:-how-the world is changing. Things are becoming digital. How will this person not use these aah, things if he does not know any other languages?  Like for example a phone. You see you can-you cannot just give someone a phone who does not know maybe how to read. Mm, how to read maybe writing that one is not a problem but reading because the phone needs you to read whatever is written on there so=","Yea, it's also important at least you know because let's say-let's say the offices that you go out to, the people that you find there, they are Luos.  And you see, aah-the:-how-the world is changing. Things are becoming digital. How will this person not use these aah, things if he does not know any other languages?  Like for example a phone. You see you can-you cannot just give someone a phone who does not know maybe how to read. Mm, how to read maybe writing that one is not a problem but reading because the phone needs you to read whatever is written on there so=",,,,,,,,
,,Interviewer,,So it seems they cannot escape from this,So it seems they cannot escape from this,,,,,,,,
,,Fred,,"Yea they cannot. Let's say there's M-Pesa here. <Swahili>Itabidi, kama unataka</Swahili> maybe <Swahili>ku</Swahili>withdraw <Swahili label='quotation'>pesa kupelekea mtu wa M-Pesa umwambie ""hebu fanya hii, fanya hivi na hivi. Niweke PIN. PIN nasikiaga eti</Swahili label='quotation'> it's my year of birth. <Swahili>Hapo</Swahili>=(they both laugh)","Yea they cannot. Let's say there's M-Pesa here. <English>You will have to, if you want to</English> maybe <English>to</English>withdraw <English>money to give to a person of M-Pesa and tell him/her ""Do this, do this and this. Put for me my PIN. The PIN I hear it is</English> it's my year of birth. <English>There</English>=(they both laugh)",CS,SM: Quotation.,,,,,,
,,Interview,,Mm. So you can see your money.,Mm. So you can see your money.,,,,,,,,
,,Fred,,So they can see your money. So it is important at least <Swahili>mtu aijue</Swahili>.,So they can see your money. So it is important at least <English>a person knows it</English>.,CS,Unmarked.,,,,,,
,,Interviewer,,"So <Swahili>umeniambia</Swahili> you speak eeh-Dholuo, Kiswahili, English.  Any other language you know? ","So <English>you have told me</English> you speak eeh-Dholuo, Kiswahili, English.  Any other language you know? ",CS,Unmarked.,,,,,,
,,Fred,,I'm trying to learn these other languages.,I'm trying to learn these other languages.,,,,,,,,
,,Interviewer,,Like?,Like?,,,,,,,,
,,Fred,,"Like maybe Kikisii cuz most of my friends so whenever we are together I ask them ""let's say you want to tell someone that I love you, how do you say {it in your} language?"" ","Like maybe Kikisii cuz most of my friends so whenever we are together I ask them ""let's say you want to tell someone that I love you, how do you say {it in your} language?"" ",,,,,,,,
,,Interviewer,,{How do you say it} (the both laugh),{How do you say it} (the both laugh),,,,,,,,
,,Fred,,I think-I think-I personallly I also have an interest in language so I try it.,I think-I think-I personallly I also have an interest in language so I try it.,,,,,,,,
,,Interviewer,,You try it.,You try it.,,,,,,,,
,,Fred,,"<Swahili>Naweza uliza mabesties wangu</Swahili> at least <Swahili>waniambie</Swahili>, at least <Swahili>hata</Swahili>. Cuz I used to hear that during that post election violence, that some people only the-the language saved them.","<English>I can ask my best friends</English> at least <English>to tell me</English>, at least <English>even</English>. Cuz I used to hear that during that post election violence, that some people only the-the language saved them.",CS,Unmarked.,,,,,,
,,Interviewer,,Saved them.,Saved them.,,,,,,,,
