Name of the file,Topic,Participant,CN,Dialogue,Translation,CSs/s,Comments
,,Interviewer,,"Now, so in what instance would you bring in Dholuo?  Ok you've just been-we've been speaking Kiswahili.  And what motivates you to bring in Dholuo? ","Now, so in what instance would you bring in Dholuo?  Ok you've just been-we've been speaking Kiswahili.  And what motivates you to bring in Dholuo? ",,
,,Alvin,,Now:=,Now:=,,
,,Interviewer,,In the conversation with your friends.,In the conversation with your friends.,,
,,Alvin,,With my friends?,With my friends?,,
,,Interviewer,,Yea.,Yea.,,
,,Alvin,,"Now- it's got- that applies to my friends who are-who come from the Luo community.    So probably-maybe you're talking about an issue, and you know there are some issues that maybe when you bring it maybe in vernacular it sounds more that authenticity.  It sounds even more: aah maybe appealing.  And then you find yourselves bursting, and aah I think it has more effect rather then if you would have maybe: if you would have used Swahili or English.  Other context is maybe we are just Luos.  Maybe you see maybe a lady passing.  And maybe she's caught your eyes. And then you don't want to maybe somebody: different to hear. So it's like you talk in vernacular, so in vernacular you'd say ""<Swahili label='quotation'>Bwana umeona huyu mtu amepita</Swahili label='quotation'>"" so nobody notices or understands what you said but amongst yourselves you've noticed and you've understood that.","Now- it's got- that applies to my friends who are-who come from the Luo community.    So probably-maybe you're talking about an issue, and you know there are some issues that maybe when you bring it maybe in vernacular it sounds more that authenticity.  It sounds even more: aah maybe appealing.  And then you find yourselves bursting, and aah I think it has more effect rather then if you would have maybe: if you would have used Swahili or English.  Other context is maybe we are just Luos.  Maybe you see maybe a lady passing.  And maybe she's caught your eyes. And then you don't want to maybe somebody: different to hear. So it's like you talk in vernacular, so in vernacular you'd say <English>Man, did you see this person who passed by</English> so nobody notices or understands what you said but amongst yourselves you've noticed and you've understood that.",CS,SM: Quotation
,,Interviewer,,So you want to exclude the rest from what you have said?,So you want to exclude the rest from what you have said?,,
,,Alvin,,"The rest.  So those are instances when we can use Luo. Apart from that, maybe during aah-because we are, as boys we at times politic.  So when we are politicking or we are amongst ourselves, we find ourselves bringing in- using vernacular Dholuo. That is another situation when we can maybe use Dholuo. ","The rest.  So those are instances when we can use Luo. Apart from that, maybe during aah-because we are, as boys we at times politic.  So when we are politicking or we are amongst ourselves, we find ourselves bringing in- using vernacular Dholuo. That is another situation when we can maybe use Dholuo. ",,
,,Interviewer,,Now here in school which kind of language do you prefer?,Now here in school which kind of language do you prefer?,,
,,Alvin,00:06:00mins,"Now in school, again it depends with the people I am with, at that particular time.  If I am with aah my: course mates, we use Swahili.  We use Swahili all through.  We use Swahili and maybe if you mess up somebody tells you, they correct you they tell you-","Now in school, again it depends with the people I am with, at that particular time.  If I am with aah my: course mates, we use Swahili.  We use Swahili all through.  We use Swahili and maybe if you mess up somebody tells you, they correct you they tell you-",,
,,Interviewer,,They correct you there and there?,They correct you there and there?,,
,,Alvin,,"They tell you ""no, it should be like this"".  When aah I’m with my roommates, we use aah-most of the times we use Sheng.  But at times aah I try as much as possible to use Swahili, not that plain, because they'll see you like <Swahili label='quotation'>""Eh, huyu jamaa huyu anashinda tu kuzungumza Kiswahili sanifu?""</Swahili label='quotation'>. So that's why half time I use- aah-in my room- my roomates mostly because they also love Sheng so when somebody starts talking to you in Sheng and then here you're a fluent Swahili, you know it brings like a=","They tell you ""no, it should be like this"".  When aah I’m with my roommates, we use aah-most of the times we use Sheng.  But at times aah I try as much as possible to use Swahili, not that plain, because they'll see you like <English>Heh, this fellow just constantly speaks standard Kiswahili?</English>. So that's why half time I use- aah-in my room- my roomates mostly because they also love Sheng so when somebody starts talking to you in Sheng and then here you're a fluent Swahili, you know it brings like a=",CS,SM: Quotation
,,Interviewer,,It's not interesting.,It's not interesting.,,
,,Alvin,,"Interesting. So if my roomate starts a conversation and there we are Sheng.  When we are at the hostel we use Sheng.  Again, when maybe we meet because we've got these uuh, I fellowship in the  CU. So in the CU on Saturdays we have got evangelistic teams. There's an evangelistic called Nyanza Evangelistic Team, it's called NET.  Now on Saturdays we meet for fellowships.  So when we meet there, we do talk in- at times, not all through because it's Nyanza contains-Nyanza we've got the Kuria on the other side who don't understand Dholuo. We've got the Kisi who don't understand Dholuo. So at times maybe after people we are through you find yourselves talking to somebody in Dholuo. For instance<Swahili> unaweza mwambia </Swahili>  ""<Luo label='quotation'> Ruoth opaki</Luo label='quotation'>"" meaning ""<Swahili label='quotation'>Bwana asifiwe</Swahili label='quotation'>"".  ","Interesting. So if my roomate starts a conversation and there we are Sheng.  When we are at the hostel we use Sheng.  Again, when maybe we meet because we've got these uuh, I fellowship in the  CU. So in the CU on Saturdays we have got evangelistic teams. There's an evangelistic called Nyanza Evangelistic Team, it's called NET.  Now on Saturdays we meet for fellowships.  So when we meet there, we do talk in- at times, not all through because it's Nyanza contains-Nyanza we've got the Kuria on the other side who don't understand Dholuo. We've got the Kisi who don't understand Dholuo. So at times maybe after people we are through you find yourselves talking to somebody in Dholuo. For instance<English> you can tell him </English> <English>Praise the lord </English> meaning <English>Praise the Lord</English>.  ",CS,SM: Quotation
,,Interviewer,,<Swahili>Bwana asifiwe</Swahili>.,<English>Praise the Lord</English>.,,
,,Alvin,00:08:00mins,"Yea, so such instances I find myself talking to-I mean talking uuh, vernacular. Another instance is in school, when maybe we're in the lecture halls. A lecturer-a lecturer maybe:-especially the Swahili courses <Swahili label='refereeing'>anakuuliza swali kwa kiswahili. Sasa unaona pale itakubidi wewe mwenyewe utumie lugha sanifu</Swahili label='refereeing'>.","Yea, so such instances I find myself talking to-I mean talking uuh, vernacular. Another instance is in school, when maybe we're in the lecture halls. A lecturer-a lecturer maybe:-especially the Swahili courses <English>asks you a question in Kiswahili.  Now you see there you will have to use standard language. </English>.",CS,SM: Refereeing. OLF: Alvin may have switched to Swahili when speaking about his lectures in deference to them and their expectation of himl  He is doing what he would do if they were present.
,,Interviewer,,<Swahili>Tumia Kiswahili </Swahili>.,<English>Use Kiswahili </English>.,,
,,Alvin,,"<Swahili label='accomodation'>Eh he, kutumia lugha sanifu</Swahili label='accomodation'>.  Another context [uncertain transcription] <Swahili>labda sasa ukiwa umeenda kwa idara, pale, labda kuomba usaidizi, ama labda kwenda kuona tu hao hadhiri  itakubidi unatumia Kiswahili sanifu</Swahili>.  ","<English>Eh he, to use standard language</English>.  Another context [uncertain transcription] <English>maybe now if you have gone to the department, or maybe to request help or to see the lecturers, you will need to use standard Kiswahili </English>.  ",CS,SM: Accomodation.
,,Interviewer,,Now you said you are a BA Kiswahili student?,Now you said you are a BA Kiswahili student?,,
,,Alvin,,Yes,Yes,,
,,Interviewer,,English. Do you think it's important to learn English at all? ,English. Do you think it's important to learn English at all? ,,
,,Alvin,00:10:00mins,"Mmm, I think it's-it's  important to learn more than even English.  Because now BA Kiswahili we've got those who take linguistics,<Swahili label='elaboration'>lugha raisimu</Swahili label='elaboration'>.  There are those who take literature, that is <Swahili label='elaboration'>fasihi</Swahili label='elaboration'>.  And there are those who take <Swahili label='high expertise'>utafsiri na ufasiri</Swahili label='high expertise'>, that is translation and interpretation.  So I do take translation.  So if you're in the translation, for you to be competent when translating text, you have to at least know some, be competent in at least two languages. Cause you don't restrict yourself  you, that you're only a Swahili student so you should only restrict yourself to Kiswahili.  Aaah, and I think it's even important to know even a fourth language if possible cause I know my vernacular mother-tongue Luo, I'm supposed to know Swahili fairly well, again I know English fairly well, and then I'm supposed to know my third language which I'm-aah I'm supposed to be-I had started learning my French.  Because if maybe you find somebody, maybe a transnational, maybe an NGO, maybe contracts you to translate maybe a text or a book. So you know if you only know maybe two languages, it could be maybe you limit your opportunities.  You narrow them down to only that.  But if you know maybe French, you can translate from French to English, Swahili, you can even end up translating it to your vernacular. So I think it's very important to know-I mean to learn and be competent in more than one language.","Mmm, I think it's-it's  important to learn more than even English.  Because now BA Kiswahili we've got those who take linguistics, <English> linguistics</English>.  There are those who take literature, that is <English>literature</English>.  And there are those who take <English>translation and interpretation</English>,  that is translation and interpretation.  So I do take translation.  So if you're in the translation, for you to be competent when translating text, you have to at least know some, be competent in at least two languages. Cause you don't restrict yourself  you, that you're only a Swahili student so you should only restrict yourself to Kiswahili.  Aaah, and I think it's even important to know even a fourth language if possible cause I know my vernacular mother-tongue Luo, I'm supposed to know Swahili fairly well, again I know English fairly well, and then I'm supposed to know my third language which I'm-aah I'm supposed to be-I had started learning my French.  Because if maybe you find somebody, maybe a transnational, maybe an NGO, maybe contracts you to translate maybe a text or a book. So you know if you only know maybe two languages, it could be maybe you limit your opportunities.  You narrow them down to only that.  But if you know maybe French, you can translate from French to English, Swahili, you can even end up translating it to your vernacular. So I think it's very important to know-I mean to learn and be competent in more than one language.",CS,"SM: Elaboration and High Expertise. OLF: Alvin is in two instances using Swahili to elaborate what he has said in English. At the same time and more evident in the third instance he specifically uses the Swahili word, thinking that perhaps the interview would not know what the words mean. He immediately proceeds to define them in English."
,,Interviewer,,"And talking of a native language, do you think it is important for one to learn a native language?","And talking of a native language, do you think it is important for one to learn a native language?",,
,,Alvin,,"I think with the current ah-I mean trends, maybe globalization it is very important.  For one, aah, if you look at the system right now, for instance with the Kenyan context, we've got this devolution.  And devolution it means maybe you might find yourself working in maybe epidim-, in your own county.  And uuh maybe you maybe are doing some research.  It's going to be very hard for you to get that information from-in as much as you maybe you might hire people, translators, but the effect wouldv'e been different when you get the information as a researcher.  You get that information yourself.  So venee:-, I think vernacular, my native language, it's very important to learn.  Apart from that, when uuh, during holidays I do go home.  Maybe after a long time maybe, but we, at times we are based in Kisumu. So I at times go home during the holidays maybe to say hi.  So when you get home you'll find uuh, the grannies, people who don't-they haven't seen you for quite some time, so you remember a scenario when somebody greets you. A granny who can't speak Swahili, can't speak English greets you and then you're here, you're there <Swahili label='quotation'>""mzuri sana, habari yako, mzuri sana""</Swahili label='quotation'> , you know. (Both are laughing)","I think with the current ah-I mean trends, maybe globalization it is very important.  For one, aah, if you look at the system right now, for instance with the Kenyan context, we've got this devolution.  And devolution it means maybe you might find yourself working in maybe epidim-, in your own county.  And uuh maybe you maybe are doing some research.  It's going to be very hard for you to get that information from-in as much as you maybe you might hire people, translators, but the effect wouldv'e been different when you get the information as a researcher.  You get that information yourself.  So venee:-, I think vernacular, my native language, it's very important to learn.  Apart from that, when uuh, during holidays I do go home.  Maybe after a long time maybe, but we, at times we are based in Kisumu. So I at times go home during the holidays maybe to say hi.  So when you get home you'll find uuh, the grannies, people who don't-they haven't seen you for quite some time, so you remember a scenario when somebody greets you. A granny who can't speak Swahili, can't speak English greets you and then you're here, you're there <English>""very well, how are you, very well""</English>, you know. (Both are laughing)",CS,SM: Quotation
,,Interviewer,,She expects you actually to respond in your native=,She expects you actually to respond in your native=,,
,,Alvin,00:12:00mins,"In vernacular.  So in such a scenario, you find yourself they'll even be might be spiteful.  ""<Swahili label='quotation'>Huyu kijana anaringa. Alienda akasoma akasahau lugha yake ya ki=</Swahili label='quotation'>""","In vernacular.  So in such a scenario, you find yourself they'll even be might be spiteful.  <English>This young fellow is showing off.  He went to study and forgot his language of-</English>",CS,SM: Quotation
,,Interviewer,,<Swahili>Alisahau lugha yetu ya mama-</Swahili>,<English>He forgot our language of our mother-/English>,,
,,Alvin,,"Aa aah. So it's very important to know your vernacular.  Apart from that, when you get home you might find that umm, I went, there was a time when I was home there was a funeral.  And then it happened that in that funeral there was uuh-I mean there were in-laws.  Others came from Luyaland, <Swahili>wengine walitoka kule Ukikuyuni.  Sasa wale watu tunapotoa ushuhuda,</Swahili> the eulogy <Swahili>ni kwamba</Swahili> it had to, <Swahili>wale ma</Swahili> the grannies, the elders, the elderly people they would maybe tell something they knew about the deceased.  So in such a scenario, it had a-nobody would just do that so I came in, and as they were talking, conversing, he talks and then I translate into Swahili for everybody else to understand because when maybe it's a funeral that is a very big gathering, and composed of different people. So if you're there and you start speaking only in one langauge which, that is the native language which is Dholuo, these other people they would feel a bit of sidelined.  They would not feel part and parcel of=","Aa aah. So it's very important to know your vernacular.  Apart from that, when you get home you might find that umm, I went, there was a time when I was home there was a funeral.  And then it happened that in that funeral there was uuh-I mean there were in-laws.  Others came from Luyaland, <English> others came from Kikuyuland.  Now those people when we give the eulogy,</English> the eulogy, <English>it is that</English> it had to, <English>those the</English>  the grannies, the elders, the elderly people they would maybe tell something they knew about the deceased.  So in such a scenario, it had a-nobody would just do that so I came in, and as they were talking, conversing, he talks and then I translate into Swahili for everybody else to understand because when maybe it's a funeral that is a very big gathering, and composed of different people. So if you're there and you start speaking only in one langauge which, that is the native language which is Dholuo, these other people they would feel a bit of sidelined.  They would not feel part and parcel of=",CS,Unmarked.
,,Interviewer,,The whole gathering.,The whole gathering.,,
,,Alvin,,"The whole gathering.  Yea so I think it's very important to-In as much as people shy away from doing that, from learning their native language, it's very important. ","The whole gathering.  Yea so I think it's very important to-In as much as people shy away from doing that, from learning their native language, it's very important. ",,
,,Interviewer,,"Why do you think people would shy away from learning their native language or even, umm, exposing themselves, that they know this language?","Why do you think people would shy away from learning their native language or even, umm, exposing themselves, that they know this language?",,
,,Alvin,00:14:00mins,"Now, I think some of the reason, probably, it could be because of some people don't want to be identified with their-that particular tribe.  You ask somebody 'are you a Luo?', the next thing maybe he thinks you're going to ask ""do you understand Dholuo, how do you say this in Dholuo?""  That's one.  Another thing, is that I think people have been-I mean there is that feeling of pride. Somebody doesn't want-I mean you want to be proud if you speak- somebody thinks that if you speak in English <Swahili>huambia mtu mimi Kijaluo ah ah! Mimi sielewi. Labda ukimwambia hivo ataona we sio msomi</Swahili>.  You're not learned.  Not thinking that even the learned people still-you still need to know your vernacular.  So-and apart from that people want to be associated with, mostly English.  People mostly want to be associated with English because it' seen-English uuh-people have that perception. That it's uuh, maybe it's for the people who are high, in the hierarchy, social class.  So people tend to think that when I speak in English, I'll be like associated or classified with the high, and the mighty, the social ladder up there.  As expected maybe you speak in your vernacular.  Apart from that, another thing is influence.  Influence from the media.  And uuh, I mean-because the media-most people want to-nowadays-the media-for instance the music people listen to especially the youth of my age.  Somebody listens to maybe blues,somebody listens to rock and therefore he all the time wants to speak in English.  Somebody listens to maybe the local music that are sung in uuh, maybe that are sung in Sheng, so all the time you are there as a youth, somebody wants to see you-all the time you are in-like you want to speak in Sheng.  All the time in Sheng.  Yea?","Now, I think some of the reason, probably, it could be because of some people don't want to be identified with their-that particular tribe.  You ask somebody 'are you a Luo?', the next thing maybe he thinks you're going to ask ""do you understand Dholuo, how do you say this in Dholuo?""  That's one.  Another thing, is that I think people have been-I mean there is that feeling of pride. Somebody doesn't want-I mean you want to be proud if you speak- somebody thinks that if you speak in English <English> to speak to someone in Luo, no!  I don't understand it. Maybe if you tell him that he will think that you are not educated</English>.  You're not learned.  Not thinking that even the learned people still-you still need to know your vernacular.  So-and apart from that people want to be associated with, mostly English.  People mostly want to be associated with English because it' seen-English uuh-people have that perception. That it's uuh, maybe it's for the people who are high, in the hierarchy, social class.  So people tend to think that when I speak in English, I'll be like associated or classified with the high, and the mighty, the social ladder up there.  As expected maybe you speak in your vernacular.  Apart from that, another thing is influence.  Influence from the media.  And uuh, I mean-because the media-most people want to-nowadays-the media-for instance the music people listen to especially the youth of my age.  Somebody listens to maybe blues,somebody listens to rock and therefore he all the time wants to speak in English.  Somebody listens to maybe the local music that are sung in uuh, maybe that are sung in Sheng, so all the time you are there as a youth, somebody wants to see you-all the time you are in-like you want to speak in Sheng.  All the time in Sheng.  Yea?",CS,
,,Interviewer,00:16:00mins,"So we have mentioned English, Kiswahili, Sheng and Dholuo.  Do you find yourself mixing these languages maybe in one conversation? Or even two of these languages maybe in one conversation?","So we have mentioned English, Kiswahili, Sheng and Dholuo.  Do you find yourself mixing these languages maybe in one conversation? Or even two of these languages maybe in one conversation?",,
,,Alvin,,"Yea. Mmh, I think I have found myself severally doing that because you know now when you look at Sheng-and I think even Kikuyu comes in.  For the Sheng you find that Sheng is not only composed of English and Swahili.  Most vocabularies and terminologies we find in Sheng, there's some of them come from Kikuyu.  ","Yea. Mmh, I think I have found myself severally doing that because you know now when you look at Sheng-and I think even Kikuyu comes in.  For the Sheng you find that Sheng is not only composed of English and Swahili.  Most vocabularies and terminologies we find in Sheng, there's some of them come from Kikuyu.  ",,
,,Interviewer,,Okay.,Okay.,,
,,Alvin,,"Because mostly Sheng is created in Nairobi.  And uhh, for instance if you look at <Sheng label='exemplification'>shosho</Sheng label='exemplification'>, the word <Sheng label='exemplification'>shosho. Shosho</Sheng label='exemplification'> you know is not a standard Swahili word, and it's not an English word. It comes from Kikuyu word 'susu' which they call 'shosho'.  So you find that in Sheng, where when I speak Sheng maybe with my-maybe with my colleagues or with people my agemates, you'll find that I'll end up speaking Dholu-I mean I'll end up speaking uuh-I mean English, Swahili and another third language Kikuyu unknowingly.  Because simply you don't know.  You only speak-you'll find a Sheng=","Because mostly Sheng is created in Nairobi.  And uhh, for instance if you look at <English>granother</English>, the word <English>granother. Granother. Shosho</English> you know is not a standard Swahili word, and it's not an English word. It comes from Kikuyu word 'susu' which they call 'shosho'.  So you find that in Sheng, where when I speak Sheng maybe with my-maybe with my colleagues or with people my agemates, you'll find that I'll end up speaking Dholu-I mean I'll end up speaking uuh-I mean English, Swahili and another third language Kikuyu unknowingly.  Because simply you don't know.  You only speak-you'll find a Sheng=",CS,SM: Exemplification.
,,Interviewer,,Within Sheng.,Within Sheng.,,
,,Alvin,,Yea.,Yea.,,
,,Interviewer,,"Wow, that's interesting.","Wow, that's interesting.",,
,,Alvin,,"Yea.  You'll find that uuh maybe a terminology has been created in Nairobi.  Through the media, the music we listen to, its trickles down to people who are not within Nairobi.  People who are outside the confines of Nairobi.  So in such a scenario, it grows and then it comes in, and then people start using them not even knowing that what is the basis-what is the origin of this word.  What does this word mean.  So in such a situation I find myself using more than one-more than one language.  ","Yea.  You'll find that uuh maybe a terminology has been created in Nairobi.  Through the media, the music we listen to, its trickles down to people who are not within Nairobi.  People who are outside the confines of Nairobi.  So in such a scenario, it grows and then it comes in, and then people start using them not even knowing that what is the basis-what is the origin of this word.  What does this word mean.  So in such a situation I find myself using more than one-more than one language.  ",,
,,Interviewer,,Now when do you find yourself using more than one language maybe?  In what scenario?,Now when do you find yourself using more than one language maybe?  In what scenario?,,
,,Alvin,00:18:00mins,"Now one, maybe: if I'm talking over the phone, uuh, somebody calls me. So you know I love to maybe perhaps give an immediate answer and probably I don't know the word, if maybe I'm speaking in English, but I can't find the word immediately.  So you find that I go for the word that I can reach easily.  For instance somebody starts talking in Swahili, and then there's a Swahili- we talk in Swahili: and then at some particular point I'm not able to find a Swahili word I go for an English word.  And then in such uuh a situation I end up using-I mean a word that it doesn't belong to Swahili.  Another situation is uuh-maybe especially us, maybe you want to go after maybe a chic, a girl.  So in such a situation maybe you want to-you-you have some interest, you  want maybe a friendship.  So in such a scenario you're there like in, Swahili, plain Swahili=(Both laugh)","Now one, maybe: if I'm talking over the phone, uuh, somebody calls me. So you know I love to maybe perhaps give an immediate answer and probably I don't know the word, if maybe I'm speaking in English, but I can't find the word immediately.  So you find that I go for the word that I can reach easily.  For instance somebody starts talking in Swahili, and then there's a Swahili- we talk in Swahili: and then at some particular point I'm not able to find a Swahili word I go for an English word.  And then in such uuh a situation I end up using-I mean a word that it doesn't belong to Swahili.  Another situation is uuh-maybe especially us, maybe you want to go after maybe a chic, a girl.  So in such a situation maybe you want to-you-you have some interest, you  want maybe a friendship.  So in such a scenario you're there like in, Swahili, plain Swahili=(Both laugh)",,
,,Interviewer,,That's not interesting to=,That's not interesting to=,,
,,Alvin,,"It's not interesting to her.  She will-she might even shy away from you.  But if you start using Sheng, she'll equally use Sheng.  ","It's not interesting to her.  She will-she might even shy away from you.  But if you start using Sheng, she'll equally use Sheng.  ",,
,,Interviewer,,Okay.,Okay.,,
,,Alvin,,"Another situation is maybe: when chatting on facebook.  There's that social media. Somebody maybe poses something in, using maybe Sheng. And especially when the language that now is used.  The language used nowadays in the shortened, I mean uuh-","Another situation is maybe: when chatting on facebook.  There's that social media. Somebody maybe poses something in, using maybe Sheng. And especially when the language that now is used.  The language used nowadays in the shortened, I mean uuh-",,
,,Interviewer,,The short form of words.,The short form of words.,,
,,Alvin,,"The short form of words. I find myself using them, often. Or even when chatting through texts.  ","The short form of words. I find myself using them, often. Or even when chatting through texts.  ",,
,,Interviewer,,You talked about using this kind of language or mixing these languages to suit these people maybe of your age?,You talked about using this kind of language or mixing these languages to suit these people maybe of your age?,,
,,Alvin,,Yea,Yea,,
,,Interviewer,,"Okay. So the question is, you normally change the language to suit the person you're talking to, especially the person of your age.  Why do you normally do that?","Okay. So the question is, you normally change the language to suit the person you're talking to, especially the person of your age.  Why do you normally do that?",,
