Name of the file,Topic,Participant,Time,Dialogue,Translation,CS/DM,Comments
,,Participant,,English=,English=,,
,,Interviewer,,"<afrikaans>Ja,</afrikaans> like maybe <zulu>sithi ukhuluma isiNgisi</zulu> can you tell that this person is a Zulu speaker or he is not a Zulu speaker or is a Xhosa speaker or something?","<english>Yes,</english> like maybe <english>let's say he speaks English</english> can you tell that this person is a Zulu speaker or he is not a Zulu speaker or is a Xhosa speaker or something?",,
,,Participant,,It’s not that easy- it’s not that simply=,It’s not that easy- it’s not that simply=,,
,,Interviewer,,Okay.,Okay.,,
,,Participant,,But you can tell.,But you can tell.,,
,,Interviewer,,Alright.,Alright.,,
,,Participant,,<afrikaans>Ja.</afrikaans>,<english>Yes.</english>,,
,,Interviewer,,"Okay. Ah- mhh… can you- alright, if you just heard someone talk without seeing this person can you tell what kind of background or level of education or position in society or political affiliation- <zulu>umuzwa nje umuntu ekhuluma ungasho ukuthi lomuntu ufunde kangaka kumbe</zulu> is somebody who has got a position in society or <zulu>mhlawumbe uthi ngowale- ngowaleparty kumbe leparty?</zulu>","Okay. Ah- mhh… can you- alright, if you just heard someone talk without seeing this person can you tell what kind of background or level of education or position in society or political affiliation- <english>listening to a person speaks you can tell that this person is educated this much</english> is somebody who has got a position in society or <english>perhaps you can say he's from this- from this party or this party?</english>",,
,,Participant,,"<afrikaans>Ja,</afrikaans> you can tell because if you’re judging from the hierarchy you can <zulu>abantu abaphezulu</zulu> they talk about business, they talk sport, they talk about money. <afrikaans>Ja.</afrikaans> <zulu>Abantu aba- abafundile-</zulu> like <zulu>amaacademics anezinto- amatopics akhuluma ngawo=</zulu>","<english>Yes,</english> you can tell because if you’re judging from the hierarchy you can <english>higher people</english> they talk about business, they talk sport, they talk about money. <english>Yes.</english> <english>People who- who are educated-</english> like <english>the academics have things- the topics they talk about=</english>",,"SM: Expertise. OLF: ""you can tell"" exemplifies the observed stratification of Zulu speakers who have come to contact with the English language or who use it daily."
,,Interviewer,,Okay.,Okay.,,
,,Participant,,<zulu>Nagendlela aba- abaarticulator ngayo kwiEnglish</zulu> you can tell the difference=,<english>Even the way they- they articukate in English</english> you can tell the difference=,,"SM: Expertise. OLF: ""you can tell"" exemplifies the observed stratification of Zulu speakers who have come to contact with the English language or who use it daily."
,,Interviewer,,Like for example <zulu>umuntu o- ofunde kakhulu isiNgisi usikhuluma kanjani?</zulu>,Like for example <english>a person who- who is highly educated how does he speak English?</english>,,
,,Participant,,"No, I think it depends on your background and- and the school. There are- there are disadvantageous schools and advantageous schools.","No, I think it depends on your background and- and the school. There are- there are disadvantageous schools and advantageous schools.",,
,,Interviewer,,Okay.,Okay.,,
,,Participant,,"<afrikaans>Ja,</afrikaans> it depends- you can master the language but when you pronounce=","<english>Yes,</english> it depends- you can master the language but when you pronounce=",,
,,Interviewer,,The words=,The words=,,
,,Participant,,"<afrikaans>Ja,</afrikaans> <zulu>ayifani.</zulu>","<english>Yes,</english> <english>it is not the same.</english>",,
,,Interviewer,,"Okay, alright. Okay, do you speak different languages to different people?","Okay, alright. Okay, do you speak different languages to different people?",,
,,Participant,,Yes.,Yes.,,
,,Interviewer,,When and why?,When and why?,,
,,Participant,,"Normally, when- when <zulu label='ingroupidentification'>ngibona umuntu</zulu label='ingroupidentification'> like a – like a black person=","Normally, when- when <english>I see a person</english> like a – like a black person=",,"SM: In-group identification (high). OLF: ""when ngibona"", the Participant codeswitches to show solidarity with his own Black people who might not be well versed in English."
,,Interviewer,,<afrikaans>Ja.</afrikaans>,<english>Yes.</english>,,
,,Participant,,I approach him or her in Zulu=,I approach him or her in Zulu=,,
,,Interviewer,,Okay.,Okay.,,
,,Participant,,And then I have to change if <zulu>engangiunderstandi.</zulu>,And then I have to change if <english>he doesn't understand me.</english>,,"SM: In-group Identification (low) / Accommodation. OLF: ""have to change"" is used to accommodate and make the other feel comfortable."
,,Interviewer,,"Okay, alright. Ah, have you ever tried to change anything about the way you talk? Like, <zulu>usuzamile mhlawumbe ukuthi mhlawumbe uzame ukushintsha indlela okhuluma ngayo</zulu> or something?","Okay, alright. Ah, have you ever tried to change anything about the way you talk? Like, <english>have you tried perhaps to perhaps try and change the way you speak</english> or something?",,
,,Participant,,Yes.,Yes.,,
,,Interviewer,,"Like, why?","Like, why?",,
,,Participant,,The only thing that I- I- I want is to improve my English=,The only thing that I- I- I want is to improve my English=,,
,,Interviewer,,Okay. ,Okay. ,,
,,Participant,,"Coz- <zulu label='expertise'>indlela engibuka ngayo ngibona engathi iEnglish iwukhiye wayo yonke into</zulu label='expertise'> coz <zulu>khona lana engake ngathola isutuation enzima eJohannesburg. Ngafika ngaapproacher</zulu> in Zulu, <zulu>waphendula umuntu</zulu> in Sotho or Tswana. <zulu>Angikwazanga ukumhlukanisa- umehluko- ngangamunderstander, ngaswitchela kwiEnglish. Wayesethi yena-ke,: ""angiyiunderstandi iEnglish, kumele ukhulume lelanguage engiyikhulumayo nami"",</zulu> and <zulu>ngamane- kwabasangathi lapho angisekho ndawo- angisazi ngizophendula ngenze njani=</zulu>","Coz- <english>the way I look at it I see that English is the key for everything</english> coz <english>I encountered a tough situation in Johannesburg. I approached</english> in Zulu, <english>the person responded</english> in Sotho or Tswana. <english>I couldn't distinguish- difference- I didn't understand him, I switched to English. And then he said: ""I don't understand English, you have to speak the same language as me"",</english> and <english>I then- it was as if I was lost- I didn't know how I should answer=</english>",,"SM: Expertise. OLF: ""coz"" is used instead of because to show the Participant's level of comfortability with English. This ""coz"" is now used as if it is a Zulu word in urban spaces."
,,Interviewer,,"<afrikaans>Ja,</afrikaans> <zulu>uqinisile=</zulu>","<english>Yes,</english> <english>you're right=</english>",,
,,Participant,,"<zulu>Yamane ya- Yamane yaphela nje ukuthi angisenayo  enyindlela engizokwenza ngayo, akayazi iEnglish nami angiyazi iEnglish. Akayazi iEnglishi=</zulu>","<english>It just- it just ended like that that I didn't know any other was I was going to use, he doesn't know English and I also don't know English. He doesn't know English=</english>",,
,,Interviewer,,Eh=,Eh=,,
,,Participant,,<zulu label='power'>Yabona kuleyo situation yokuthi umuntu akayazi iEnglishi nawe awuyazi iEnglish okusho ukuthi nje sekunebreakdown lapho- anisakwazi ukukhuluma kahle</zulu label='power'>  and <zulu>nicommunicator.</zulu>,<english>You see in that situation that this person doesn't know English and you also don't know English which means that there is a breakdown there- you can't communicate further</english> and <english>communicate.</english>,,"SM: Power relationship / shift. OLF: ""yabona"" is used to shift the power as the Participant tries to qualify his point of view."
,,Interviewer,,"<afrikaans>Ja,</afrikaans> <zulu>uqinisile,</zulu> and then- what issues that you and your friends talk about these days? <zulu>Yini enixoxa ngayo</zulu> these days, <zulu>iy’ndaba ezishisayo?</zulu>","<english>Yes,</english> <english>you're right,</english> and then- what issues that you and your friends talk about these days? <english>What do you talk about</english> these days, <english>current news?</english>",,
,,Participant,,<zulu>Iy’ndaba ezishisayo?</zulu>,<english>Current news?</english>,,
,,Interviewer,,Anything nje- like anything <zulu>nje amatopics akhona mhlawumpe ezindabeni</zulu> these days?,Anything nje- like anything <english>just the topics maybe that are in the news</english> these days?,,
,,Participant,,Most of the time we talk about sports.,Most of the time we talk about sports.,,
,,Interviewer,,"<afrikaans>Ja, ja.</afrikaans>","<english>Yes, yes.</english>",,
,,Participant,,Sports.,Sports.,,
,,Interviewer,,Haha!,Haha!,,
,,Participant,,"And- there- there was a rumor about coming back of jesus, I think maybe=","And- there- there was a rumor about coming back of jesus, I think maybe=",,
,,Interviewer,,"Yes, yes, okay <zulu>kulentozana asifocuse kwisports=</zulu>","Yes, yes, okay <english>on this thing let us focus on sports=</english>",,
,,Participant,,<zulu>Kwisports?</zulu>,<english>On sports?</english>,,
,,Interviewer,,"<zulu>Kwisports</zulu> like which kind of sports, <zulu>ibhola</zulu> or something?","<english>On sports</english> like which kind of sports, <english>soccer</english> or something?",,
,,Participant,,Ah- I think most of black people they- they like sports- soccer=,Ah- I think most of black people they- they like sports- soccer=,,
,,Interviewer,,"<afrikaans>Ja,</afrikaans> okay, alright.","<english>Yes,</english> okay, alright.",,
,,Participant,,They talk about soccer=,They talk about soccer=,,
,,Interviewer,,"So in terms of <zulu>isoccer, ini ongayisho mhlawumpe ibhola eSouth Africa?</zulu>","So in terms of <english>soccer, what can you say perhaps about South African soccer?</english>",,
,,Participant,,"<zulu label='expertise'>Ibhola eSouth Africa kumina ngibona engathi istandard salo- istandard sayo silow kakhulu coz- abantu  aba- abantu abamnyama badominater kakhulu.</zulu label='expertise'> And <zulu>uma kudominator abantu abamnyama kakhulu angaz’ ukuthi ke- angeke ngisho ukuthi- kodwa ingazathi- ingazathi abakwazi ukugroomer kahle ithalente yabo, bayinakekele kahle, utholukuthi-ke abantu icareer yabo igcina iphela kuearly</zulu> age, <zulu>yabo=</zulu>","<english>Soccer in South Africa to me I see that its standard- its standard is too low coz- people who- Black people dominate it too much.</english> And <english>if Black people dominate too much it's like- I won't say that- but it's like- it's like they can't groom nicely their talent, take care of it, and find out that their careers end at an early</english> age, <english>you see=</english>",,"SM: Expertise. OLF: ""ngibona"" signifies an instance where the Participant states a claim that could be assoicated with in-group identification."
,,Interviewer,,Alright.,Alright.,,
,,Participant,,"Then if <zulu label='power'>ucomparisher kulokuza i- irugby nesoccer uyabona ukuthi- kuye lapho abantu baqala bese- yabo, eyikoleni lezi- ebese- beqala khona. Uthole ukuthi umuntu udiscovwer</zulu label='power'> at an early age and <zulu>uthi uyafika nje lapha uyazi ukuthi icareer yakhe le, uyayigada kahle ukuthi yena-ke uyazi ukuthi kumele enzeni, ngingangakwenzi ukuthi, ngingakwenzi ukuthi. Manje abantu abamnyama angazi noma ukuthi kunelack yesupport</zulu> even from <zulu>amafamilies abo=</zulu>","Then if <english>you compare with- with rugby and soccer you see that- there people start at- you see, in these schools- when- where they start. You find that a person get discovered</english> at an early age and <english>by the time he gets there he knows that this is his career, he guards it and knows what he needs to do, not to do this, not to do that. Now Black people I don't know whether there is a lack of support</english> even from <english>their own families=</english>",,"SM: Power relationship / shift. OLF: ""yabo"" is used to shift the power as the Participant tries to qualify his point of view about soccer and discipline."
,,Interviewer,,"<afrikaans>Ja,</afrikaans> <zulu>uqinisile=</zulu>","<english>Yes,</english> <english>you are right=</english>",,
,,Participant,,"<zulu>Uthi umuntu uyahamba- uthole ukuthi uyodlala, umndeni awukho lapho ukuzomsupporter</zulu> then <zulu label='expertise'>uma usukhomperisha namawhites, yabo? Angisho ukuthi mhlawumbe ngoba amawhites esuperior kodwa ayasupporter wona.</zulu label='expertise'>","<english>Aperson goes- you find he is going to play, his family is not even there to support him</english> then <english>when you compare with Whites, you see? I am not saying that perhaps Whites are superior but they do support. uma usukhomperisha namawhites, yabo.</english>",,"SM: Expertise. OLF: ""mhlawumbe"" is used by the Participant to qualify his obervations regarding Blacks and Whites when it comes to sports and support."
,,Interviewer,,Okay. No <zulu>ngiyabonga kakhulu mfwethu.</zulu> Thanks. ,Okay. No <english>thank you very much my brother.</english> Thanks. ,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
