Name of the file,Topic,Participant,CN,Dialogue,Translation,CSs/s,Comments,
,,Amanda,00:04:00mins,"Yes, it's a: important in some way.  Eeh, but if allowed to:- <Swahili>nisie-nisichague</Swahili> side <Swahili>yakusema-yaku</Swahili> support. First it's important because <Swahili>ukitembelea sasa kama</Swahili> our grandmothers, <Swahili label='refereeing'>hawajui Kiswahili, hawajui Kiingereza.  Sasa</Swahili label='refereeing'> if you don't speak in your native language <Swahili>hamtaelewana</Swahili>.  And then, there's aah.. for purposes of research, <Swahili>unaweza ukapelekwa mahali kama-</Swahili>if I'm a Luo I could end up being taken in a Luo set up, to do some research. Okay, <Swahili>siko</Swahili> sure <Swahili>na</Swahili> about the Luo but I'm very sure in the Swahili culture, they hide so much information if you don't belong to them. <Swahili label='quotation'>Ukiuliza mambo ya nyumbani, ""ungekuwa wetu tungekwambia lakini sasa haturuhusiwi""</Swahili label='quotation'> so, but if-if I take that in the Luo set up for example and I go to do some research there <Swahili>na niongee Kijaluo, hata wewe kama Mluo mwenzangu</Swahili> you'll feel confident to share the information plus <Swahili>tunaongea lugha moja</Swahili> so <Swahili>haitakuwa hata ngumu.  Ile kuongea</Swahili>. And then on the: side of it where I would also think <Swahili>si lazima sa:na watu waongee</Swahili> their native language, is on tribalism.  ","Yes, it's a: important in some way.  Eeh, but if allowed to:- <English>not choose a </English> side <English>to say of to</English>support. First it's important because <English>now if you visit like</English> our grandmothers, <English>they don't know Swahili, they don't know English.  Now</English> if you don't speak in your native language <English>you will not understand each other</English>.  And then, there's aah.. for purposes of research, <English>you can be sent to a place like-</English>if I'm a Luo I could end up being taken in a Luo set up, to do some research. Okay, <English>I'm not</English> sure <English>with</English> about the Luo but I'm very sure in the Swahili culture, they hide so much information if you don't belong to them. <English>If you ask about issues at home ""if you were ours we could tell you but now we are not allowed""</English> so, but if-if I take that in the Luo set up for example and I go to do some research there <English>and I speak Jaluo, even you if you are my fellow Luo</English> you'll feel confident to share the information plus <English>we speak one language</English> so <English>it won't even be hard.  To converse</English>. And then on the: side of it where I would also think <English>it's not that important for people to speak</English> their native language, is on tribalism.  ",CS,SM: Refereeing and Quotation.,
,,Interviewer,,Okay.,Okay.,,,
,,Amanda,,"Cuz <Swahili>tunaenda:-kwa mfano unaenda sokoni kwamtush, mtumba.  Una:-</Swahili>if I'm a Kikuyu I'm selling the <Swahili>mitumbas</Swahili> and [uncertain transcription]-and you're-we <Swahili>ni Mkikuyu mwenzangu, huenda hata nikakupunguzia bei</Swahili>.  So if I-if another person from a different tribe gets to learn about it, <Swahili>si kuna hizo</Swahili> feelings <Swahili label='quotation'>za ""eh, sasa huyu ameuzia huyu mwingine</Swahili label='quotation'> fifty [uncertain transcription] <Swahili>mimi akaniuzia</Swahili> a hundred, just because I'm not a Kikuyu.  If you go in government offices, <Swahili>na</Swahili> some-some NGOs <Swahili>unapewa kazi kulingana na</Swahili>, aah the tribal basis, especially <Swahili>ukiongea lugha yako kama-</Swahili>let's say <Swahili>umeenda mahali na hujui hata</Swahili> who to talk to. <Swahili>Halafu usikie kuna ofisa mmoja hapo ameongea</Swahili> let's say in Kalenjin, <Swahili>na wewe ni Mkale</Swahili>. So <Swahili>ukifika hapo</Swahili>, you speak in Kalenjin and things become easier. And finally we have been aah, saving in those feelings <Swahili>mpaka sasa zikaanza kuleta mambo kama</Swahili> the post-election violence.  But if it was uniformed, if I'd come to you I speak to you in Kiswahili, or English, or another national language, I'm sure <Swahili>ingepungua, hii</Swahili> tribalism.  Because  language is one of the major integral parts constituting to tribalism.  ","Cuz <English>we go, for example you: go to the market to the seller of used clothes.  You:-</English>if I'm a Kikuyu I'm selling the <English>used clothes</English> and [uncertain transcription]-and you're-we <English>are my fellow Kikuyu, I may even lower the price</English>.  So if I-if another person from a different tribe gets to learn about it, <English>there are those</English> feelings <English>of ""eh, now this guy has sold to this other guy</English> fifty [uncertain transcription] <English>to me he sold it to me for <?English> a hundred, just because I'm not a Kikuyu.  If you go in government offices, <English>and</English> some-some NGOs <English>you are given a job based on </English>, aah the tribal basis, especially <English>of you speak your language like-</English>let's say <English>you have gone someplace and and you don't even know</English> who to talk to. <English>And then you hear there is one officer there who speaks</English> let's say in Kalenjin, <English>and you are Kalenjin</English>. So <English>when you get there</English>, you speak in Kalenjin and things become easier. And finally we have been aah, saving in those feelings <English>until now they are sitting and bringing issues like</English> the post-election violence.  But if it was uniformed, if I'd come to you I speak to you in Kiswahili, or English, or another national language, I'm sure <English>it would decrease, this </English> tribalism.  Because  language is one of the major integral parts constituting to tribalism.  ",CS,SM:  Quotation.,
,,Interviewer,00:04:40mins,Mmm. Do you think language promotes culture? ,Mmm. Do you think language promotes culture? ,,,
,,Amanda,,"...Eeh, yes.  Because language is part of culture. You will never study a: certain culture without involving their language. <Swahili>Kwa mfano huwezi kuongea kuhusu the Masaai</Swahili> culture, <Swahili>bila: ku-</Swahili>without talking about the Masai language. <Swahili>Ama huwezi sema utamaduni wako ni wa Mmeru</Swahili> like personally I-I'm a Meru. I can't come telling you I'm a Meru, meaning I share the Meru culture and I-I can't even speak the Kimeru.  It's part of it, I think.  Yea.","...Eeh, yes.  Because language is part of culture. You will never study a: certain culture without involving their language. <English>Kwa mfano huwezi kuongea kuhusu the Masaai</Swahili> culture, <English>bila: ku-</English>without talking about the Masai language. <English>Ama huwezi sema utamaduni wako ni wa Mmeru</English> like personally I-I'm a Meru. I can't come telling you I'm a Meru, meaning I share the Meru culture and I-I can't even speak the Kimeru.  It's part of it, I think.  Yea.",CS,Unmarked.,
,,Interviewer,,"Do you think, the way we-we:-we speak some of these languages from the Western culture like English. English is from the West. ","Do you think, the way we-we:-we speak some of these languages from the Western culture like English. English is from the West. ",,,
,,Amanda,,Yes?,Yes?,,,
,,Interviewer,,"Do you think as a result of that, that is why we have issues that were never there in the past<Swahili>kama</Swahili> gayism, lesbians and such like things. Do you think it's because we-now that you said a language is part of culture. In order to speak their language, we've also borrowed-it's like we've borrowed their culture.  ","Do you think as a result of that, that is why we have issues that were never there in the past<English>kama</English> gayism, lesbians and such like things. Do you think it's because we-now that you said a language is part of culture. In order to speak their language, we've also borrowed-it's like we've borrowed their culture.  ",CS,Unmarked.,
,,Amanda,00:07:50mins,"Aah, culture is very wide. <Swahili>Nilisema:</Swahili> language is part of the wide culture. So it does not necessarily mean that-<Swahili>kwasababu</Swahili> I'm speaking in Spanish, I have to be 100% of the Spa- of the Spanish culture.  <Swahili>Naweza nikachukua tu ile</Swahili> language from the motivational factors that I mentioned in English because of my own reasons as such. <Swahili>Lakini ikiwa hawa-hawavai vile ningependa kuvaa</Swahili>, you know even dress code is part of the culture, I don't have to borrow that I can just borrow the language. <Swahili>Kama sipendi chakula ambacho wanakula</Swahili>-for example you can learn Chinese but you don't like the, eeh Chinese cuisine.  So: <Swahili>sifikiri</Swahili> language <Swahili label='solidarity'>ndio imetufanya tuombe</Swahili label='solidarity'> the Western culture. I think each bit of the culture comes on it's own. If it's dress code, you borrow the dress code. If it's the eating habits, you borrow the eating habits. If relationships-yea, but language comes now as one of the many factors that make the culture.","Aah, culture is very wide. <English>I said</English> language is part of the wide culture. So it does not necessarily mean that-<English>because</English> I'm speaking in Spanish, I have to be 100% of the Spa- of the Spanish culture.  <English>I can choose to only take</English> language from the motivational factors that I mentioned in English because of my own reasons as such. <English>But if it turns out they don't-they don't dress the way I would like to dress</English>, you know even dress code is part of the culture, I don't have to borrow that I can just borrow the language. <English>If I don't like they food that they eat</English>-for example you can learn Chinese but you don't like the, eeh Chinese cuisine.  So: <English>I don't think</English> language <English>is what has made us ask for</English> the Western culture. I think each bit of the culture comes on it's own. If it's dress code, you borrow the dress code. If it's the eating habits, you borrow the eating habits. If relationships-yea, but language comes now as one of the many factors that make the culture.",CS,SM: Solidarity.,
,,Interviewer,,Okay.  It's evident that you mix languages in your conversation.,Okay.  It's evident that you mix languages in your conversation.,,,
,,Amanda,,Yea.,Yea.,,,
,,Interviewer,,"Why do you do that? And generally most [uncertain transcription] do that.  Why do you think we mix languages, when talking? ","Why do you do that? And generally most [uncertain transcription] do that.  Why do you think we mix languages, when talking? ",,There is lots of background noise at this segment.,
,,Amanda,,"Why we mix languages when talking? Yea, like-","Why we mix languages when talking? Yea, like-",,,
,,Interviewer,,What you call codeswitching.,What you call codeswitching.,,,
,,Amanda,,"Yes. Like me apart from when it's in the exams, I-you hardly speak a whole paragraph <Swahili>ya</Swahili> English <Swahili>ama Kiswahili</Swahili>.  First, as a Kiswahili student, so many Kenyans ait Kiswahili <Swahili>sio lugha ya rahisi</Swahili>. So if I were to speak to you <Swahili>Kiswahili, eeh na si eti najua Kiswahili:</Swahili> as in: to the very high levels. You should listen to my lecturers speaking. If I speak Kiswahili like continuously- <Swahili>nilitangulia kwa kukwambia</Swahili> in church, especially when I'm leading the service here in school, I introduce myself in <Swahili label='high expertise'>Kiswahili, ile tu ya kutisha</Swahili label='high expertise'> (smiling). Cuz it's not many people who will want to speak the Kiswahili as in fluently:, and that is why, eeh-like me, I do it in the class context.  If you're my classmate we can speak a whole day in Kiswahili and you don't even realize.  But then when I come to you in another area, <Swahili>ah! tunachanganyachanganya tu</Swahili>. To make communication easier and uuh, yea. To make it even fun. ","Yes. Like me apart from when it's in the exams, I-you hardly speak a whole paragraph <English>of<English> English <English>or Swahili</English>.  First, as a Kiswahili student, so many Kenyans ait Kiswahili <English>is not an easy language</English>. So if I were to speak to you <English>im Swahili, eeh and it's not that I know Swahili</English> as in: to the very high levels. You should listen to my lecturers speaking. If I speak Kiswahili like continuously- <English>I told you earlier that</English> in church, especially when I'm leading the service here in school, I introduce myself in <English>Swahili, that one just to scare them</English> (smiling). Cuz it's not many people who will want to speak the Kiswahili as in fluently:, and that is why, eeh-like me, I do it in the class context.  If you're my classmate we can speak a whole day in Kiswahili and you don't even realize.  But then when I come to you in another area, <English>ah! we just mix it all up</English>. To make communication easier and uuh, yea. To make it even fun. ",CS,SM: High Expertise,
,,Interviewer,00:10:30mins,Mmm.  Which languages do you tend to mix?,Mmm.  Which languages do you tend to mix?,,,
,,Amanda,,Mostly English and Kiswahili. ,Mostly English and Kiswahili. ,,,
,,Interviewer,,Mmm. ,Mmm. ,,,
,,Amanda,,Yes.,Yes.,,,
,,Interviewer,,"No Sheng, mother tongue?","No Sheng, mother tongue?",,,
,,Amanda,,"I hardly use, eeh, mother tongue, unless it's in special, eeh, context.  But if in my daily, as in normal living, I don't even realize <Swahili>nimechanganya Kiswahili na</Swahili> English. We'll talk ""<Swahili>eh, umeenda room</Swahili>?""  So <Swahili>umeenda</Swahili> is Kiswahili, room is English, yea.","I hardly use, eeh, mother tongue, unless it's in special, eeh, context.  But if in my daily, as in normal living, I don't even realize <English>I have mixed Swahili and</English> English. We'll talk ""<English>eh, did you go to the  room</English>?""  So <English>did you go</English> is Kiswahili, room is English, yea.",CS,,
,,Interviewer,,So it's like it has become part of you. It's unconscious. ,So it's like it has become part of you. It's unconscious. ,,,
,,Amanda,,"Yes, you don't even realize. ","Yes, you don't even realize. ",,,
,,Interviewer,,"Okay. And eh, have you noticed a difference <Swahili>vile we unaongea na vile</Swahili> friend <Swahili>yako anaongea</Swahili>?","Okay. And eh, have you noticed a difference <English>in the way you speak and the way</English> friend <English>yours speaks</English>?",CS,Unmarked.,
,,Amanda,,Yea.,Yea.,,,
,,Interviewer,,"And other people generally. Do you think there's a difference, in the way <Swahili>{sisi tunaongea}</Swahili>-","And other people generally. Do you think there's a difference, in the way <English>{we speak}</English>-",CS,Unmarked.,
,,Amanda,,{Between the way I talk} <Swahili>na vile wengine huongea</Swahili>?,{Between the way I talk} <English>and the way others talk</English>?,CS,Unmarked.,
,,Interviewer,,Mmm.,Mmm.,,,
,,Amanda,,"Eeh, first for those who hate Kiswahili so much, and uuh, claim that Kiswahili is hard, they will never speak Kiswahili.  I love Kiswahili so: if I'm with a person who is in the same page with me, we will speak Kiswahili.  But most of my friends don’t.  They cling on to English. And even that English, they don't talk it the way I'm talking. Okay you'll get the same meaning but you know there's the [uncertain transcription: ""wenging?""] part of it, there's the:-ah- intonations, you know, the [uncertain transcription: ""wenging""]. Yes. That one is very different.  Then when it comes to Kiswahili it's different. And then for me, I can't say I do speak Sheng.  I hardly. There's this course we did aah ""Kenya's Linguistic Landscape"" where we are taught about the origin and the development and all those things about Sheng.  I think that was the time I realized I don't know how to speak Sheng.  I thought Sheng was mixing English and Kiswahili, which I do.  But it's not. Soo, what I do is I speak Kiswahili, I speak English. I can mix the two but when I'm speaking my mother tongue I don't mix unless I have forgotten what some-that thing, uhm want to refer to is called in my mother tongue. Now that one I can use Kiswahili or sh-English.  But if I know the:-okay, what I want to say, I don't mix, wu-aah-languages when I'm speaking in my native languages.  In Kiswahili and English I'll mix which is also different from how other people mix.  Yes. And then if it's English just simple, then my Kiswahili could be a bit hard on you.  If I want to, scare you  I will (giggles).","Eeh, first for those who hate Kiswahili so much, and uuh, claim that Kiswahili is hard, they will never speak Kiswahili.  I love Kiswahili so: if I'm with a person who is in the same page with me, we will speak Kiswahili.  But most of my friends don’t.  They cling on to English. And even that English, they don't talk it the way I'm talking. Okay you'll get the same meaning but you know there's the [uncertain transcription: ""wenging?""] part of it, there's the:-ah- intonations, you know, the [uncertain transcription: ""wenging""]. Yes. That one is very different.  Then when it comes to Kiswahili it's different. And then for me, I can't say I do speak Sheng.  I hardly. There's this course we did aah ""Kenya's Linguistic Landscape"" where we are taught about the origin and the development and all those things about Sheng.  I think that was the time I realized I don't know how to speak Sheng.  I thought Sheng was mixing English and Kiswahili, which I do.  But it's not. Soo, what I do is I speak Kiswahili, I speak English. I can mix the two but when I'm speaking my mother tongue I don't mix unless I have forgotten what some-that thing, uhm want to refer to is called in my mother tongue. Now that one I can use Kiswahili or sh-English.  But if I know the:-okay, what I want to say, I don't mix, wu-aah-languages when I'm speaking in my native languages.  In Kiswahili and English I'll mix which is also different from how other people mix.  Yes. And then if it's English just simple, then my Kiswahili could be a bit hard on you.  If I want to, scare you  I will (giggles).",,,
,,Interviewer,00:13:12mins,"Okay. And eh, just going back a bit, back at home, what language do your parents tend to encourage you to speak?","Okay. And eh, just going back a bit, back at home, what language do your parents tend to encourage you to speak?",,,
,,Amanda,,"You see when, eeh, when I was very very young we were told-we used to-to live in Meru. It's a rural place. So when we came to Nanyuki, where we live up to date, I couldn't communicate with the rest of my agemates, you know if they are kids. Now <Swahili>hata nini-</Swahili>what is it called, <Swahili>mitihani shule ilikuwa ngumu</Swahili> because it's examined in English I can't speak a word in English. I can't speak a word in Kiswahili, all I know is Kimeru.  So, from there we were discouraged. If you want to be heard, if you want to make your needs known to my parents speak in English or Kiswahili. So we picked-we picked from there. We speak Kiswahili. My dad can even give me a call right now and we speak in English from the very beginning to the end.  Eeh, like the way I'm studying Kiswahili it's-okay it has never dawned on them that I'm actually taking Kiswahili, pure Kiswahili.  So, they don't speak Kiswahili.  Unless they encourage you to speak the native language you can use Kikuyu or Kimeru or English. Kiswahili in my family is very discouraged.  Yes. ","You see when, eeh, when I was very very young we were told-we used to-to live in Meru. It's a rural place. So when we came to Nanyuki, where we live up to date, I couldn't communicate with the rest of my agemates, you know if they are kids. Now <English>even what-</English>what is it called, <English>tests at school were hard</English> because it's examined in English I can't speak a word in English. I can't speak a word in Kiswahili, all I know is Kimeru.  So, from there we were discouraged. If you want to be heard, if you want to make your needs known to my parents speak in English or Kiswahili. So we picked-we picked from there. We speak Kiswahili. My dad can even give me a call right now and we speak in English from the very beginning to the end.  Eeh, like the way I'm studying Kiswahili it's-okay it has never dawned on them that I'm actually taking Kiswahili, pure Kiswahili.  So, they don't speak Kiswahili.  Unless they encourage you to speak the native language you can use Kikuyu or Kimeru or English. Kiswahili in my family is very discouraged.  Yes. ",CS,Unmarked.,
,,Interviewer,,"Oo, and you're taking Kiswahili, what's the motivation then because you're telling me in your childhood there was no Kiswahili anywhere-","Oo, and you're taking Kiswahili, what's the motivation then because you're telling me in your childhood there was no Kiswahili anywhere-",,,
,,Amanda,,"Yes, there was no Kiswahili-","Yes, there was no Kiswahili-",,,
,,Interviewer,,"Your parents are not for it, what was the motivation?","Your parents are not for it, what was the motivation?",,,
,,Amanda,00:14:49mins,"Actually my parents assisted me in uh, selecting hospitality and hotel management. So I was called in university town campus, and then it took me two months to change to main campus for Kiswahili.  You sit in class and you get nothing. (giggles). Yes. My motivation number one, I love Kiswahili. Since eeh, I loved Kiswahili in class around six.  You know the way <Swahili>unaandika [uncertain transcription] unapata</Swahili> ten, out of forty.  <Swahili>Unaandika ingine</Swahili>, five, <Swahili>andika ingine</Swahili>, twenty. So this day, I wrote an [uncertain transcription] and I got twenty-eight.  And the first, I was the first girl with twenty-eight. Then the first boy had thirty. That was the highest mark, <Swahili>tangia</Swahili> class one <Swahili>hadi</Swahili> class six.  Twenty-eight <Swahili>ilikuwa</Swahili> the highest marks <Swahili>nilikuwa nimewahi pata</Swahili> and the teacher motivated me and trust you me, since then, <Swahili>nimekwambia</Swahili> twenty-eight was the highest mark I had gotten, up to class six. Up to now that is the least, I have ever gotten.  Twenty-eight was the least, from that point.  Yea, so I love the language- ","Actually my parents assisted me in uh, selecting hospitality and hotel management. So I was called in university town campus, and then it took me two months to change to main campus for Kiswahili.  You sit in class and you get nothing. (giggles). Yes. My motivation number one, I love Kiswahili. Since eeh, I loved Kiswahili in class around six.  You know the way <English>you write [uncertain transcription] you get</English> ten, out of forty.  <English>You write another</English>, five, <English>write another</English>, twenty. So this day, I wrote an [uncertain transcription] and I got twenty-eight.  And the first, I was the first girl with twenty-eight. Then the first boy had thirty. That was the highest mark, <English>since</English> class one <English>up to</English> class six.  Twenty-eight <English>it was</English> the highest marks <English>that I had ever received</English> and the teacher motivated me and trust you me, since then, <English>I told you</English> twenty-eight was the highest mark I had gotten, up to class six. Up to now that is the least, I have ever gotten.  Twenty-eight was the least, from that point.  Yea, so I love the language- ",CS,Unmarked.,
,,Interviewer,,And the teacher had a-a part-{the teacher played a part},And the teacher had a-a part-{the teacher played a part},,,
,,Amanda,,{And the teacher played} a big role in my love for Kiswahili. ,{And the teacher played} a big role in my love for Kiswahili. ,,,
,,Interviewer,,"Now you've told me you're doing Kiswahili and I've just heard you talk about a ti-a course and the title is in English. Why is the title in English, why do you think-and I've seen it, these people who do-people who do Kiswahili but your courses are in English [uncertain transcription]","Now you've told me you're doing Kiswahili and I've just heard you talk about a ti-a course and the title is in English. Why is the title in English, why do you think-and I've seen it, these people who do-people who do Kiswahili but your courses are in English [uncertain transcription]",,,
,,Amanda,,"Ah, <Swahili>imeandikwa kwa: Kiswahili</Swahili>?  I think, that one is changing. Because if you go to the department <Swahili>utaona:</Swahili> the forms <Swahili>zimeandikwa</Swahili> in English.  So that for the understanding of everyone.  If you are planning to take a course in our department you will find it pinned on the door in English.  But for us, even the exam <Swahili label='quotation'>itaandikwa ""sanaa za maonyesho katika kiswahili""</Swahili label='quotation'> that is ""theater arts"" in Kiswahili.  And we are taught in Kiswahili and examined in Kiswahili.  Yea.","Ah, <English>it is written in Swahili</English>?  I think, that one is changing. Because if you go to the department <English>you will see</English> the forms <English>are written</English> in English.  So that for the understanding of everyone.  If you are planning to take a course in our department you will find it pinned on the door in English.  But for us, even the exam <English>will be written ""Theater Arts"" in Swahili</English> that is ""Theater Arts"" in Kiswahili.  And we are taught in Kiswahili and examined in Kiswahili.  Yea.",CS,SM: Quotation.,
,,Interviewer,00:17:02mins,Oh soo: it's something that is changing.,Oh soo: it's something that is changing.,,,
