Name of the file,Topic,Participant,CN,Dialogue,Translation,CS/DM/SS,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130619_001,Language Used with Family,Interviewer,00:00:00mins,"Welcome to this uuh, discussion. And we sha-we shall just be discussing only language and language use.","Welcome to this uuh, discussion. And we sha-we shall just be discussing only language and language use.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,James,,Okay thank you.,Okay thank you.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Interviewer,,<Swahili>Ni kwasababu gani haswa?</Swahili>,<English>Why exactly?</English>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,James,,"<Swahili>Aah, sababu moja inafanya tuna:changanya ni kwasababu:-aah-sisi kama sisi, sababu moja ni kwamba tunajua lugha zaidi ya moja. Kwahivyo ukijua lugha zaidi ya moja na upate kwamba yale mazingira yatakuruhusu kutumia lugha zote, unabidi umechanganya. Wakati mwingine, tunaweza changanya kwasababu ya kuficha kama ni siri kutoa kwa wazazi. Unajua mara nyingi-mara nyingi wazazi huwaga hawaelewi lugha ya: watoto wanayo itumia. Kwa hivyo inawezekana kuna kitu cha siri ambayo tunataka kuzungumza na wazazi wapo. Kwa hivyo inabidi tunachanganya ili ku-kuficha mada kidogo.</Swahili>","<English>Aah, one reason that makes us we mix is because:-aah-we personally, one reaons is that we know more than one language. Therefore if you know more than one language and you get an environment that allow you to use all the languages, you have to mix.  Other times, we may mix because of hiding secrets like if it is secrets to keep from parents.  You often-often parents usually don't understand the language that the children use. So it may be there is a something secret that we want to talk about and the parents are present. So we have to mix so to-to conceal the topics a little.</English>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Interviewer,,<Swahili>Hivo mnatumia lugha gani hiyo Sheng?</Swahili>,"<English>In that way do you all use what language, that Sheng?</Englishi>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,James,,"<Swahili>Hapo tunatumia lugha ya Sheng, na lugha ya Kiingereza wakati mwingine.</Swahili>","<English>There we use the Sheng language, and the English language other times.</English>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Language Used with Friends,Interviewer,,"<Swahili>Sawa, sawa. Na wakati ambapo uko na marafiki wako huwa unatumia lugha gani na ni kwasababu gani?</Swahili>","<English>Okay, okay. And the times when you are with your friends what language do you usually use and why?</English>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,James,,"<Swahili>Aah tukiwa na marafiki hapo tena mjadala unakuwa ni mwingine. Yeaa, lugha tunatumia tupendavyo. Hatuna mipaka. Yea, tukiwa na marafiki tunaongea lugha ya Kiswahili, lugha ya-lugha ya Kiingereza, na lugha ya Sheng kwasababu:-sababu moja inafanya tunachanganya hivyo, wakati mwingine ni kujitambulisha. Yea, unajua lugha ni kitambulisho cha jamii. Kwahivyo kuna lugha fulani utakayo sikia watu wakiongea, na lugha hii itawatambulisha kuwa watabaka fulani. Au ikawatambulisha kuwa ni wa kiwango fulani. Kwahivo wakati mwingine tunaongea lugha fulani ili tu-ili itutambulishe sisi na tabaka fulani au kiwango fulani. Kwahivyo sanasana tukiwa na marafiki tunachanganya hizo lugha tatu: Kiswahili, ambacho pia wakati huo watu  huwa hawatuangalii sana usanifu wake, tunaweza tukakiharibu tu kwa kupenda. Yea, Kiingereza hivyo hivyo. Na Sheng tukichanganya hivo.</Swahili>","<English>Aah when we are with our friends there the discussion is becomes something else.  Yeaa, we use language as we like. We have no borders.  Yea, when we are with our friends we speak the Swahili language, the language of-language of English, and the language of Shenb because-one reason that makes us mix like that, sometimes it is to identify oneself.  Yea, you know language is society's identification.  Therefore there is a certain language you will hear people speak, and this language will identify them to be of a certain class.  Or it will identify them to be of certain position.  So sometimes we speak a certain language so that we-so that it can identify us we are of a certain class or a certain position. So mostly when we are with friends we mix those three languages: Swahili, which also at that time people usually we don't look a lot at the correctness/standard of it, we can just ruin it as we like. Yea, English the same thing. And Sheng we mix like that.</English>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Interviewer,,<Swahili>Hivo niulize marafiki wako unaweza sema ni wa kiwango gani?</Swahili>,"<English>Let me ask, your friends can you say what level they're in?</English>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,James,,"<Swahili>Aah, bila shaka kiwango kipo. Uumm, labda ningeongelea kiwango nikirejelea:=</Swahili>","<English>Aah, of course levels, positions are is there. Umm, mabye let me speak of levels in reference to:=</English>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Interviewer,,<Swahili>Masomo.</Swahili>,<English>Studies.</English>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,James,,"<Swahili>kiwango cha masomo. Marafiki zangu wengi ni wa: kiwango cha elimu ya juu, chuo kikuu. Yea.</Swahili> ","<English>The level of education. Many of my friends are of: the level of higher education, university. Yea.</English> ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Interviewer,,"<Swahili>Kwa hiyo hata wakati ambapo mna:-mnausanifu ama uwiju wa lugha, umesema kwamba mnaweza kiaribu tu kimpango hivyo=</Swahili>","<English>Therefore even the times when you have:-expertise or uwiju of the language, you say that you all can just butcher/spoil it delibarately=</English>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,James,,"<Swahili>Bora tuwasiliane. Yea, bora tuwasiliane. Unajua wakati mwingine ukizingatia usanifu sa:na unaweza ukapata kwamba labda kuna tatizo la:..mawasiliano. Kwahivyo kule kuharibu, unaharibu lakini unajua unaharibu. Lakini kitu-kitu unacho kitacho ni kwamba uwasiliane. Ki msingi tuwasiliane. Kwahiyo kule kuharibu ni kurahisha tu mawasiliano. Yea, unaharibu ukijua lakini unataka upitishe mawasiliano.</Swahili> ","<English>It's better we communicate. Yea, better we communicate. You know sometimes if you look at the standards too much you may find that maybe there is a problem of...communication.  So that spoiling it, you are spoiling but you know you are spoiling.  But the thing-the thing that you are, that will is that you communicate.  Of importance is let's communicate.  Therefore that butchering is just to make communications enjoyable. Yea, you spoil knowing that you want to facilitate communication.</English> ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Interviewer,,<Swahili>Kuharibu huku [uncertain transcription] ujumbe kwa urahisi?</Swahili>,<English>Does ruining [uncertain transcription] the message easier?</English>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,James,,"<Swahili>Yea, bila shaka. Kwasababu ukizingatia kanuni kwamba lazima nitumie msamiati huu ipasavyo inawezekana mwenzako haufahamu. Kwahivyo unajaribu ku-unaona-unaona-unaona-unajaribu kushuka chini kidogo. Yea, wasizingatie ile usanifu sa:na ndio mawasiliano yawe rahisi.</Swahili> ","<English>Yea, without a doubt. Because if you look at the rules that I have to use this vocabulary accordingly it's possible your fellow interlocutor doesn't know it.  So you try to-you see-you see-you see-you try to come down a little. Yea, they shouldn't look at the standards too much so that communications can be easier.</English> ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Interviewer,,"<Swahili>Wale ambao wanatumia lugha kwa usanifu, huwa wanaangaliwa vipi? Pengine na marafiki zako.</Swahili>","<English>Those who use the language in the standard way, how are they seen? Maybe by your friends?</English>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,James,,"<Swahili>Aah-aah, kwa mfano katika: kitengo changu mimi, katika kozi yangu ninayoifanya tunajaribu sana, sana, sana iwe-kadri iwezekanavyo kutumia lugha sahihi. Sasa wale wanaouzingatia huo usanifu kwakweli wanachukuliwa kuwa kama ni maugwiji?(5:50mins) katika lugha hiyo. Kwasababu ye haaribu msamiati, hachanganyi lugha ya pili. Yea,  hakuna-hakuna huo mchanganyo kwahiyo wanaotumia lugha vizuri wanachukuliwa kuwa ni maugwiji katika lugha hiyo. Kiwango chao cha: umrilisho wa lugha kiko juu. Naam.</Swahili>","<English>Aah-aah, for example in: my unit, in my course that I'm doing we really, really, really try for it to be-as best as possible to use correct language. Now those who regard those standards honestly they are seen as being maugwiji (5:50mins) in that language. Because s/he doesn't spoil the vocabulary, s/he doesn't mix in a second language. Yea, there isn't-there isn't that mix so those who use language nicely/properly are taken to be maugwiji in that language. Their level of: umrilisho of the language is high.  Yes.</English>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Interviewer,,<Swahili>Ule umilisi wa lugha</Swahili>,<English>That competence with language.</English>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,James,,<Swahili>Naam.</Swahili> ,<English>Yes.</English> ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Interviewer,,<Swahili>unatagemea nini?</Swahili>,<English>what does it depend on??</English>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
