Name of the file,Topic,Participant,CN,Dialogue,Translation,CS,Comments,
,,Peter,,"<Swahili>Kama wa Kiswahili</Swahili>, Kiswahili. But ALL my other friends, we mix up languages -","<English>If they are Swahili</English>, Swahili. But ALL my other friends, we mix up languages -",CS,Unmarked.,
,,Interviewer,,Mm hh.,Mm hh.,,,
,,Peter,,including Kikuyu.,including Kikuyu.,,,
,,Interviewer,,Okay.,Okay.,,,
,,Peter,,"Yes, I remember this instance where, especially in the morning, today in the morning-","Yes, I remember this instance where, especially in the morning, today in the morning-",,,
,,Interviewer,,<Swahili>Naam</Swahili>.,<English>Yes</English>.,,,
,,Peter,,with my roomate-,with my roomate-,,,
,,Interviewer,,Mh hh,Mh hh,,,
,,Peter,,"just woke up and he'd- I asked him, ""What do, what do you say in your language, how do you greet each other in your language?""","just woke up and he'd- I asked him, ""What do, what do you say in your language, how do you greet each other in your language?""",,,
,,Interviewer,,Mh hh.,Mh hh.,,,
,,Peter,,"And he told me you say, ""<Luhya label='quotation'>Mulembe</Luhya label='quotation'>.""  That is Luhya for  ""How are you?""","And he told me you say, ""<English>Mulembe</English>.""  That is Luhya for  ""How are you?""",CS,SM: Quotation.,
,,Interviewer,,Mh hh.,Mh hh.,,,
,,Peter,,"And I was as well, I replied, ""<Luhya label='quotation'>Mulembe</Luhya label='quotation'>."" ","And I was as well, I replied, ""<English>Mulembe</English>."" ",CS,SM: Quotation.,
,,Interviewer,,Okay.,Okay.,,,
,,Peter,,Tell him I'm also well.,Tell him I'm also well.,,,
,,Interviewer,,Okay.,Okay.,,,
,,Peter,,Yes.,Yes.,,,
,,Interviewer,,"So, talking of that, that was a friend in school.","So, talking of that, that was a friend in school.",,,
,,Peter,,Yes.,Yes.,,,
,,Interviewer,,"Now, we also want to talk about the language that you use in school?  Which language do you use mostly in school?","Now, we also want to talk about the language that you use in school?  Which language do you use mostly in school?",,,
,,Peter,,"There in school, we use English because it is a language the that is used to give us instructions by teacher us, we grade exams in English, apart from if their language,  different languages.  So every other language that's used here is English.","There in school, we use English because it is a language the that is used to give us instructions by teacher us, we grade exams in English, apart from if their language,  different languages.  So every other language that's used here is English.",,,
,,Interviewer,,Mh hh.,Mh hh.,,,
,,Peter,,"But, <Swahili label='modernization'>mabeshdi</Swahili label='modernization'>, my friends, we use any other language that we can find, IF it's not in class.","But, <English>mabeshdi</English>, my friends, we use any other language that we can find, IF it's not in class.",CS,SM: Modernization.,
,,Interviewer,,Mh hh.,Mh hh.,,,
,,Peter,,Outside the classroom we can use any other language as well.,Outside the classroom we can use any other language as well.,,,
,,Interviewer,,Mh hh. <Swahili>Na</Swahili> -,Mh hh. <English>And</English> -,,,
,,Peter,,<Swahili>Ndio</Swahili>.,Ndio.,,,
,,Interviewer,,<Swahili>Na ni vizuri umetaja Kiingereza</Swahili>.,<English>And it is good you have mentioned English</English>.,,,
,,Peter,,<Swahili>Naam</Swahili>.,<English>Yes<English>.,,,
,,Interviewer,,<Swahili>Nadhani na kwamba ni muhimu kujifunza Kiingerereza kwa vyevyote vile. Na ni kwanini</Swahili>?,<English>I think that also it is important to learn English by any means.  And why</English>?,,,
,,Peter,,"<Swahili label='accomodation'>Nafikiri ni muhimu kila mtu ajuwe Kiingereza.  Maanake, mahali tumefika, kwanza kabisa hapa</Swahili label='accomodation'> Kenya, English is an official language. ","<English>I think it is important for everyone to know English. Because, where we are, first definitely here</English> [in] Kenya, English is an official language. ",CS,SM: Accomodation.,
,,Interviewer,,<Swahili>Naam</Swahili>.,<English>Yes</English>.,,,
,,Peter,,"So if you don't know an official language, how would you move on with the society?  How would you cooperate?  How would you interact with the society? Plus, I think English is a global language and to me it sounds prestigious.","So if you don't know an official language, how would you move on with the society?  How would you cooperate?  How would you interact with the society? Plus, I think English is a global language and to me it sounds prestigious.",,,
,,Interviewer,,Yea.,Yea.,,,
,,Peter,,"And if so many people in the world speak English, I think it is important for those people who are young or those who are growing up as well to know English.","And if so many people in the world speak English, I think it is important for those people who are young or those who are growing up as well to know English.",,,
,,Interviewer,,Mh hh.,Mh hh.,,,
,,Peter,,<Swahili>Nafikiri ni muhimu</Swahili>.,<English>I think it is important</English>.,,,
,,Interviewer,,Okay.  What is your experience with English as compared to other languages?,Okay.  What is your experience with English as compared to other languages?,,,
,,Peter,,"My experience with English, <Swahili>nikizungumza Kizungu unaonekana kama uko, uko juu kidogo</Swahili>.","My experience with English, <English>when I speak English you look like you are, you are a little bit on top</English>.",,,
,,Interviewer,,<Swahili>Naam</Swahili>.,<English>Yes</English>.,,,
,,Peter,,<Swahili>Ni kama umesoma kwa sababu</Swahili> that is the language that is used to teach us.,<English>It is like you are learned because</English> that is the language that is used to teach us.,CS,Unmarked.,
,,Interviewer,,Mh hh.,Mh hh.,,,
,,Peter,,"So <Swahili>ukizungumza Kizungu, unaonekana umesoma</Swahili>.",So <English>if you speak English you look like you are learned</English>.,CS,Unmarked.,
,,Interviewer,,Mh hh.,Mh hh.,,,
,,Peter,,Eeh <Swahili>yaani</Swahili> you are knowledgable.,Eeh <English>I mean</English> you are knowledgable.,CS,Unmarked.,
,,Interviewer,,Mh yea.,Mh yea.,,,
,,Peter,,"<Swahili>Ukizungumza Kikuyu, unaonekana, ni kama haujasoma, ama kuna watu ambao unakaa kaa kufungia nje.  Hutaki wasiwa unasema nini</Swahili>.","<English>If you speak Kikuyu, you look like, it is like you are not educated, or there are people who you are locking outside. You don't want them to know what you are saying</English>.",,,
,,Interviewer,,<Swahili>Naam</Swahili>.,<English>Yes</English>.,,,
,,Peter,,"<Swahili>Kwa hivyo ili kuleta watu wengi ambao mko pamoja ambo wanazungumza lugha tofauti- eeh, muwe pamoja</Swahili>,","<English>Therefore so that to bring many people who you are together with who speak different languages-eeh, so that you are together</English>,",,,
,,Interviewer,,Mh hh.,Mh hh.,,,
,,Peter,,<Swahili>utabidi tu uzungumzie Kizungu</Swahili>.,<English>you will have to speak English</English>.,,,
,,Interviewer,,Mh hh.,Mh hh.,,,
,,Peter,,"<Swahili>Kwa sababu</Swahili>, for instance, <Swahili>darasa letu</Swahili>, that is our class,","<English>Because</English>, for instance, <English>our class</English>, that is our class,",CS,Unmarked.,
,,Interviewer,,"Mh hh, ","Mh hh, ",,,
,,Peter,,"I can't use my native language because <Swahili>na</Swahili> different, eh backgrounds of, eh, different linguistic backgrounds.","I can't use my native language because <English>and</English> different, eh backgrounds of, eh, different linguistic backgrounds.",CS,Unmarked.,
,,Interviewer,,Yea.,Yea.,,,
,,Peter,,"So we have to use a language that will combine each one of us,","So we have to use a language that will combine each one of us,",,,
,,Interviewer,,Mh hh.,Mh hh.,,,
,,Peter,,"that will bring us together, that is English.","that will bring us together, that is English.",,,
,,Interviewer,,Okay.,Okay.,,,
,,Peter,0:04:26,<Swahili>Ni vigumu sana unipate nikizungumza Kikuyu kwa kabisa</Swahili>.,<English>It is very hard to find me speaking in Kikuyu completely</English>.,,,
,,Interviewer,,"<Swahili label='accomodation'>Kuna</Swahili label='accomodation'> instance <Swahili>ambayo Kiingereza imekuweka</Swahili>,","<English>Is there</English> instance <English>when English has put you</English>,",CS,SM: Accomodation.,
,,Peter,,<Swahili>Naam</Swahili>.,<English>Yes</English>.,,,
,,Interviewer,,"<Swahili>katika hali nyingine</Swahili>, ","<English>in a different situation</English>, ",,,
,,Peter,,<Swahili>Naam</Swahili>.,<English>Yes</English>.,,,
,,Interviewer,,<Swahili>na ilikuwa ni</Swahili> situation <Swahili>gani</Swahili>?,<English>and it was</English> situation </English>which</English>?,CS,Unmarked.,
,,Peter,,A aah.,A aah.,,,
,,Interviewer,,Mhh.,Mhh.,,,
,,Peter,0:04:42,"Back in the village, eh?","Back in the village, eh?",,,
,,Interviewer,,Mh hh.,Mh hh.,,,
,,Peter,,<Swahili>kuna pale tunakutana</Swahili> youth.,<English>There is that place we meet</English> youth.,CS,Unmarked.,
,,Interviewer,,Yea.,Yea.,,,
,,Peter,,"<Swahili>Sasa, tukikutana pale</Swahili> youth, <Swahili>utaona kila mtu anajaribu ku-, kuji- kuzungumza. Hata kama mnazungumza Kikuyu</Swahili>, ","<English>Now, when we meet there</English> youth, <English>you will see each person is trying to-, to-to speak.  Even if you are speaking Kikuyu</English>, ",CS,Unmarked.,
,,Interviewer,,Yea.,Yea.,,,
,,Peter,,"<Swahili>ataweka jina la Kizungu pale, hapa na pale</Swahili>","<English>s/he will input an English word there, here and there</English>",,,
,,Interviewer,,<Swahili>Naam</Swahili>.,<English>Yes</English>.,,,
,,Peter,,"<Swahili>kuonyesha</Swahili> at least, <Swahili>mimi pia ninaelewa hii</Swahili>, eh? <Swahili>Niko</Swahili> updated,","<English>to show</English> at least, <English>I also understand this</English>, eh? <English>I am</English> updated,",CS,Unmarked.,
,,Interviewer,,Mh hh.,Mh hh.,,,
,,Peter,,<Swahili>nimesoma kidogo</Swahili>.,<English>I am a bit educated</English>.,,,
,,Interviewer,,Mh hh.,Mh hh.,,,
,,Peter,,"So <Swahili>hata mimi, ingawa nikienda pale</Swahili>, I don't have to use, the- you know- uhh difficult English.","So <English>even I, even though when I go there</English>, I don't have to use, the- you know- uhh difficult English.",CS,Unmarked.,
,,Interviewer,,Mh hh.,Mh hh.,,,
,,Peter,,"I use simple language, simple English, which at least they can understand.  I think <Swahili>tunaweza ita hii</Swahili> local language.","I use simple language, simple English, which at least they can understand.  I think <English>we can call this</English> local language.",CS,Unmarked.,
,,Interviewer,,Yea.,Yea.,,,
,,Peter,,<Swahili>Ya kizungu. Si ile nimesoma tunakimia</Swahili> vocabularies <Swahili>kubwa</Swahili>,<English>Of English.  Not that one I studied where we going after</English> vocabularies <English>huge</English>,CS,Unmarked.,
,,Interviewer,,Mhh.,Mhh.,,,
,,Peter,,"<Swahili>natumia tu kidogo</Swahili> at least <Swahili label='solidarity'>kuwaonyesha hata mimi nimesoma, lakini sitaki msikie vibaya sana</Swahililabel='solidarity'>.","<English>I just use a little</English> at least <English>to show them that even I am educated, but I don’t want you to feel too bad</English>.",CS,SM: Solidarity.,
,,Interviewer,,<Swahili>Naam</Swahili>.,<English>Yes</English>.,,,
,,Peter,0:05:29,"So if, <Swahili>kwa</Swahili> immediately <Swahili>ukizungumza Kizungu</Swahili>, in my village we speak English, then you show that you are learned, at least, ahead of the others.","So if, <English>for</English> immediately <English>if you speak English</English>, in my village we speak English, then you show that you are learned, at least, ahead of the others.",CS,Unmarked.,
,,Interviewer,,Okay.,Okay.,,,
,,Peter,,<Swahili>Ndio</Swahili>.,<English>Yes</English>.,,,
,,Interviewer,,And people respect you for that?,And people respect you for that?,,,
,,Peter,,People respect you because <Swahili>unajua kaa kuna</Swahili> meeting series <Swahili>inafanyika</Swahili> ,People respect you because <English>you know if there is a</English> meeting series <English>happening</English> ,CS,Unmarked.,
,,Interviewer,,,,,,
,,Peter,,By the minimum meetings <Swahili>mingi niende nikaandike</Swahili> minutes because I understand English. <Swahili>Na wanataka hizo</Swahili> minutes  <Swahili>ziwekwe</Swahili> in English.,By the minimum meetings <English>many I go to write</English> minutes because I understand English. <English>And they want those</English> minutes  <English>to be put in</English> in English.,CS,Unmarked.,
,,Interviewer,,Mh hh.,Mh hh.,,,
,,Peter,,"So they call upon me,""Come and be our secretary.""","So they call upon me,""Come and be our secretary.""",,,
,,Interviewer,,Okay.,Okay.,,,
,,Peter,,"Sometimes they are security meeting, <Swahili>lakini mi ndio ninaandika</Swahili> minutes.","Sometimes they are security meeting, <English>but I am the one who writes the</English> minutes.",CS,Unmarked.,
,,Interviewer,,Yea.,Yea.,,,
,,Peter,,Yes.  That is ah -what they treasure English.,Yes.  That is ah -what they treasure English.,,,
,,Interviewer,,Okay.,Okay.,,,
,,Peter,,Mhh.,Mhh.,,,
,,Interviewer,,"Now you say that you understand Kikuyu as your native language,","Now you say that you understand Kikuyu as your native language,",,,
,,Peter,,"Yes, very well.","Yes, very well.",,,
,Native Language,Interviewer,,<Swahili>Wadhani kwamba</Swahili> native language <Swahili>ni muhimu</Swahili>?,<English>Do you think that</English> native language <English>is important</English>?,CS,Unmarked.,
,,Peter,,Native language <Swahili label='accomodation'>ni muhimu kwa mtoto mdogo</Swahili label='accomodation'>,Native language <English>is important for a small child</English>,CS,SM: Accomodation.,
,,Interviewer,,<Swahili>Naam</Swahili>.,<English>Yes</English>.,,,
,,Peter,,because they way you understand your native language helps you to understand other languages.,because they way you understand your native language helps you to understand other languages.,,,
,,Interviewer,,Okay.,Okay.,,,
,,Peter,,<Swahili>Nimeona watu wanamatatizo ya kuelewa lugha zingine kama hawaelewi</Swahili> native langauge <Swahili>yao</Swahili>.,<English>I have seen people have problems with understanding other languages if they don't understand</English> native langauge <English>of theirs</English>.,CS,Unmarked.,
,,Interviewer,,Okay. Mh hh,Okay. Mh hh,,,
,,Peter,,Yes.,Yes.,,,
,,Interviewer,,"<Swahili>Kuna wale watu ambao wanaongea lugha halisi</Swahili>,","<English>There are those people who speak proper language</English>,",,,
,,Peter,,<Swahili>Naam</Swahili>.,<English>Yes</English>.,,,
,,Interviewer,,<Swahili>hata kama ni lugha mama</Swahili>.,<English>even if it is mother tongue</English>.,,,
,,Peter,,<Swahili>Naam</Swahili>.,<English>Yes</English>.,,,
,,Interviewer,,<Swahili>kuna wale ambao wakiongea hivi wanatumia mafumbo mengine ambao huwezi kuyaelewa</Swahili>.,<English>There are those who when they speak they use metaphors some that you can't understand them</English>.,,,
,,Peter,,Mh hh.,Mh hh.,,,
,,Interviewer,,"<Swahili>Na ni lugha, lugha</Swahili>-","<English>And it is language, language</English>-",,,
,,Peter,,<Swahili>ya mama</Swahili>,<English>of mother</English>,,,
,,Interviewer,,<Swahili>ni ya mama</Swahili>,<English>it is of mother</English>,,,
,,Peter,,<Swahili>Nakuelewa</Swahili>.,<English>I understand you</English>.,,,
,,Interviewer,,<Swahili>Wewe umepata changamoto ya kwamba pengine huwezi kuelewa mafumbo haya</Swahili>.,<English>Have you ever had the challenge of maybe you can't understand these metaphors</English>.,,,
,,Peter,,Definitely -,Definitely -,,,
,,Interviewer,,Ah ha?,Ah ha?,,,
,,Peter,,"there are challenges when it comes to - you know there are those people who are, you know, we can -, in Kiswahili <Swahili label='quotation'>tunawaita ""Wazao wa lugha</Swahili label='quotation'>.""  You know like the, the custodians of the language.","there are challenges when it comes to - you know there are those people who are, you know, we can -, in Kiswahili <English>we call them ""descendants of language</English>.""  You know like the, the custodians of the language.",CS,SM: Quotation.,
,,Interviewer,,Okay.,Okay.,,,
,,Peter,,The older generation.,The older generation.,,,
,,Interviewer,,Yea.,Yea.,,,
,,Peter,,"Sometimes they speak in phrases that you don't understand,","Sometimes they speak in phrases that you don't understand,",,,
,,Interviewer,,Mh hh.,Mh hh.,,,
,,Peter,,"because it is the same language that you are speaking, you are speaking Kikuyu","because it is the same language that you are speaking, you are speaking Kikuyu",,,
,,Interviewer,,Okay.,Okay.,,,
,,Peter,7:08," But they will use phrases that they want to lock you out, and you wouldn't understand unless they explain to you.  I remember my granother is fond of using proverbs in Kikuyu. "," But they will use phrases that they want to lock you out, and you wouldn't understand unless they explain to you.  I remember my granother is fond of using proverbs in Kikuyu. ",,,
,,Interviewer,,Yea.,Yea.,,,
,,Peter,0:07:19,"For example, he would tell me, that eeh, now that I come here and work hard, whether I have fees or not, she tells me, ""</Kikuyu label='quotation'>Mwanamuge, dalagha mudhabia</Kikuyu label='quotation'>.""   No, not, </Kikuyu>mwanamughe</Kikuyu>, it's ""<Kikuyu label='quotation'>Mwanawekeo, daghadha mudhabia</Kikuyu label='quotation'>.""","For example, he would tell me, that eeh, now that I come here and work hard, whether I have fees or not, she tells me, ""</English>Mwanamuge, dalagha mudhabia</English>.""   No, not, </English>mwanamughe</English>, it's ""<English>Mwanawekeo, daghadha mudhabia</English>.""",CS,SM: Quotation.,
,,Interviewer,,Okay.,Okay.,,,
,,Peter,,Which means that a hard working kid always has a person to support him or her.,Which means that a hard working kid always has a person to support him or her.,,,
,,Interviewer,,Okay.,Okay.,,,
,,Peter,,"So he will, she will tell me, ""Just go and work hard. Even if there are no fees, don't worry. You will find some fees somehow.""","So he will, she will tell me, ""Just go and work hard. Even if there are no fees, don't worry. You will find some fees somehow.""",,,
,,Interviewer,,Mh hh.,Mh hh.,,,
,,Peter,,Yes.,Yes.,,,
,,Interviewer,,What is your opinion about how much we should know about our native language?  Do we just know our native language 'cause we want to communicate with some other people or we still need to have these proverbs?,What is your opinion about how much we should know about our native language?  Do we just know our native language 'cause we want to communicate with some other people or we still need to have these proverbs?,,,
,,Peter,,"I think, you know, once you understand a language, you should understand eeh, the whole of it.","I think, you know, once you understand a language, you should understand eeh, the whole of it.",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"Use proverbs, phrases.  For you to be told that you can communicate effectively in a certain language, these are areas that you can't avoid.","Use proverbs, phrases.  For you to be told that you can communicate effectively in a certain language, these are areas that you can't avoid.",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"So, don't just scratch the surface in your language and say you know Kikuyu or that you know your native language.  I also understand some proverbs, and I also speak to my granother in those proverbs, and we understand each other.  So it is important to know deeper, go deeper into the language because even  English has got its own proverbs, has its own phrases that can be used.","So, don't just scratch the surface in your language and say you know Kikuyu or that you know your native language.  I also understand some proverbs, and I also speak to my granother in those proverbs, and we understand each other.  So it is important to know deeper, go deeper into the language because even  English has got its own proverbs, has its own phrases that can be used.",,,
,,Interviewer,,You told me earlier that you are indeed a .,You told me earlier that you are indeed a .,,,
,,Peter,,Yes.,Yes.,,,
,,Interviewer,,Have you ever found difficulties in reading a Kikuyu bible?,Have you ever found difficulties in reading a Kikuyu bible?,,,
,,Peter,,"Personally? No, because as I grew up, I was eeh, we used to have a bible.  It was already translated into Kikuyu.","Personally? No, because as I grew up, I was eeh, we used to have a bible.  It was already translated into Kikuyu.",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,0:09:05,"And we were taught, ehh,  memory verses in Kikuyu.  And I'm going to recite Luke 2:52.  It says in Kikuyu, ""<Kikuyu label='quotation'>Luka igere, mhe-mhari wamiro gweta na nona igere.  Na keji sogi kura akanene khagha, akieda bone ghai onado</Kikuyu label='quotation'>.""  Which means,  eeh, ""It's Luke 2:52 and Jesus grew you [uncertain transcription] increased in age having favor with the Lord.  Amen."" Yes. ","And we were taught, ehh,  memory verses in Kikuyu.  And I'm going to recite Luke 2:52.  It says in Kikuyu, ""<Kikuyu>Luka igere, mhe-mhari wamiro gweta na nona igere.  Na keji sogi kura akanene khagha, akieda bone ghai onado</Kikuyu>.""  Which means,  eeh, ""It's Luke 2:52 and Jesus grew you [uncertain transcription] increased in age having favor with the Lord.  Amen."" Yes. ",CS,SM: Quotation.,
,,Interviewer,,That's great.,That's great.,,,
,,Peter,,Thank you.,Thank you.,,,
,,Interviewer,,"So, I have you found other people who cannot do like you do?","So, I have you found other people who cannot do like you do?",,,
,,Peter,,"Yes, there are people who can't read, eeh, can't read Kikuyu by book as fluently as they do to English.","Yes, there are people who can't read, eeh, can't read Kikuyu by book as fluently as they do to English.",,,
,,Interviewer,,Yea.,Yea.,,,
,,Peter,,"And sometimes they forgo the Kikuyu bible.  It's like they don't want to do anything with it, they just want to read English version.","And sometimes they forgo the Kikuyu bible.  It's like they don't want to do anything with it, they just want to read English version.",,,
,,Interviewer,,Wow!  That' s interesting. And you think reading an English version will be easier than reading your own native language?,Wow!  That' s interesting. And you think reading an English version will be easier than reading your own native language?,,,
,,Peter,,"For them, it is.  But for me, I think, it is, yes it is, you know, you know, English is simpler than my native language I would say. (He he)","For them, it is.  But for me, I think, it is, yes it is, you know, you know, English is simpler than my native language I would say. (He he)",,,
,,Interviewer,,(Okay),(Okay),,,
,,Peter,,(He he),(He he),,,
,,Interviewer,,"Now, now, so far we've talked about three languages.","Now, now, so far we've talked about three languages.",,,
,,Peter,,Yes.,Yes.,,,
,,Interviewer,,"Kikuyu, oh Kiswahili, English","Kikuyu, oh Kiswahili, English",,,
,,Peter,,Yes,Yes,,,
,,Interviewer,,"<Swahili>Umejipata ya kwamba una</Swahili> mix these languages,","<English>Have you found yourself you</English>mix these languages,",CS,Unmarked.,
,,Peter,,<Swahili>kabisa</Swahili>,<English>totally</English>,,,
,,Interviewer,,"<Swahili>kwa</Swahili> conversation <Swahili>moja tu</Swahili>, ","<English>in</English> conversation <English>just one</English>, ",CS,Unmarked.,
,,Peter,,<Swahili>kabisa</Swahili>,<English>totally</English>,,,
,,Interviewer,,<Swahili>Naam</Swahili>.,<English>Yes</English>.,,,
,,Peter,0:10:37,"<Swahili>Najipata tu asubuhi naamka, nasema</Swahili>, ""<Kikuyu label='quotation'>Ah moli iko anatya</Kikuyu label='quotation'>.""  That is: how is today?""","<English>I just find myself waking up in the morning, I say ""Ah moli iko anatya</English>.""  That is: how is today?""",CS,SM: Quotation.,
,,Interviewer,,Yea.,Yea.,,,
,,Peter,,"And then I, my [uncertain transcription] I just greet my- the person that is next to me, ""How are you? How did you sleep?""","And then I, my [uncertain transcription] I just greet my- the person that is next to me, ""How are you? How did you sleep?""",,,
,,Interviewer,,Mh hh.,Mh hh.,,,
,,Peter,,"""<Swahili>Ulilalaje?""  ""Leo unataka tukunywe chai ama tukunywe kahawa</Swahili>?""","""<English>How did you sleep?""  ""Today do you want us to drink tea or to drink coffee</English>?""",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"Na, ""Do have a class today?"" Like you know, it's the same conversation, but I've asked three different questions in three different languages. ","Na, ""Do have a class today?"" Like you know, it's the same conversation, but I've asked three different questions in three different languages. ",,,
,,Interviewer,,Okay.,Okay.,,,
,,Peter,,Yes.,Yes.,,,
,,Interviewer,,"So mostly in which situations and maybe for what reasons do people mix languages?  And in your opinion, what can you say is the reason?","So mostly in which situations and maybe for what reasons do people mix languages?  And in your opinion, what can you say is the reason?",,,
,,Peter,,"Ahh,  I think, <Swahili>kuna pahali ukitumia lugha tofauti nyingi</Swahili>,","Ahh,  I think, <English>there are places if you use many different languages</English>,",CS,Unmarked.,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"<Swahili>unaonekana ni kama eh, unaelewa sana</Swahili>, you know a lot.","<English>you look like eh, you understand a lot</English>, you know a lot.",CS,Unmarked.,
,,Interviewer,,Okay.,Okay.,,,
,,Peter,,"And people won't have an impression that, ""yes, I do know.""  So <Swahili>tukipatana na mabeshdi</Swahili>, I want to show them that I know English, I want, I want to show them I  know Kiswahili, I know Kikuyu as well.  But the other instances that you cannot use Kikuyu, you cannot use a single language alone.  For example, <Swahili>nimeenda kwa</Swahili> market.","And people won't have an impression that, ""yes, I do know.""  So <English>when we find each other with my besties</English>, I want to show them that I know English, I want, I want to show them I  know Kiswahili, I know Kikuyu as well.  But the other instances that you cannot use Kikuyu, you cannot use a single language alone.  For example, <English>I went to the</English> market.",CS,Unmarked.,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,<Swahili>Hapa tu kwa mamboga</Swahili>.,<English>Right here at the vegetable seller lady</English>.,,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,I  just want to buy vegetables.,I  just want to buy vegetables.,,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"That <Swahili label='solidarity'>mamboga</Swahili label='solidarity'> is a, is from different community.  As for my, so <Swahili>itabidi</Swahili>- and she does not understand English.  <Swahili>Itabidi nimezungumza ama nime</Swahili>mix, <Swahili>Kizungu, Kiswahili, hizo mbili sana sana.  Sitatumia yangu</Swahili>.","That <English>vegetable lady</English> is a, is from different community.  As for my, so <English>I would have to</English>- and she does not understand English.  <English>I would have to speak or I</English>mix, <English>English, Swahili, those two mostly. I won't use mine</English>.",CS,SM: Solidarity.,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
