Name of the file,Topic,Participant,Time,Dialogue,Translation,CS/DM,Comments
,,Participant,,"Yes, <afrikaans>ja</afrikaans> I can tell by the choice of word they are using.","Yes, <english>yes</english> I can tell by the choice of word they are using.",,
,,Interviewer,,Okay=,Okay=,,
,,Participant,,Coz some- some people- especially those people who are academics they use those words that are- those advanced words.,Coz some- some people- especially those people who are academics they use those words that are- those advanced words.,,
,,Interviewer,,Mh=,Mh=,,
,,Participant,,"Like- just to show up that the- they- they are educated. So <afrikaans>ja</afrikaans>, you can tell, <afrikaans>ja</afrikaans>.","Like- just to show up that the- they- they are educated. So <english>yes</english>, you can tell, <english>yes</english>.",,
,,Interviewer,,"And then, ah- do you speak different ah- languages to different people, where, when and why?","And then, ah- do you speak different ah- languages to different people, where, when and why?",,
,,Participant,,"I speak different language ah- ah- because I was brought up in the- when I was raised to respect elders, when im speaking with elders, I would respect the manner that isn’t appropriate manner that ah- I won’t- I won’t speak in the same level as I was speaking and- and others. Like- when im speaking with a friend, <zulu label='refereeing'>umngani wami ngeke ngikhulume ngendlela efanayo nomntomdala</zulu label='refereeing'>=","I speak different language ah- ah- because I was brought up in the- when I was raised to respect elders, when im speaking with elders, I would respect the manner that isn’t appropriate manner that ah- I won’t- I won’t speak in the same level as I was speaking and- and others. Like- when im speaking with a friend, <english>with my friend I will not speak the same way with an adult</english>=",,"SM: Refereeing. LF: ""umngani"" and ""nomntomdala"" is used to display reverence and distinction on when to code-switch when with friends or with family, as well as the level of respect for his elders even though they are not present."
,,Interviewer,,<afrikaans>Ja</afrikaans>,<english>Yes</english>,,
,,Participant,,"So I have to change to show that I am respecting that elder and when im speaking with my friends sometimes I’ll mix English and- and <zulu>isiZulu</zulu> and if ah- coz- for me im flexible- I would like- I would like to learn about other cultures, so if I found ah- ah-  I speak with a Sotho or- or Xhosa, sometime I do speak Xhosa or Sotho with that person a bit just to show that I really acknowledge that person.","So I have to change to show that I am respecting that elder and when im speaking with my friends sometimes I’ll mix English and- and <english>Zulu</english> and if ah- coz- for me im flexible- I would like- I would like to learn about other cultures, so if I found ah- ah-  I speak with a Sotho or- or Xhosa, sometime I do speak Xhosa or Sotho with that person a bit just to show that I really acknowledge that person.",,
,,Interviewer,,Mh=,Mh=,,
,,Participant,,"<afrikaans>Ja</afrikaans>, so- <afrikaans>ja</afrikaans>.","<english>Yes</english>, so- <english>yes</english>.",,
,,Interviewer,,"Mh, that’s great. And then ah- ah- have you ever tried to change anything about the way you talk?","Mh, that’s great. And then ah- ah- have you ever tried to change anything about the way you talk?",,
,,Participant,,"Yes, especially when im speaking English=","Yes, especially when im speaking English=",,
,,Interviewer,,Mh.,Mh.,,
,,Participant,,"Coz I feel that ah- english makes you feel good when you speaking it the way ah- it’s just the society that describe when you are fluent in English, when you pronounce those words nicely they think that you smart you know-","Coz I feel that ah- english makes you feel good when you speaking it the way ah- it’s just the society that describe when you are fluent in English, when you pronounce those words nicely they think that you smart you know-",DM,
,,Interviewer,,You are accept- you’re acceptable.,You are accept- you’re acceptable.,,
,,Participant,,"<zulu>Ngiacceptable,</zulu> <afrikaans>ja</afrikaans>.","<english>I am acceptable,</english> <english>yes</english>.",,
,,Interviewer,,"Okay, ah- okay- right. Just basically, what are the issues maybe that you discuss with your friend nowadays, the burning issues=","Okay, ah- okay- right. Just basically, what are the issues maybe that you discuss with your friend nowadays, the burning issues=",,
,,Participant,,Burning issues?,Burning issues?,,
,,Interviewer,,"Mh, that you discuss with your friends now?","Mh, that you discuss with your friends now?",,
,,Participant,,"I wouldn’t say issues- okay- I would say, soccer.","I wouldn’t say issues- okay- I would say, soccer.",,
,,Interviewer,,"Mh, soccer yes.","Mh, soccer yes.",,
,,Participant,,"Okay, ah- we talk about soccer mostly and especially with our careers.","Okay, ah- we talk about soccer mostly and especially with our careers.",,
,,Interviewer,,<afrikaans>Ja</afrikaans>.,<english>Yes</english>.,,
,,Participant,,"<afrikaans>Ja</afrikaans>, the way and ah- the- the- coz(…) we think about the- ah, we planning about our life coz now we are at the stage at the-","<english>Yes</english>, the way and ah- the- the- coz(…) we think about the- ah, we planning about our life coz now we are at the stage at the-",,
,,Interviewer,,Okay=,Okay=,,
,,Participant,,"<afrikaans>Ja</afrikaans>, we are- we’re at the university you have to plan for the future=","<english>Yes</english>, we are- we’re at the university you have to plan for the future=",,
,,Interviewer,,"Okay, which year now are you in?","Okay, which year now are you in?",,
,,Participant,,Me im doing a third year.,Me im doing a third year.,,
,,Interviewer,,"Okay, it’s your last year","Okay, it’s your last year",,
,,Participant,,"No, it’s gonna be a four years.","No, it’s gonna be a four years.",,
,,Interviewer,,Four years?,Four years?,,
,,Participant,,Yes.,Yes.,,
,,Interviewer,,So what’s your plan when you finish? Going to the field or doing a postgraduate study?,So what’s your plan when you finish? Going to the field or doing a postgraduate study?,,
,,Participant,,"No no, for us- for us coz im- coz this- there is the thing if you are Zulu, if you are boy, you are raised- ah- is that like you- <zulu label='confidence'>unesikweletu ekhaya</zulu label='confidence'> you have to fill.","No no, for us- for us coz im- coz this- there is the thing if you are Zulu, if you are boy, you are raised- ah- is that like ah- <english>a debt at home</english> you have to fill.",,"SM: Confidence. LF: ""ekhaya""is used by the Participant to stress the fact that he has a responsibility towards family and then to wards himself."
,,Interviewer,,Okay.,Okay.,,
,,Participant,,"So I have that gap, I have to and- and- go and definitely find work and ren- and raise-","So I have that gap, I have to and- and- go and definitely find work and ren- and raise-",,
,,Interviewer,,Raise your family?,Raise your family?,,
,,Participant,,"And raise my family, and just, <zulu label='power'>yabona-</zulu label='power'> renovate the house and then- and then go and leave my house- and to start my own family.","And raise my family, and just, <english>you see</english>- renovate the house and then- and then go and leave my house- and to start my own family.",,"SM: Power. LF: ""yabona"" is used on this instance to stress again the fact that the Participant has a duty towards his family, his duty comes before his right."
,,Interviewer,,Okay.,Okay.,,
,,Participant,,"<afrikaans>Ja</afrikaans>, so- <afrikaans>ja</afrikaans>=","<english>Yes</english>, so- <english>yes</english>=",,
,,Interviewer,,"Okay, <zulu>ngiyabonga</zulu> my brother. Thank you so much.","Okay, <english>thank you</english> my brother. Thank you so much.",,
,,Participant,,My pleasure.,My pleasure.,,
,,Interviewer,,,,,
