Name of the file,Topic,Participant,CN,Dialogue,Translation,CSs,Comments,
,,Amanda,,<Swahili>Na msamiati na istilahi muafaka</Swahili>. ,<English>And acceptable vocabulary and terminology</English>.,,,
,,Interviewer,,"Mm hmm, you are now almost losing me. [she laughs] Um: how about-I mean-Kiswahili you have really talked about Kiswahili in a  passionate way,","Mm hmm, you are now almost losing me. [she laughs] Um: how about-I mean-Kiswahili you have really talked about Kiswahili in a  passionate way,",,,
,,Amanda,,Yes.,Yes.,,,
,,Interviewer,,You have a special thing eh?  About Kiswahili.,You have a special thing eh?  About Kiswahili.,,,
,,Amanda,,Yea.,Yea.,,,
,,Interviewer,,How about English?  Is English important for you to know?,How about English?  Is English important for you to know?,,,
,,Amanda,,"English is uh, very important. Especially in Kenya where, it has it's-a major role as a-a language. And uh, there are people who cannot-who are not from my vernacular group. And they don't understand Kiswahili so I will need the English. And then uh, I'll also need the English when it comes to traveling to areas where Kiswahili  and my vernacular languages are not used.","English is uh, very important. Especially in Kenya where, it has it's-a major role as a-a language. And uh, there are people who cannot-who are not from my vernacular group. And they don't understand Kiswahili so I will need the English. And then uh, I'll also need the English when it comes to traveling to areas where Kiswahili  and my vernacular languages are not used.",,,
,,Interviewer,,"Then I assume Kiswahili, even if it's not that <Swahili>sanifu</Swahili> that you said, if it is this one <Swahili>ya kawaida</Swahili> or this one, what did you call it?","Then I assume Kiswahili, even if it's not that <English>standard</English> that you said, if it is this one <English>of everyday</English> or this one, what did you call it?",CS,Unmarked.,
,,Amanda,,The: lighter {version of Kiswahili},The: lighter {version of Kiswahili},,,
,,Interviewer,,{The lighter version of Kiswahili}  I think almost everybody in Kenya would understand that. {So why would you want to use English?},{The lighter version of Kiswahili}  I think almost everybody in Kenya would understand that. {So why would you want to use English?},,,
,,Amanda,,"{Or in:-uh:-governmen-}you see, like uh, in so many offices. Especially in government offices cuz I have an experience with it. Or even here in campus. There's an office you'll go and introduce yourself in Kiswahili and the person serving you will just look at you as in ""can you speak a language I'm understanding?"" (they both laugh)","{Or in:-uh:-governmen-}you see, like uh, in so many offices. Especially in government offices cuz I have an experience with it. Or even here in campus. There's an office you'll go and introduce yourself in Kiswahili and the person serving you will just look at you as in ""can you speak a language I'm understanding?"" (they both laugh)",,,
,,Interviewer,00:08:03mins,So the people claim they speak Kiswahili?,So the people claim they speak Kiswahili?,,,
,,Amanda,,They claim=,They claim=,,,
,,Interviewer,,"When they list the languages they say ""{Kiswahili}=","When they list the languages they say ""{Kiswahili}=",,,
,,Amanda,,{Kiswahili and English},{Kiswahili and English},,,
,,Interviewer,,Mother tongue and English.,Mother tongue and English.,,,
,,Amanda,,"Yea. But I once took my registration form for the courses and I spoke in Kiswahili. ""<Swahili>Naomba, uh..fomu yangu ya usajili wa kozi iidhenishe.</Swahili>""","Yea. But I once took my registration form for the courses and I spoke in Kiswahili. ""<English>May I have, uh..my course registration form approved?</English>""",,,
,,Interviewer,,Essh!,Essh!,,,
,,Amanda,,And the secretary just looked at you=,And the secretary just looked at you=,,,
,,Interviewer,,(laughs) Looked at you and wondered what-what are you talking about?,(laughs) Looked at you and wondered what-what are you talking about?,,,
,,Amanda,,If I didn't switch to English I wouldn't have been served.,If I didn't switch to English I wouldn't have been served.,,,
,,Interviewer,,So at that moment you switched to English immediately?,So at that moment you switched to English immediately?,,,
,,Amanda,,Definitely. Immediately. Yes. ,Definitely. Immediately. Yes. ,,,
,,Interviewer,,"Yea. Okay. What if you-that secretary was a person you shared a mother tongue like Kikuyu? For example or Kimeru? Would you ah, have switched to Kimeru?","Yea. Okay. What if you-that secretary was a person you shared a mother tongue like Kikuyu? For example or Kimeru? Would you ah, have switched to Kimeru?",,,
,,Amanda,,"Personally-ok as a person, I don't use ah, my vernacular language in ah, offices. Especially=","Personally-ok as a person, I don't use ah, my vernacular language in ah, offices. Especially=",,,
,,Interviewer,,In an office set up.,In an office set up.,,,
,,Amanda,,"Yea, in an office set up.  But if I meet the same person on a lighter note and maybe it's some joke we are talking. As in=","Yea, in an office set up.  But if I meet the same person on a lighter note and maybe it's some joke we are talking. As in=",,,
,,Interviewer,,Or in the cafeteria?,Or in the cafeteria?,,,
,,Amanda,,"Yea, we can..talk.","Yea, we can..talk.",,,
,,Interviewer,,You can do that.,You can do that.,,,
,,Amanda,,Yes.,Yes.,,,
,,Interviewer,,"Mmm, you can ask for the salt for example in-in Kikuyu?","Mmm, you can ask for the salt for example in-in Kikuyu?",,,
,,Amanda,,"Because you might end up coming after me in that office and you are not served. You might go having the feeling that ""I-<Swahili>kama ningezungumza Kimeru or Kikuyu, huenda ningehudumiwa</Swahili>"". Yea.","Because you might end up coming after me in that office and you are not served. You might go having the feeling that ""I-<English>if I spoke Kimeru or Kikuyu, I may have been helped</English>"". Yea.",,,
,,Interviewer,00:09:25mins,"So you are convinced that English is important , as much as your Kiswahili is also important.","So you are convinced that English is important , as much as your Kiswahili is also important.",,,
,,Amanda,,Important. Yes.,Important. Yes.,,,
,,Interviewer,,How about the mother tongues? For you it's two-{two native languages.},How about the mother tongues? For you it's two-{two native languages.},,,
,,Amanda,,{For me there are two} of which I speak fluently and others that I can hear. {I can}=,{For me there are two} of which I speak fluently and others that I can hear. {I can}=,,,
,,Interviewer,,{Is it} important for anyone to know? {a mother tongue}?,{Is it} important for anyone to know? {a mother tongue}?,,,
,,Amanda,,"{It's important,} to: know your mother tongue. For example, I use this example of ah, the grandparents. When ah you go for this family get togethers, most of the times we have been blamed-we the university students that even we who are Kiswahili majors, when you go to the rural areas, you cling so much onto English that they dont' understand. So: sometimes the vernacular helps in communication with the illiterate, those who cannot understand English as much as they are learned, and uh, also in cases of research.  Like aah, I'm doing a proposal on a-<Swahili>nyimbo za taarab katika utamaduni wa-Waswahili</Swahili>. In some communities if you do not identify by the language they speak they might end up denying you so much details that you need. So:=","{It's important,} to: know your mother tongue. For example, I use this example of ah, the grandparents. When ah you go for this family get togethers, most of the times we have been blamed-we the university students that even we who are Kiswahili majors, when you go to the rural areas, you cling so much onto English that they dont' understand. So: sometimes the vernacular helps in communication with the illiterate, those who cannot understand English as much as they are learned, and uh, also in cases of research.  Like aah, I'm doing a proposal on a-<English>taarab songs in the culture of the Swahili people</English>. In some communities if you do not identify by the language they speak they might end up denying you so much details that you need. So:=",,,
,,Interviewer,,So you want-you-when you go there you want to use-,So you want-you-when you go there you want to use-,,,
,,Amanda,,What-the {language they use}-,What-the {language they use}-,,,
,,Interviewer,,"{But then that would mean} if you are doing it..in central province, or in Nanyuki, okay, that you can do. But if you are doing it in coast, how is your mother tongue important?","{But then that would mean} if you are doing it..in central province, or in Nanyuki, okay, that you can do. But if you are doing it in coast, how is your mother tongue important?",,,
,,Amanda,,"It's not that important in such a case but, you'll find that if I’m taking a research in a Kikuyu based ah, community where I can speak Kikuyu, I will end up getting more details and the people I am using in my research will be more free and open to I who can speak their language, to another person who cannot even share the greetings in their language.  Yes.","It's not that important in such a case but, you'll find that if I’m taking a research in a Kikuyu based ah, community where I can speak Kikuyu, I will end up getting more details and the people I am using in my research will be more free and open to I who can speak their language, to another person who cannot even share the greetings in their language.  Yes.",,,
,,Interviewer,,So if you had to rank the languages that you know in importance-{which one is the most important-},So if you had to rank the languages that you know in importance-{which one is the most important-},,,
,,Amanda,,"{in uh, the vernaculars?}","{in uh, the vernaculars?}",,,
,,Interviewer,,No. No=,No. No=,,,
,,Amanda,,In {all the languages that I speak?},In {all the languages that I speak?},,,
,,Interviewer,,"{The vernacular}, the-the Kiswahili and the English?","{The vernacular}, the-the Kiswahili and the English?",,,
,,Amanda,,I would rank Kiswahili first. Then English. And then Kikuyu is more widely spread then Kimeru. Yea. Those ones I can speak fluently.  ,I would rank Kiswahili first. Then English. And then Kikuyu is more widely spread then Kimeru. Yea. Those ones I can speak fluently.  ,,,
,,Interviewer,,"What is the criteria you are using to rank because, I thought Kiswahili is important in certain=","What is the criteria you are using to rank because, I thought Kiswahili is important in certain=",,,
,,Amanda,,Areas.,Areas.,,,
,,Interviewer,,Areas and context. English is also important in certain areas. And mother tongue is also impor-why don't you just say all of them are same rank?,Areas and context. English is also important in certain areas. And mother tongue is also impor-why don't you just say all of them are same rank?,,,
,,Amanda,,"They-actually in Kiswahili we say ""no language is better than another language"". Even the:","They-actually in Kiswahili we say ""no language is better than another language"". Even the:",,,
,,Interviewer,,But you have just said-told me that Kiswahili-,But you have just said-told me that Kiswahili-,,,
,,Amanda,,I have just ranked them (while laughing),I have just ranked them (while laughing),,,
,,Interviewer,,"Is the best. Is it because, mm hmm","Is the best. Is it because, mm hmm",,,
,,Amanda,00:12:18mins,"I use the:-criteria of ah- if I were called in a particular area, and I was to be useful, basing myself on the languages. I would be very much productive on Kiswahili followed by English, {Kikuyu,) then Kimeru.","I use the:-criteria of ah- if I were called in a particular area, and I was to be useful, basing myself on the languages. I would be very much productive on Kiswahili followed by English, {Kikuyu,) then Kimeru.",,,
,,Interviewer,,{So you would?} Mm? You would be more productive in Mombasa? Then in-in-in Nyeri?,{So you would?} Mm? You would be more productive in Mombasa? Then in-in-in Nyeri?,,,
,,Amanda,,Yes.,Yes.,,,
,,Interviewer,,"I think those Nyeri people will lead-need you more (she laughs). Especially if you are going to-to do what, to teach Kiswahili.","I think those Nyeri people will lead-need you more (she laughs). Especially if you are going to-to do what, to teach Kiswahili.",,,
,,Amanda,,"To teach Kiswahili in a-if I were to teach Kiswahili in Nyeri for example, there's this notion that a teacher can use her mothertongue to drive a point home.  If I combine the two definitely my productivity rises.  Because I can teach you in Kiswahili <Swahili>nikwambie ""hii ni meza""<Swahili> and then in Kikuyu <Swahili>nikwambie</Swahili>=-""","To teach Kiswahili in a-if I were to teach Kiswahili in Nyeri for example, there's this notion that a teacher can use her mothertongue to drive a point home.  If I combine the two definitely my productivity rises.  Because I can teach you in Kiswahili <English>I tell you ""this is a table""<English> and then in Kikuyu <English>I tell you</English>=-""",,,
,,Interviewer,,Give more explanations in Kikuyu. ,Give more explanations in Kikuyu. ,,,
,,Amanda,,Yes,Yes,,,
,,Interviewer,,"Oh. So do you-do you sometimes mix these languages, in the same conversation? Or do you always do that?","Oh. So do you-do you sometimes mix these languages, in the same conversation? Or do you always do that?",,,
,,Amanda,,Sometimes I-,Sometimes I-,,,
,,Interviewer,,"You mix them, do you mix them?","You mix them, do you mix them?",,,
,,Amanda,,Yes I do mix.,Yes I do mix.,,,
,,Interviewer,,In one conversation?,In one conversation?,,,
,,Amanda,,Yes.,Yes.,,,
,,Interviewer,,Mm hmm. Most of the time or-,Mm hmm. Most of the time or-,,,
,,Amanda,,"Mmm, apart from inofficial contexts, most of the time I do mix English and Kiswahili.","Mmm, apart from inofficial contexts, most of the time I do mix English and Kiswahili.",,,
,,Interviewer,,When-when for example?,When-when for example?,,,
,,Amanda,,"Like, when we are just telling stories, with my friends. On a phone call, apart from when it's=","Like, when we are just telling stories, with my friends. On a phone call, apart from when it's=",,,
,,Interviewer,,Phone call? Even when you are calling your dad?,Phone call? Even when you are calling your dad?,,,
,,Amanda,,"Yes. For my dad. No my dad I use English. Because he doesn't like ah Kiswahili,","Yes. For my dad. No my dad I use English. Because he doesn't like ah Kiswahili,",,,
,,Interviewer,,So you don't mix?,So you don't mix?,,,
,,Amanda,,I don't mix when I'm talking to him.,I don't mix when I'm talking to him.,,,
,,Interviewer,,"When you are on the phone, uh with eh…who now...somebody who is senior to you.  Maybe you are calling your professor.","When you are on the phone, uh with eh…who now...somebody who is senior to you.  Maybe you are calling your professor.",,,
,,Amanda,,That one I dare not.,That one I dare not.,,,
,,Interviewer,,You dare not mix.,You dare not mix.,,,
,,Amanda,,Yes. (they both laugh),Yes. (they both laugh),,,
,,Interviewer,00:14:08mins,"How about with the: fellow friends, students?","How about with the: fellow friends, students?",,,
,,Amanda,,Now that one comes in.,Now that one comes in.,,,
,,Interviewer,,You mix.,You mix.,,,
,,Amanda,,The mixing.,The mixing.,,,
,,Interviewer,,Why-why is that the case? Why-why mix when it is this person and not-,Why-why is that the case? Why-why mix when it is this person and not-,,,
,,Amanda,,"And not-you see like, if I’m calling my lecturer, it comes, psychologically and automatically this is a-an English, a lecturer.  Like I take television journalism. So when it comes to communicationing with that lecturer, it's English. Then when it comes to my lecturers like my Kiswahili lecturers I speak Kiswahili that after the call I'd wonder ""was that you?"" but there's no instance of {mixing the two}.","And not-you see like, if I’m calling my lecturer, it comes, psychologically and automatically this is a-an English, a lecturer.  Like I take television journalism. So when it comes to communicationing with that lecturer, it's English. Then when it comes to my lecturers like my Kiswahili lecturers I speak Kiswahili that after the call I'd wonder ""was that you?"" but there's no instance of {mixing the two}.",,,
,,Interviewer,,{Mixing the two}. Mmm. So this mixing is something that is con-you do consciously.,{Mixing the two}. Mmm. So this mixing is something that is con-you do consciously.,,,
,,Amanda,,Yes.,Yes.,,,
,,Interviewer,,When you know and you know that this one is-{Or is it-or is it natural that sometimes you have to-},When you know and you know that this one is-{Or is it-or is it natural that sometimes you have to-},,,
,,Amanda,,{Although sometimes it comes automatically} you don't get to know in that statement I actually spoke {three languages in one},{Although sometimes it comes automatically} you don't get to know in that statement I actually spoke {three languages in one},,,
,,Interviewer,,{And then you-you correct yourself} very quickly if it's your lecturer and-is it-is that-does that happen?,{And then you-you correct yourself} very quickly if it's your lecturer and-is it-is that-does that happen?,,,
,,Amanda,00:15:15mins,"Yes. If you happen to mix-like in Kiswahili if you're trying to: refer to something, whose name in Kiswahili you don't know, once you remember it, you know sometimes you forget you're trying ""ah, phone, phone, phone what is a phone in Kiswahili?"" you can end up saying ""a phone"". And then when you remember you correct yourself <Swahili>kwamba ni simu. Ndiyo.</Swahili> ","Yes. If you happen to mix-like in Kiswahili if you're trying to: refer to something, whose name in Kiswahili you don't know, once you remember it, you know sometimes you forget you're trying ""ah, phone, phone, phone what is a phone in Kiswahili?"" you can end up saying ""a phone"". And then when you remember you correct yourself <English>that is its phone. Yes. <English> ",,,
,,Interviewer,,Mm hmm. What languages do you mix often?,Mm hmm. What languages do you mix often?,,,
,,Amanda,,"Aah, English and Kiswahili.","Aah, English and Kiswahili.",,,
,,Interviewer,,"Mm hmm, which other languages do you mix-are there any other languages you mix? [uncertain transcription] English and Kiswahili?  In one conversation? ","Mm hmm, which other languages do you mix-are there any other languages you mix? [uncertain transcription] English and Kiswahili?  In one conversation? ",,,
,,Amanda,,When it comes to:-English and Kiswahili in one. And then Kimeru and Kikuyu in one. But=,When it comes to:-English and Kiswahili in one. And then Kimeru and Kikuyu in one. But=,,,
,,Interviewer,,You also mix Kimeru na-,You also mix Kimeru na-,,,
,,Amanda,,And Kikuyu yes.,And Kikuyu yes.,,,
,,Interviewer,,Why would you do that?,Why would you do that?,,,
,,Amanda,,"Because eh, sometimes you will know some-something in Kikuyu and {you don't know in Kimeru}=","Because eh, sometimes you will know some-something in Kikuyu and {you don't know in Kimeru}=",,,
,,Interviewer,,{Would you be speaking} to a Kikuyu speaker or a Meru speaker?,{Would you be speaking} to a Kikuyu speaker or a Meru speaker?,,,
,,Amanda,,"Any of them and then if you're the Kikuyu speaker, that I’m speaking to, and I end up mentioning something in Kimeru you'll correct me. (he yawns)Or=","Any of them and then if you're the Kikuyu speaker, that I’m speaking to, and I end up mentioning something in Kimeru you'll correct me. (he yawns)Or=",,,
,,Interviewer,,"And then you'll say ""no, you don't say it that way"", it's that person who says that.","And then you'll say ""no, you don't say it that way"", it's that person who says that.",,,
,,Amanda,,Yea. Like I learnt Kikuyu later than Kimeru. So sometimes I'm speaking in Kikuyu=,Yea. Like I learnt Kikuyu later than Kimeru. So sometimes I'm speaking in Kikuyu=,,,
,,Interviewer,,Without knowing?,Without knowing?,,,
