Name of the file,Topic,Participant,CN,Dialogue,Translation,CSs/s,Comments
,,Interviewer,,Mm mh.,Mm mh.,,
,,Alvin,,"And this-during maybe elections, at the universities, you find now people like aligning themselves to the tribe [uncertain transcription]","And this-during maybe elections, at the universities, you find now people like aligning themselves to the tribe [uncertain transcription]",,
,,Interviewer,,Tribal.  So: it's not good really=,Tribal.  So: it's not good really=,,
,,Alvin,,It's not good.,It's not good.,,
,,Interviewer,,"Because if it was about culture and discussing how-what is common about you, that would have been something.  ","Because if it was about culture and discussing how-what is common about you, that would have been something.  ",,
,,Alvin,,It would have been uuh=,It would have been uuh=,,
,,Interviewer,,But now it's-it's turned into politics of the day=,But now it's-it's turned into politics of the day=,,
,,Alvin,,"Politics, tribal blogs, ","Politics, tribal blogs, ",,
,,Interviewer,,"And this happens even in Nairobi, University.  I see that in newspapers. That students are aligning themselves in terms of community.  ","And this happens even in Nairobi, University.  I see that in newspapers. That students are aligning themselves in terms of community.  ",,
,,Alvin,,No: it's not-{not a good thing}.,No: it's not-{not a good thing}.,,
,,Interviewer,,{Which is not a good thing}.,{Which is not a good thing}.,,
,,Alvin,,"I've even seen, some people-when people go-aah-maybe booking rooms. Somebody goes to:-this way ""I want to stay with maybe somebody who comes from=""","I've even seen, some people-when people go-aah-maybe booking rooms. Somebody goes to:-this way ""I want to stay with maybe somebody who comes from=""",,
,,Interviewer,,From the same=,From the same=,,
,,Alvin,,From the same place. My tribe.  ,From the same place. My tribe.  ,,
,,Interviewer,,And you expect campus to be multi: ethnic=,And you expect campus to be multi: ethnic=,,
,,Alvin,,You interact. ,You interact. ,,
,,Interviewer,,"You interact. You want to know people from Garisa, people from coast. You want to mingle.","You interact. You want to know people from Garisa, people from coast. You want to mingle.",,
,,Alvin,00:14:08mins,"Yea.  Like me, since I started in my joint first year I've never stayed with somebody who comes from the same tribe.  ","Yea.  Like me, since I started in my joint first year I've never stayed with somebody who comes from the same tribe.  ",,
,,Interviewer,,"Aah, okay. So you want somebody=","Aah, okay. So you want somebody=",,
,,Alvin,,"I've never wanted to. Because definitely, there's nothing you're going to  learn new.","I've never wanted to. Because definitely, there's nothing you're going to  learn new.",,
,,Interviewer,,There's nothing new you're going to learn.,There's nothing new you're going to learn.,,
,,Alvin,,"And your language will also-only be-you will find yourself even if you don't want to, at times you will find yourself talking your vernacular. And right now-and maybe somebody comes, you'll even-you might exclude a third person. Somebody comes in, and you can find yourself talking vernacular, you're excluding this third per-third party here. ","And your language will also-only be-you will find yourself even if you don't want to, at times you will find yourself talking your vernacular. And right now-and maybe somebody comes, you'll even-you might exclude a third person. Somebody comes in, and you can find yourself talking vernacular, you're excluding this third per-third party here. ",,
,,Interviewer,,"Yea, because campus is people from different communities.","Yea, because campus is people from different communities.",,
,,Alvin,,Yea. ,Yea. ,,
,,Interviewer,,"I think in equal numbers, you'll find people from all over the country.","I think in equal numbers, you'll find people from all over the country.",,
,,Alvin,,Yea.,Yea.,,
,,Interviewer,,"Ok.  Yea, do you tend to-to mix, languages in a conversation?","Ok.  Yea, do you tend to-to mix, languages in a conversation?",,
,,Alvin,,Yea.,Yea.,,
,,Interviewer,,"Do you, do that?","Do you, do that?",,
,,Alvin,,I do that. ,I do that. ,,
,,Interviewer,,Which languages would these be?,Which languages would these be?,,
,,Alvin,,"Mmm, in a conversation=","Mmm, in a conversation=",,
,,Interviewer,,"Mm, I mean in just one conversation, not oo-over a day: or several days. Just like one conversation you are having, do you mix languages?","Mm, I mean in just one conversation, not oo-over a day: or several days. Just like one conversation you are having, do you mix languages?",,
,,Alvin,,At times I do mix languages.  ,At times I do mix languages.  ,,
,,Interviewer,,Which ones mostly?,Which ones mostly?,,
,,Alvin,,Mostly:   ,Mostly:   ,,
,,Interviewer,,Mm mmh. ,Mm mmh. ,,
,,Alvin,,It's Kiswahili and English mostly.,It's Kiswahili and English mostly.,,
,,Interviewer,,When-when would this be? When-where-when you are: doing what?,When-when would this be? When-where-when you are: doing what?,,
