Topic ,Participant ,Ln,Dialouge,Translation,Cs/Dm,Comments
,Lily 2,,"Yah(agree) it is ok ok, I don’t really speak Luo because it is important to me but because am used to it yah, it's been..(interrupted)","Yah (agree) it is ok ok, I don’t really speak Luo because it is important to me but because am used to it yah, it's been..(interrupted)",,
,Interviwer,,But you feel it's important to know.,But you feel it's important to know.,,
,Lily 2,,"Yah(agree) it's important to know, at list if someone asks you ""are you a Luo? I am a Luo. Tell me something in Luo?"" I'll be like ""ooh I'll gladly do"" yah will I can tell someone.","Yah (agree) it's important to know, at list if someone asks you ""are you a Luo? I am a Luo. Tell me something in Luo?"" I'll be like ""ooh I'll gladly do"" yah will I can tell someone.",,
,Interviwer,,Have you made somebody who is a Luo but can't speak?,Have you made somebody who is a Luo but can't speak?,,
,Lily 2,,Yah(agree) a lot.,Yah (agree) a lot.,,
,Interviwer,,What do you feel about such people?,What do you feel about such people?,,
,Lily 2,,"I feel like, I don’t know maybe they are bragging(showing off) they don’t want to be identified with Luos. Unless they hate the Luos.","I feel like, I don’t know maybe they are bragging(showing off) they don’t want to be identified with Luos. Unless they hate the Luos.",,
,Interviwer,,"Would you ever do that? Even if you go to UK (United Kingdom) or US (united States) and meet on the streets and you like ""it's Deluo""","Would you ever do that? Even if you go to UK (United Kingdom) or US (united States) and meet on the streets and you like ""it's Deluo""",,
,Lily 2,,"I, I ,I….( In hesitance and not clear) No no I will never do that it's not worthy it why should I do that? I can't.","I, I ,I….( In hesitance and not clear) No no I will never do that it's not worthy it why should I do that? I can't.",,
,Interviwer,,It's your heritage it's you.,It's your heritage it's you.,,
,Lily 2,,"Yah(agree) at list I feel like a have a sence of belonging at list if I go back to Kisumu obviously  people will expect me to speak in Luo. You can't expect me to go to United State for a year and come back and be like ""why are you even saying that would be a lie"".","Yah (agree) at list I feel like a have a sence of belonging at list if I go back to Kisumu obviously  people will expect me to speak in Luo. You can't expect me to go to United State for a year and come back and be like ""why are you even saying that would be a lie"".",,,
,Interviwer,,Mmmh(agree) that would be a lie. But yah there are people who bragg(show off) they know but they try to pretend that they don’t know.,Mmmh(agree) that would be a lie. But yah there are people who bragg(show off) they know but they try to pretend that they don’t know.,,,
,Lily 2,,Off course they know.,Off course they know.,,,
,Interviwer,,"But there those people also probably who are raised in town unfortunately they didn’t, the language spoken there was Swahili and English so they don’t know the mother tongue.","But there those people also probably who are raised in town unfortunately they didn’t, the language  spoken there was Swahili and English so they don’t know the mother tongue",,,
,Lily 2,,I believe they are in town that would be an excuse yah.,I believe they are in town that would be an excuse yah.,,,
,Interviwer,,"Mmmh, that's an exucse.","Mmmh, that's an exucse.",,,
,Lily 2,,Yah(agree)   ,Yah(agree)  ,,,
,Interviwer,,The town that you have lived in is Kisumu.,The town that you have lived in is Kisumu.,,,
,Lily 2,,Ok I have lived in Kisumu yah.,Ok I have lived in Kisumu yah.,,,
,Interviwer,,But she still..(both laugh) ok honest am in Kisumu in the streets….(not clear),But she still..(both laugh) ok honest am in Kisumu in the streets….(not clear),,,
,Lily 2,,Ok it's true but..(interrupted),Ok it's true but..(interrupted),,"Both do interrupt most often, which contrubuted to repeating same explanation that they had discused before and it also lead to change of topic they were discussing before.",
,Interviwer,,Unless these are people who are not Luos speaking but mostly on the streets the language you will hear is?,Unless these are people who are not Luos speaking but mostly on the streets the language you will hear is?,,,
,Lily 2,,But I don’t really believe that issue of people who live in town..(interrupted) ,,,,
,Interviwer,,"Am now giving a perfect situation where this person was raised in Nairobi not even that person maybe this person is your age the parents of that person were born in Nairobi ok, this is person who is just in Nairobi through and through.","Am now giving a perfect situation where this person was raised in Nairobi not even that person maybe this person is your age the parents of that person were born in Nairobi ok, this is person who is just in Nairobi through and through.",,,
,Lily 2,,Ok such a person aaah…(interrupted),Ok such a person aaah…(interrupted),,,
,Interviwer,,"Don’t you think they, they what problems do you think they will have by not knowing..(not clear) it's not there fault but.","Don’t you think they, they what problems do you think they will have by not knowing..(not clear) it's not there fault but.",,,
,Lily 2,,They will not have much of problems but you know identifying with Luos will be hard.,They will not have much of problems but you know identifying with Luos will be hard.,,
Identity,Interviwer,,"Identity, yah so identity you feel is the..(not clear) without an identity.","Identity, yah so identity you feel is the..(not clear) without an identity.",,
,Lily 2,,"Yah(agree) they will be asked ""what tribe are you Luo you don’t understand Luo you can't speak it"" you just look as you are intruding yah so I believe I don’t believe ok if I were there really  to struggle to learn at list something.","Yah(agree) they will be asked ""what tribe are you Luo you don’t understand Luo you can't speak it"" you just look as you are intruding yah so I believe I don’t believe ok if I were there really  to struggle to learn at list something.",,
,Interviwer,,Yah coz nowdays that we have classes that is for mother tongue people can attend classes for mother tongue.,Yah coz nowdays that we have classes that is for mother tongue people can attend classes for mother tongue.,,
,Lily 2,,Would you attend mother tongue classes for Luo like you a Kalenjin will you attend for Luo?,Would you attend mother tongue classes for Luo like you a Kalenjin will you attend for Luo?,,
,Interviwer,,You know maybe motivation what will be the motivation what would be the motivation if I am somebody who is passionate about languagesis knowing language or I work in Kisumu I would want probably to do that yah but the problem is with our society it is always that English is the language that will take you places or French or French i would rather French than Luo. Is it the same for you?,ow maybe motivation what will be the motivation what would be the motivation if I am somebody who is passionate about languagesis knowing language or I work in Kisumu I would want probably to do that yah but the problem is with our society it is always that English is the language that will take you places or French or French i would rather French than Luo. Is it the same for you?,,
,Lily 2,,Mmmh (agree) ,Mmmh (agree),,
,Interviwer,,That you would want to learn Kalenjin even you are given Kalenjin class and French class or German class which one.,That you would want to learn Kalenjin even you are given Kalenjin class and French class or German class which one.,,
,Lily 2,,"Ok, I wouldn't go for Kalenjin because I believe Kalenjin will only help me in Kenya, but you know Kenya..ok I will have that mentality if I learn French I can to a country like Paris and go there and maybe you are going to communicate with the people and but only kalenjin...(interrupted)","Ok, I wouldn't go for Kalenjin because I believe Kalenjin will only help me in Kenya, but you know Kenya..ok I will have that mentality if I learn French I can to a country like Paris and go there and maybe you are going to communicate with the people and but only kalenjin...(interrupted)",,
,Interviwer,,"Another thing is I am a Kalenjin ok, you are a Luo we can comminucate still ok because even without English we have Swahili<Swahili>sindio</Swahili>but with a French man..(pause)","Another thing is I am a Kalenjin ok, you are a Luo we can comminucate still ok because even without English we have Swahili<English>is that true</English>but with a French man..(pause)",,
,Lily 2,,It's only (interrupted).,It's only (interrupted).,,
,Interviwer,,Yah you need to know the French so you feel the reason the reason why we select this languages yah.,Yah you need to know the French so you feel the reason the reason why we select this languages yah.,,
,Lily 2,,It's only the French.,It's only the French.,,
,Interviwer,,"So do you tend to mix languages you know Deluo, Swahili, English and Sheng(Slang) which is not a langauge but yah do you tend to mix in one converstion?","So do you tend to mix languages you know Deluo, Swahili, English and Sheng(Slang) which is not a langauge but yah do you tend to mix in one converstion?",,
,Lily 2,,A lot.,A lot.,,
,Interviwer,,A lot mmh.,A lot mmh.,,
