Name of the file,Topic,Participant,CN,Dialogue,Translation,CS/DM/SS,Comments,,,,,,
,,Fred,,In school mostly it’s Kiswahili.,In school mostly it’s Kiswahili.,,,,,,,,
,,Interviewer,,Kiswahili.,Kiswahili.,,,,,,,,
,,Fred,,Because me as a person I like Kiswahili as a language. So most of the time I like using Kiswahili so that I improve my knowledge in it and also my understanding and how people view. Mostly it's Kiswahili that has been helping me from high ss-from primary to high school to here. So most of the time I like Kiswahili. <Swahili>Hata</Swahili> let’s say we are in a formal setup and people are doing introductions. Mostly I do it in Kiswahili because I just-I think I love Swahili. ,Because me as a person I like Kiswahili as a language. So most of the time I like using Kiswahili so that I improve my knowledge in it and also my understanding and how people view. Mostly it's Kiswahili that has been helping me from high ss-from primary to high school to here. So most of the time I like Kiswahili. <English>Even</English> let’s say we are in a formal setup and people are doing introductions. Mostly I do it in Kiswahili because I just-I think I love Swahili. ,CS,Unmarked.,,,,,,
,,Interviewer,,You just love Swahili.,You just love Swahili.,,,,,,,,
,,Fred,,"Yea and then my love for Kiswahili began in primary school where we had a teacher known as Mr. Henry Lanana.  And that was the best teacher I've ever had in fact all through to a university <Swahili>sijawaiona mwalimu anafundisha kama yeye</Swahili>. Cuz when you came-when he came to class he used to start with us on aah-with a <Swahili>methali</Swahili>, he’d write <Swahili>methali</Swahili> on the board, first what it means, reads a story about that <Swahili>methali</Swahili>, then after that he goes an-how this now how the [uncertain transcription], he’ll tell you what it means, then how-eeh-aah-how you can apply it. So you see that from there we developed an interest in the Swahili language. So from there he just used to go on until the time-I think there’s a time that Walla bin Walla, this famous writer, author in Swahili primary books, Kiswahili moved-came to school and you see by then we were in Class Seven and we were not allowed to go. So it was only meant for the Class Eight. But being that we had that interest in Swahili the head teacher mmmm took eight of us from Class Seven and we went to [uncertain transcription] and you see, in fact that also boosted my interest-my interest in Swahili language because when I went there I saw the man and that the one I'd been longing to see <Swahili label='quotation'>ati “eh! huyu mtu si ako na Kiswahili poa. Ninatamani kumuona”</Swahili label='quotation'>. (they both laugh) So <Swahili>ile</Swahili> time <Swahili>tulienda huko na nikamuona</Swahili> and I asked him a question <Swahili>yani</Swahili> we-we talked one on one…when that question time came, eeh you could-you can just raise your hand and then you ask something and they answer so you see through that my interest in Swahili language developed and from there I said <Swahili>""hata mimi mbona nisikuwe kama yeye?""</Swahili>","Yea and then my love for Kiswahili began in primary school where we had a teacher known as Mr. Henry Lanana.  And that was the best teacher I've ever had in fact all through to a university <English>I have never seen a teacher who teaches like him</English>. Cuz when you came-when he came to class he used to start with us on aah-with a <English>proverb</English>, he’d write <English>proverb</English> on the board, first what it means, reads a story about that <English>proverb</English>, then after that he goes an-how this now how the [uncertain transcription], he’ll tell you what it means, then how-eeh-aah-how you can apply it. So you see that from there we developed an interest in the Swahili language. So from there he just used to go on until the time-I think there’s a time that Walla bin Walla, this famous writer, author in Swahili primary books, Kiswahili moved-came to school and you see by then we were in Class Seven and we were not allowed to go. So it was only meant for the Class Eight. But being that we had that interest in Swahili the head teacher mmmm took eight of us from Class Seven and we went to [uncertain transcription] and you see, in fact that also boosted my interest-my interest in Swahili language because when I went there I saw the man and that the one I'd been longing to see <English>indeed “Eh! This guy has cool Swahili. I wish to see him”</English>. (they both laugh) So <English>that</English> time <English>we went there and I saw him</English> and I asked him a question <English>that is</English> we-we talked one on one…when that question time came, eeh you could-you can just raise your hand and then you ask something and they answer so you see through that my interest in Swahili language developed and from there I said <English>""even me why don't I become like him?""</English>",CS,"SM: Quotation. OLF: ""Eh! This guy has cool Swahili…""",,,,,,
,,Interviewer,,So we can conclude that your liking for Kiswahili was majorly initiated by your teacher.,So we can conclude that your liking for Kiswahili was majorly initiated by your teacher.,,,,,,,,
,,Fred,,Exactly.,Exactly.,,,,,,,,
,,Interviewer,,Wow. ,Wow. ,,,,,,,,
,,Fred,,"Yea, because I had never left the village for <Swahili>ati</Swahili> I’m going maybe to town, <Swahili>yani</Swahili> that notion that people have that those people who go to town are the ones that know Kiswahili language. Me all through I’d just been at home.","Yea, because I had never left the village for <English>to say</English> I’m going maybe to town, <English>that is</English> that notion that people have that those people who go to town are the ones that know Kiswahili language. Me all through I’d just been at home.",CS,Unmarked.,,,,,,
,,Interviewer,,Rural place.,Rural place.,,,,,,,,
,,Fred,,"Yea, like nursery <Swahili>nilikuwa ninaishi tu na wazazi kule tumezaliwa</Swahili>. Being that my father was also just working some few kilometers away from home. I never had any relatives that I could go to visit during the holidays so I used just to go visit my grandmother. Then in primary, that is nursery I was just with my dad. Nurse-primary also just same same place. High school I also learned just a few meters. High school was just a few meters from my-my place where I used to stay. So you see all that through just being at home so <Swahili>hakuna mahali nimeenda ati mara nimeenda ku-hizo mijimiji tuseme kama Mombasa huko kuishi ishi. Sijawai</Swahili>. So <Swahili>ni-nimekua hapa tu nyumbani</Swahili> so my interest <Swahili>imetokana na hao walimu=</Swahili>","Yea, like nursery <English>I was just living with my parents out where we were born</English>. Being that my father was also just working some few kilometers away from home. I never had any relatives that I could go to visit during the holidays so I used just to go visit my grandmother. Then in primary, that is nursery I was just with my dad. Nurse-primary also just same same place. High school I also learned just a few meters. High school was just a few meters from my-my place where I used to stay. So you see all that through just being at home so <English>there's no place that I went like a time I went to-those cities let's say like Mombasa to live a little. I have never.</English>. So <English>I-I have just been here at home</Swahili> so my interest <English>so my interest came from those teachers=</English>",CS,Unmarked.,,,,,,
,,Interviewer,,Teacher.,Teacher.,,,,,,,,
,,Fred,,Yea the teacher.,Yea the teacher.,,,,,,,,
,,Interviewer,,The teacher played a very big role.,The teacher played a very big role.,,,,,,,,
,,Fred,,Exactly. ,Exactly. ,,,,,,,,
,The Importance of Knowing Native Languages,Interviewer,00:05:38mins,Okay. And do you think it is important to know your native language?,Okay. And do you think it is important to know your native language?,,,,,,,,
,,Fred,,"That is very important.  He!  Native language, you-remember the saying <Swahili label='quotation'>“mwachamila ni mtumwa”</Swahili label='quotation'>. He who leaves his cultural values is just more of a slave. So I think knowing the native language is important even though I don’t have so many things to say about it but I think it’s very important because first, when someone knows his language-you see you have to know your origin. Yea. <Swahili>Mtu akishajua mahali anatoka</Swahili>, at least you can-it is very easily you can-you can identify that aah this one comes from here. Like I think that matter of <Swahili>mtu kujua</Swahili> origin <Swahili>yake.  Kuna</Swahili> movie <Swahili>nilikuwa naona</Swahili>. And you see in that movie there’s-these Nigerian movies, these common, common Nigerian movies. One that there’s a man who wanted to marry. So this man loves the lady and you see, now when it reached a moment that now the parents proposed that they want to go and know that lady at least they know where she-the lady comes from, that’s when the man mm broke it to them that this lady was an orphan, in fact from an orphanage. ","That is very important.  He!  Native language, you-remember the saying <English>“S/he who abandons their traditions is a slave”</English>. He who leaves his cultural values is just more of a slave. So I think knowing the native language is important even though I don’t have so many things to say about it but I think it’s very important because first, when someone knows his language-you see you have to know your origin. Yea. <English>A person, once s/he knows where s/he is from</English>, at least you can-it is very easily you can-you can identify that aah this one comes from here. Like I think that matter of <English>a person knowing</English> origin <English>of his/hers. There is a</English> movie <English>I used to watch</English>. And you see in that movie there’s-these Nigerian movies, these common, common Nigerian movies. One that there’s a man who wanted to marry. So this man loves the lady and you see, now when it reached a moment that now the parents proposed that they want to go and know that lady at least they know where she-the lady comes from, that’s when the man mm broke it to them that this lady was an orphan, in fact from an orphanage. ",CS,"SM: Quotation/Expertise/Solidarity. OLF: ""She who abandons their traditions…""  Note: In asking interviewer if he remembers a Swahili saying, he is acknowledging him as a member of those who know the sayings. He is also establishes himself as an expert in the language, one who can reference proverbs as befitting the situation.",,,,,,
,,Fred (cont.),,"The mother gave birth to her, threw her, some good samaritans picked her up <Swahili>kisha wakampeleka hapo kwa</Swahili> orphanage <Swahili>wakakaakaa kakaakaa</Swahili> then when she was old enough now she decided to leave the orphanage and that’s where they met with that man.  So you see, the problem comes in when now this man want to marry the girl. The man has fallen in love with the girl now, but the parents of the man now they are not consenting to that marriage and even the-the villagers, that is the-those people that can call his fathers they are not happy with that because they said how-how do you marry someone without a background? <Swahili label='elaboration'>Mtu ambaye hata hajui kwao ni wapi? Tuseme ana shida, sasa hizo shida-mnajua</Swahili label='elaboration'> when you have a problem and you know [uncertain transcription] they can start solving your problem from your history. Let’s say-let's say you have a  blood pressure. You say “this blood pressure <Swahili label='quotation'>ametoa wapi? Kama baba yake hakuwanayo, mama yake hakuwanayo</Swahili label='quotation'> then it means that there’s someone in your lineage that had this disease"". So you find that it’s good when a person knows his origin and the same same way it’s a good when a person knows his lang-native language that’s when you can also-it's good when you identify <Swahili label='quotation'>ati ""mimi sasa mimi Mjaluo, mi ni Mkisii, mi ni Mkikuyu""</Swahili label='quotation'>. I think it is better that way. ","The mother gave birth to her, threw her, some good samaritans picked her up <English>then they took her there to the</English> orphanage <English>she stayed and stayed</English> then when she was old enough now she decided to leave the orphanage and that’s where they met with that man.  So you see, the problem comes in when now this man want to marry the girl. The man has fallen in love with the girl now, but the parents of the man now they are not consenting to that marriage and even the-the villagers, that is the-those people that can call his fathers they are not happy with that because they said how-how do you marry someone without a background? <English>A person who doesn't even know where their hometown is? Let's say she has a problem-you know</English> when you have a problem and you know [uncertain transcription] they can start solving your problem from your history. Let’s say-let's say you have a  blood pressure. You say “this blood pressure <English>where did s/he get it from? If her father didn't have it, her mother didn't have it</English> then it means that there’s someone in your lineage that had this disease"". So you find that it’s good when a person knows his origin and the same same way it’s a good when a person knows his lang-native language that’s when you can also-it's good when you identify <English>to say ""me now, I am a Luo, I am a Kisii, I am a Kikuyu""</English>. I think it is better that way. ",CS,SM: Elaboration OLF:Mtu ambao hata hajui kwao ni wapi. Elaborating on what it means to be 'without a background'.  SM: Quotation.                                                                          ,,,,,,
,,Interviewer,00:07:37mins,"Okay.  And do you think..with the way things are going, because somebody like me I’ve been brought up in an urban setting.  I’m a Kikuyu but I’ve been brought up in Rift Valley. Kikuyu, is a problem for me. I can hear but communicating, talking in Kikuyu is very difficult for me. And I’m not too straight. So do you think now that we have so many like me, those who are brought up in urban areas they don’t really see the need of our mothertongue. Now that we-we are-we are mixed up. We have Kikuyus, we have Luyas in our area. So we just decide to use Kiswahili or English. Do you think that-that trend will one day result into our native languages dying?","Okay.  And do you think..with the way things are going, because somebody like me I’ve been brought up in an urban setting.  I’m a Kikuyu but I’ve been brought up in Rift Valley. Kikuyu, is a problem for me. I can hear but communicating, talking in Kikuyu is very difficult for me. And I’m not too straight. So do you think now that we have so many like me, those who are brought up in urban areas they don’t really see the need of our mothertongue. Now that we-we are-we are mixed up. We have Kikuyus, we have Luyas in our area. So we just decide to use Kiswahili or English. Do you think that-that trend will one day result into our native languages dying?",,,,,,,,
,,Fred,,Yea=,Yea=,,,,,,,,
,,Interviewer,,Language death.,Language death.,,,,,,,,
,,Fred,,"Yea it can result to that, maybe after 100 years. (she laughs). Yea you-so-it’s not that easy for it but it’s-there's a probability that language it can die as a result of that <Swahili>lakini ita-itachukua mda sana</Swahili>. It is going to take a longer time. You see <Swahili label='high distance'>kwanza mimi kwanini nasema mtu lazima ajue lugha yake? Hao watu ambao wanazaliwa kwa</Swahili label='high distance'> town <Swahili>unajua</Swahili>-they don’t know the cultural values and whatever the-that is done, whatever is valued as good or whatever is valued as bad with the people back in the village. And that’s why you find that these people they’re the ones that after a short time someone, <Swahili>mtu ameingilia sasa hii, aah hii</Swahili> gay.  Someone has now decided to become a gay or a lesbian, simply because he does not know-he or she does not know the values, whatever is valued as good or bad by the community. And you see when a person he knows his language, which means he-you know the cultural values, whatever the community upholds or whatever community loves, whatever community th-thinks is good. ","Yea it can result to that, maybe after 100 years. (she laughs). Yea you-so-it’s not that easy for it but it’s-there's a probability that language it can die as a result of that <English>but it will-it will take a long time</English>. It is going to take a longer time. You see <English>first why do I say a person must know their language? Those people who are born in</English> town <English>you know</English>-they don’t know the cultural values and whatever the-that is done, whatever is valued as good or whatever is valued as bad with the people back in the village. And that’s why you find that these people they’re the ones that after a short time someone, <English>a person has now entered into this, aah this</English> gay.  Someone has now decided to become a gay or a lesbian, simply because he does not know-he or she does not know the values, whatever is valued as good or bad by the community. And you see when a person he knows his language, which means he-you know the cultural values, whatever the community upholds or whatever community loves, whatever community th-thinks is good. ",CS,SM: Distance OLF: Hao watu/those people,,,,,,
,,Fred (cont.),,"When eh-when you know that your language you’ll know that and you see that’s why most people it’s very rare <Swahili>upate mtu ametoka tu akiishi huko kwao kwa kijiji anajua</Swahili> whatever is expected of him or her then <Swahili>ana-anaingilia</Swahili> lesbianism or gayism. You see that one, I think that’s what is cause-causing this many eh cuz <Swahili>mtu anasema ako</Swahili> digital. How do you become digital if you don’t even know. You-you see you must start from analogue before you reach digital. So these people that <Swahili label='quotation'>wanachipuka tu ‘aah mi ni digital”. Hapana</Swahili label='quotation'>. That’s now where you see these problems are coming from. So even though it’s possible that a language should-will also-will one time die, but I-to me I think it’s not a good thing. People should just strive at least you know your cultural things whatever is expected of you. I think that also promotes, improves your chances of being more digital because when you know more of your things and you know-you know more-more of whatever is expected of you <Swahili>yani unajua</Swahili> the values of your community <Swahili>na pia unajua</Swahili> and they trained us [uncertain transcription] I think you become more digital, then just <Swahili>mtu anataka kuwa</Swahili> digital on one side <Swahili>na hataki kujua</Swahili> the other-the other one.","When eh-when you know that your language you’ll know that and you see that’s why most people it’s very rare <English>you find a person has just left from living out there in his/her village, s/he knows</English> whatever is expected of him or her then <English>s/he-s/he gets into</English> lesbianism or gayism. You see that one, I think that’s what is cause-causing this many eh cuz <English>a person says s/he is</English> digital. How do you become digital if you don’t even know. You-you see you must start from analogue before you reach digital. So these people that <English>they just bust out ""aah I am digital"".  No</English>. That’s now where you see these problems are coming from. So even though it’s possible that a language should-will also-will one time die, but I-to me I think it’s not a good thing. People should just strive at least you know your cultural things whatever is expected of you. I think that also promotes, improves your chances of being more digital because when you know more of your things and you know-you know more-more of whatever is expected of you <English>yani unajua</English> the values of your community <English>and also you know</English> and they trained us [uncertain transcription] I think you become more digital, then just <English>a person wants to be</Englishi> digital on one side <English>and she doesn't want to know</English> the other-the other one.",CS,SM: Quotation.,,,,,,
,,Interviewer,00:10:23mins,So you think language has a role to play in preserving the culture of-of people?,So you think language has a role to play in preserving the culture of-of people?,,,,,,,,
,,Fred,,"Exactly. Yea language has a very big role because from the language you’ll know what is expected of you because <Swahili>kama tusingekuwa na lugha, hata sisi hatungejua ati eeh nini inafanyika. Eeh</Swahili>.  Like <Swahili>tulikuwa tunafundishwa eti</Swahili> like the same same way you see media helps a lot in shaping our role. Because <Swahili>tuseme mtu akizaliwa. Wewe ukizaliwa ulikuwa unajua wewe ni msichana? Hukujua</Swahili>. So it is through the language that you are taught. Whether it is through the things that you heard that when you come to know that “oh!’ By the-in fact by the time a person is three years <Swahili>alishajua mimi ni msichana</Swahili>. Because <Swahili>anaona wasichana</Swahili> they put on skirts, that is if you are in the: <Swahili>hu-huko kwa</Swahili> village <Swahili>utajua wasichana</Swahili> put on the skirts, <Swahili>wasichana</Swahili> they mostly stay-stay near their parents or <Swahili>karibu na mama yao</Swahili>. So <Swahili>kama hakuna</Swahili> language there is no way these people will know this. So it is through this language that people get to know who they are.  Again it is through the language that umm, whatever is expected is transmitted from one person to the other.  [uncertain transcription] <Swahili>Kama jamii inakuhitaji uwe mtu wa kiwango hiki utajua kutokana na lugha</Swahili>, that is language. And so language has a very big role in shaping our roles and also in deciding what type of a person you will become. ","Exactly. Yea language has a very big role because from the language you’ll know what is expected of you because <English>kama tusingekuwa na lugha, hata sisi hatungejua ati eeh nini inafanyika. Eeh</English>.  Like <English>tulikuwa tunafundishwa eti</English> like the same same way you see media helps a lot in shaping our role. Because <English>tuseme mtu akizaliwa. Wewe ukizaliwa ulikuwa unajua wewe ni msichana? Hukujua</English>. So it is through the language that you are taught. Whether it is through the things that you heard that when you come to know that “oh!’ By the-in fact by the time a person is three years <English>alishajua mimi ni msichana</English>. Because <English>anaona wasichana</English> they put on skirts, that is if you are in the: <English>hu-huko kwa</English> village <English>utajua wasichana</English> put on the skirts, <English>wasichana</English> they mostly stay-stay near their parents or <English>karibu na mama yao</English>. So <English>kama hakuna</English> language there is no way these people will know this. So it is through this language that people get to know who they are.  Again it is through the language that umm, whatever is expected is transmitted from one person to the other.  [uncertain transcription] <English>Kama jamii inakuhitaji uwe mtu wa kiwango hiki utajua kutokana na lugha</English>, that is language. And so language has a very big role in shaping our roles and also in deciding what type of a person you will become. ",,,,,,,,
,,Interviewer,,"Okay. Now that you’ve talked of if you’re brought up maybe in these rural areas you have a chance to know your language and you can avoid some of these western behaviors like gayism. But recently in the news, we ha-eh-they were talking about Kisumu is leading in homosexuality. Does it mean Kisumu town is a mixture of people, how would you explain that? Now that Kisumu is…a rural area. We can say-okay it’s a city but it’s more of the Luos in-in-in Kisumu. So you would say they know their language. Why? Why then-why then the-the gayism?","Okay. Now that you’ve talked of if you’re brought up maybe in these rural areas you have a chance to know your language and you can avoid some of these western behaviors like gayism. But recently in the news, we ha-eh-they were talking about Kisumu is leading in homosexuality. Does it mean Kisumu town is a mixture of people, how would you explain that? Now that Kisumu is…a rural area. We can say-okay it’s a city but it’s more of the Luos in-in-in Kisumu. So you would say they know their language. Why? Why then-why then the-the gayism?",,,,,,,,
,,Fred,00:12:18mins,"But you see, eeh that I also heard the report but I never consented to it. I think the-they are just [uncertain transcription] ","But you see, eeh that I also heard the report but I never consented to it. I think the-they are just [uncertain transcription] ",,,,,,,,
,,Interviewer,,[uncertain transcription],[uncertain transcription],,,,,,,,
,,Fred,,"[uncertain transcription] But again, you see, mmm the fingers are not the same. Yea. The-why I say the fingers are not the same you find that whether a person knows-yea, <Swahili>mtu anaweza kuwa anajua lugha yake</Swahili> but he knows that this is not expected of me but then <Swahili>mtu atafanya tu. Eeh-the-wanasema mm yani mtu ana-</Swahili>people are just not usually <Swahili>ni kuto-kutotumia tu akili. Hata</Swahili> there's no language thing in it.  It's people are just now not using their minds. Like it’s-most people perceive Muslims as people who are the-<Swahili>wanasema ni watu ambao wana:-yani</Swahili> they like killing people. Eeh <Swahili>ukisikia maalshabab watasema hao ni waislamu. Ukisikia sijui watu wanafanya nini utasema ni waislamu</Swahili> but you see, that is not whatever is expected of the Muslims. Yea, <Swahili>kunatu-wanasema-wanasema sisi tunasema kikwetu unajua ukichuwa ndengu na upike, siyo yote yataiva. Eh kuna ile ukikula uta-kuna ile itakuwa inagongagonga meno, eeh</Swahili> (he laughs, they both laugh). So it’s just the same thing here. Even in the:-you can take that [uncertain transcription] community in Kisumu as <Swahili label='low expertise'>ndengu. Kisha</Swahili label='low expertise'> these that are now doing the wrong thing <Swahili>sasa hiyo ndio ile haikuiva vizuri</Swahili>. (he laughs)","[uncertain transcription] But again, you see, mmm the fingers are not the same. Yea. The-why I say the fingers are not the same you find that whether a person knows-yea, <English>a person may know his/her language</English> but he knows that this is not expected of me but then <English>s/he does it anyway.  Eeh-they say-mm-that is a person has-</English>people are just not usually <English>it is not-just not using your brain. Even</English> there's no language thing in it.  It's people are just now not using their minds. Like it’s-most people perceive Muslims as people who are the-<English>they say they are people who are:-that is</English> they like killing people. Eeh <English>if you here the Al Shabab they say those are Moslems. If you when people are doing I don't know what you will say it is the Moslems</English> but you see, that is not whatever is expected of the Muslims. Yea, <English>there is just-they say-they say we, we say in our language you know if you take lentils and cook them, not all of them will be fully cooked. Eh there is that if you eat you will-there is that if you eat it will be knocking the teeth, eeh</English> (he laughs, they both laugh). So it’s just the same thing here. Even in the:-you can take that [uncertain transcription] community in Kisumu as <English>lentils.  Then</English> these that are now doing the wrong thing <English>now that is that which has not cooked well</English>. (he laughs)",CS,SM: Low expertis OLF: Ndengu,"Fred codeswitches to best express his point about the few stray Luos who despite their 'proper' upbringing have decided to go against the grain.  I believe he tells the story in Swahili because he can best capture it that way. For one, it is likely that he doesn't know the English word for ndengu (lentils).",,,,,
,Why Do People Codeswitch?,Interviewer,,Okay. It’s evident that you mix languages as you speak. Why do you think we-we mix languages? And especially for-for youths?,Okay. It’s evident that you mix languages as you speak. Why do you think we-we mix languages? And especially for-for youths?,,,,,,,,
,,Fred,,"Mm, see we youths we like things that are easy. Yea, you see it’s very difficult to just-to maintain one language. <Swahili label='high solidarity'>Eh tunataka-yani tunataka njia za mkato ingawa wanasema hizo njia za mkato ni fupi ama njia ya muongo ni fupi</Swahili label='high solidarity'>, but we like them. Yea, that's the way-we’ve just find that <Swahili>ni vitu.  Unapenda huwezi zungumza kwani</Swahili> are we white? We are not <Swahili>wazungu</Swahili> (they both laugh)","Mm, see we youths we like things that are easy. Yea, you see it’s very difficult to just-to maintain one language. <English>Eh we want-I mean we want shortcuts even if they say those shortcuts are short or that a deceiver's road is short</English>, but we like them. Yea, that's the way-we’ve just find that <English>it's things. You like that you can't speak, what</English> are we white? We are not <English>white</English> (they both laugh)",CS,"SM: high solidarity. OLF: ""Tunataka njia fupi…""Fred is expressing his solidarity with the youth when he refers to himself and them as 'we'.",,,,,,
,,Interviewer,00:14:02mins,So for convenience and ease [uncertain transcription] of speaking=,So for convenience and ease [uncertain transcription] of speaking=,,,,,,,,
,,Fred,,"Yea for the ease of speaking. <Swahili>Lazima tu uta-utakuwa unachangan’ya changya’nya ndimu hapa na pale</Swahili> because like us, when you’re given birth <Swahili>tuseme huko huko kijijini</Swahili> cuz me mostly I identify with the <Swahili>kijiji</Swahili> because that’s where I come from. Aah when you’re given birth to, first you've got the language that you-you are-<Swahili>ulisikia hao watu walizungumza ni hiyo lugha-lugha hiyo lugha ya mama</Swahili>.  Like me it’s Dholuo. So you see we first learn things from Dholuo.  <Swahili>Unajua-unajua Dholuo hii-hii tuseme meza tutakuwa tunaiita-unaambiwa hii ni meza</Swahili>. So from there <Swahili>ukienda shuleni labda</Swahili> you start introducing another language...and this becomes maybe Kiswahili or English. They say-say ""table"", you see such thing. So it is something that is progressively given to-unto you such that you see but the difference now with the whiteman some <Swahili>mtu anazaliwa akijua lugha yake ni Kiingereza</Swahili>. Maybe <Swahili>hizo lugha zengine ata-atajifundisha akiwa mkuubwa</Swahili> but <Swahili label='high solidarity'>sisi</Swahili label='high solidarity'> we-we start learning languages as we grow. ","Yea for the ease of speaking. <English>For sure you will just-you will mix mix the language here and there</English> because like us, when you’re given birth <English>let's say out there in the village</English> cuz me mostly I identify with the  <English>village</English> because that’s where I come from. Aah when you’re given birth to, first you've got the language that you-you are-<English>that you heard those people speak it is that language-that language the mother tongue</English>.  Like me it’s Dholuo. So you see we first learn things from Dholuo.  <English>You know-you know this Dholuo-this let's say table we would call it-you are told this is a table</English>. So from there <English>when you go to school maybe</English> you start introducing another language...and this becomes maybe Kiswahili or English. They say-say ""table"", you see such thing. So it is something that is progressively given to-unto you such that you see but the difference now with the white man some <English>a person is born knowing his/her language is English</English>. Maybe <English>those other languages s/he will-s/he will learn when s/he has grown</English> but <English>us</English> we-we start learning languages as we grow. ",CS,"SM: high solidarity. OLF: Sisi/we. Fred is expressing his solidarity with Africans by using the ""we"" in discussing the differences with how white men and Africans are introduced to foreign languages.",,,,,,
