Name of the file,Topic,Participant ,Ln,Dialogue,Translation,CSs/DMs,Comments
,,Mary 2,,"First and foremost, our Kenya curriculum our school curriculum, we are tought in English, so we expect everybody to be conversent in English, yeah because of that school, and then the job market out there I think English is formal, formal it is used out there mostly so you have to be  able to express yourself in English yah.","First and foremost, our Kenya curriculum our school curriculum , we are tought in English, so we expect everybody to be conversent in English, yeah because of that school, and then the job market out there I think English is formal, formal it is used out there mostly so you have to be  able to express yourself in English yah.",,
,,Interviewer ,,"Ok, any other place you probally feel you need English, without English you cannot communicate?","Ok, any other place you probally feel you need English, without English you cannot communicate?",,
,,Mary 2,,"Well, proffesion no. when it comes to the media if I am a news anchor and I am presenting in English, I have to be convesant with English if I don’t no don’t that job you know!","Well, proffesion no. when it comes to the media if I am a news anchor and I am presenting in English, I have to be convesant with English if I don’t no don’t that job you know!",,
,language and culture,Interviewer ,,"How about like from where you come from? do you encounter tourist, people who can only communicate in English so there is need for you to use English?","How about like from where you come from? do you encounter tourist, people who can only communicate in English so there is need for you to use English?",,
,,Mary 2,,"Ok, well I come from Nyeri mount Kenya region and aah.. Yeah people do come there who can only commuicate in English so I think if you know how to communicate in English it's actually an added advantage because if such people come you can communicate with them yah.","Ok, well I come from Nyeri mount Kenya region and aah.. Yeah people do come there who can only commuicate in English so I think if you know how to communicate in English it's actually an added advantage because if such people come you can communicate with them yah.",,
,,Interviewer ,,So English is an added advantage for you. Howabout your native language? Is it important for you to know native language? Or for anyone?,So English is an added advantage for you. Howabout your native language? Is it important for you to know native language? Or for anyone?,,
,,Mary 2,,"My native language is suppose to be Kikuyu. I think it is important yah..yah.. Its actually very important because as much as we people are studying here in school, we expect later on we are going to give back to our communities where we come from. So Itend to think this people is they are not educated the only language they can understand is the native language and  maybe if you are working with an NGO something you want to educate your people or something the best language to communicate is native language the language which people will understand yah. so ittend to think it is very important.","My native language is suppose to be Kikuyu. I think it is important yah..yah.. Its actually very important because as much as we people are studying here in school, we expect later on we are going to give back to our communities where we come from. So Itend to think this people is they are not educated the only language they can understand is the native language and  maybe if you are working with an NGO something you want to educate your people or something the best language to communicate is native language the language which people will understand yah. so ittend to think it is very important",,
,,Interviewer ,,"Is it the only reason like that you want to speak to people who don’t speak English or Swahili, is it that the only reason? For you who already knows English and you can survive with English and Swahili. This native language, why is important why is it important to you personaly? ","Is it the only reason like that you want to speak to people who don’t speak English or Swahili, is it that the only reason? For you who already knows English and you can survive with english and Swahili. This native language, why is important why is it important to you personaly? ",,
,,Mary 2,,"I think a sense of orginality, yah, because if you are a Kalenjin.. (interapted by interviwer)","I think a sense of orginality, yah, because if you are a Kalenjin.. (interapted by interviwer)",,
,language as Identity,Interviewer ,,So you are talking identity?,So you are talking identity?,,
,,Mary 2,,"Yah, identity, yah, as in how do you differentiate we are all kenyans we both speak English and Swahili how do you know I am from this tribe? what do you show?","Yah, identity, yah, as in how do you differentiate we are all kenyans we both speak English and Swahili how do you know I am from this tribe? what do you show?",,
,,Interviewer ,,so you feel language is something that expresses your identity?,so you feel language is something that expresses your identity?,,
,,Mary 2,,"Yah, your identity.","Yah, your identity.",,
,,Interviwer ,,And what else a part from identity? ,And what else a part from identity? ,,
,,Mary 2,,"well, I tend to think the sense that you belong to particular groupe of people..yah.I tend to think that because as much you speak English and Swahili we should understand that this are not our original languages so.. yah. So actually is very important.","well, I tend to think the sense that you belong to particular groupe of people..yah.I tend to think that because as much you speak English and Swahili we should understand that this are not our original languages so.. yah. So actually is very important.",,
,,Interviwer ,,"Ok, so in eveyday conversation do you mix languages, in conversation?do you mix languages?","Ok, so in eveyday conversation do you mix languages, in conversation?do you mix languages?",,
,,Mary 2,,"yah, at certain times you do.","yah, at certain times you do.",,
,,Interviwer ,,Which languages do you mix?,Which languages do you mix?,,
,,Mary 2,,Mostly I mix English and Swahili.,Mostly I mix English and Swahili.,,
,,Interviewer ,,So why? Why would you want mix languages? what instances are this?,So why? Why would you want mix languages? what instances are this?,,
,*,Mary 2,,"You know sometime, let me tell you something, you might be talking in English and then aah. Maybe you want to say something but that particular word doesn’t click at that particular time you was like<Swahili>""nilikuwa na kwambia yaitwa..""</Swahili>so you maybe express it in Swahili so that person get what you are saying.","You know sometime, let me tell you something, you might be talking in English and then aah. May be you want to say something but that particular word doesn’t click at that particular time you was like<English>""I was telling you.""</English> so you maybe express it in Swahili so that person get what you are saying.",,
,,Interviwer ,,Any other reason why you mix langugaes?,Any other reason why you mix langugaes?,,
,,Mary 2,,"I also tend to think sometimes it is fun, as in just interesting when you speaking, like there is this word I don’t know how to put it  ""I am cud then<Swahili>nikaenda</Swahili>then you know how to clean clothes then I<Sheng>fuad""</Swahili>and stuff<Swahili>yani it's nice.","I also tend to think sometimes it is fun, as in just interesting when you speaking, like there is this word I don’t know how to put it<English>woke up</English>then<English>I went</English>then you know how to clean clothes then I<Slang>wash</English>and stuff<English>meaning</English>it's nice.",,
,when to mix the language,Interviwer ,,Do you plan to mix laguages or it comes to you naturally?,Do you plan to mix laguages or it comes to you naturally?,,
,,Mary 2,,"Not really, sometimes like I told you earlier it depends maybe you don’t have that particular word at that time,that you speaking so it just come naturally most of the times, it comes naturally<Swahili>lakini</Swahili>sometimes you can plan maybe today we will mix English and Swahili in what terms? I want you to use that particular way to communicate.","Not really, sometimes like I told you earlier it depends maybe you don’t have that particular word at that time,that you speaking so it just come naturally most of the times, it comes naturally<English>but</English>sometimes you can plan maybe today we will mix English and Swahili in what terms? I want you to use that particular way to communicate.",,
,,Interviewer ,,And do you address everyone by mixing languages or there specific people?,And do you address everyone by mixing languages or there specific people?,,
,,Mary 2,,"Not really, you know when it comes to mixing languages I tend to think that mostly when you are communicating with your friends because now you are my teacher I cant telling  you ""teacher you know I did that work<Swahili>lakini</Swahili>I was late in class because I had<Sheng>fuad</Swahili>clothes and stuff' you know I tend to think..","Not really, you know when it comes to mixing languages I tend to think that mostly when you are communicating with your friends because now you are my teacher I cant telling  you ""teacher you know I did that work<English>but</English>I was late in class because I had<Slang>washed</English>clothes and stuff' you know I tend to think..",,
,,Interviwer ,,So it's a specific group or is it group or contest?,So it's a specific group or is it group or  contest?,,
,,Mary 2,,As in what do you mean group or a contest?,As in what do you mean group or a contest?,,
,,Interviewer ,,"If it is aah.. Like a lecturer you don’t do that to him. How about If it is a parent at home or somebody who is not your lecturer but of a different age at home, do you mix languages with those people?","If it is aah.. Like a lecturer you don’t do that to him. How about If it is a parent at home or somebody who is not your lecturer but of a different age at home, do you mix languages with those people?",,
,,Mary 2,,"Well and aah..<Swahili>hapo</Swahili>tend to think now the issue of flexibility comes in, you know the way you relate with people you know how different people behave, you know how different people talk, so the way I will talk to you is not the way I will talk to somebody else. So it depends with the person. And mostly<Swahili>pia</Swahili>the contest yah, it depends what you are talking about some seriouse stuff<Swahili>saa zile kuna</Swahili>sense<Swahili>ya</Swahili>formality you don't do that yah.","Well and aah..<English>that</English>I tend to think now the issue of flexibility comes in, you know the way you relate with people you know how different people behave, you know how different people talk, so the way I will talk to you is not the way I will talk to somebody else. So it depends with the person. And mostly<English>also</English>the contest yah, it depends what you are talking about some seriouse stuff<English>when there is</English>sense<English>of</English>formality you don't do that yah.",,
,,Interviewer ,,So it's more easly done with your peers?,So it's more easly done with your peers?,,
,,Mary 2,,"Yah, it's actually done with my peers","Yah, it's actually done with my peers",,
,,Interviwer ,,And have you noticed any difference between the way you speak and the way other students speak?,And have you noticed any difference between the way you speak and the way other students speak?,,
,,Mary 2,,"Yah, I have.","Yah, I have.",,
,How to identify people using language,Interviwer ,,what's the difference that you have noticed?,what's the difference that you have noticed?,,
,,Mary 2,,"Ok, sometimes I can as in the accent, maybe most of the times the way luo's(tribe) speak<Swahili>wenye wamekulia uko ndani ndani </Swahili>  you tend to..as in<Swahili>yani</Swahili>deffinetly when somebody speak<Swahili>unajua eeh.. Huyu ni mjaka..</Swahili>Simply..(interapted by interviwer) ","Ok, sometimes I can as in the accent, maybe most of the times the way luo's(tribe) speak<English>those who have grown in the village</English>you tend to..as in<English>meaning</English>deffinetly when somebody speak<English>you know eeh.. this is a luo..</English>Simply..(interapted by interviwer) ",,
,,Interviwer ,,"So you can tell where somebody comes from, from the way they speak? Apart from the accent?","So you can tell where somebody comes from, from the way they speak? Apart from the accent?",,
,,Mary 2,,"A part from the accent, aah.. Yah<Swahili>pia kama pia tumsee Sheng,kuna</Swahili>different shengs..(interviwer interapts)","A part from the accent, aah.yah<English>also if also somebody sheng, there is</English>different Shengs..(interviwer interapts)",,
,,Interviewer ,,"Sheng here, we are talking about the mixture of English and Swahili.","Sheng here, we are talking about the mixture of English and Swahili.",,
,,Mary 2,,Yah<Swahili>yani kuna</Swahili>words<Swahili>zingine</Swahili>they are used in aparticular place and other in other places.,Yah<English>therefor there are</English>words<English>others</English>they are used in aparticular place and other in other places.,,
,,Interviewer ,,So you can tell this person is problelly from this region or the other one you can do that?,So you can tell this person is problelly from this region or the other one you can do that?,,
,,Mary 2,,"Yah, you can do that.","Yah, you can do that.",,
,,Interviewer ,,"mmm!! How can u tell? Like yes you said you can that this person is a Luo(tribe), how can you tell just, can you tell me that again?","mmm!! How can u tell? Like yes you said you can that this person is a Luo(tribe), how can you tell just, can you tell me that again?",,
,,Mary 2,,"From the way a person talks as,in as in<Swahili>kama wajaka(Luos)</Swahili>most of the time when they are speaking<Swahili>kuna ile</Swahili>accent<Swahili>ya kijaka</Swahili>as in as much as somebody is communicating in English or Swahili<Swahili>unaona ile</Swahili>interference<Swahili>ya</Swahili>mother tounge<Swahili>iko hapo</Swahili>way somebody utters words.","From the way a person talks as in, as in<English>like luos(tribe)</English>most of the time when they are speaking<English>there is that</English>accent<English>of luo</English>as in as much as somebody is communicating in English or Swahili<English>you see the</English>interference<English>of</English> mother tounge<English>is there</English>the way somebody utters words.",,
, Background,interviewer,,"So what you are saying is, when you are talking to somebody you are seeing them, you can tell that this person is from Nyanza (place in Kenya). How about if you can't see this peson, they are speaking, you just hear can you tell their background?  ","So what you are saying is, when you are talking to somebody you are seeing them, you can tell that this person is from Nyanza (place in Kenya). How about if you can't see this peson, they are speaking, you just hear can you tell their background?  ",,
, ,Mary 2,,"Yah, if somebody is speaking that accent, you know as much as we are talking about  aah!!!! seeing a person and<Swahili>saa zingine</Swahili>not neccesarily<Swahili>hata ukuwe umemwona huyo mtu, tuseme</Swahili>you are talking to somebody through the phone and this somebody is a Kikuyu<Swahili>kuna</Swahili>the way Kikuyus use...<Swahili>pia</Swahili>as in<Swahili>unajua</Swahili>definately<Swahili>huyu msee mi mkikuyu</Swahili>as in are you getting my point?","Yeah, if somebody is speaking that accent, you know as much as we are talking about  aah!!!! seeing a person and<English>sometimes</English>not neccesarily<English>even when you have seen that person,let's say</English>you are talking to somebody through the phone and this somebody is a Kikuyu<English>there is</English>the way Kikuyus use..<English>also</English>as in<English>you know</English>definately<English>this person is a Kikuyu</English>as in are you getting my point?",,
,Level of Education,Interviewer,,"yes, yes and aah! other things can you tell this person is of this level of education? From the way, just hearing may be even on radio or as you said on phone can you tell the level of education or things like political affiliation can you? How?","yes, yes  and aah! other things can you tell this person is of this level of education? From the way, just hearing may be even on radio or as you said on phone can you tell the level of education or things like political affiliation can you? How?",,
,,Mary 2,,"Yeah, ","Yeah,",,
,,Interviewer,,How?,How?,,
,,Mary 2,,"Yah, they way somebody talks as in  there is a lot you can learn fom that person for instance, when you are talking to somebody maybe not highly educated,when it comes maybe to  the English, as in you will gauge the way they talk may be simple words, you don't expect them to know complex words in English. You are getting? so I tend to think  that aah! like now the professor is talking, from the way he is atticulating his words from the level he is speaking, you definately know that this peson is highly learned but may be my English is not that good. You are getting my point? as in yah that is .....","Yeah, they way somebody talks as in  there is a lot you can learn fom that person for instance, when you are talking to somebody maybe not highly educated,when it comes may be to  the English, as in you will gauge the way they talk maybe simple words, you don't expect them to know complex words in English. You are getting? so I tend to think  that aah! like now the professor is talking, from the way he is atticulating his words from the level he is speaking, you definately know that this peson is highly learned but maybe my English is not that good. You are getting my point? as in yah that is .....",,
,,Interviewer,,You can tell levels of education?,You can tell levels of education?,,
,,Mary 2,,"Yah, you can actually tell","Yah, you can actually tell",,
,Positions in the Society,Interviewer,,How about position in societies?,How about position in societies?,,
,,Mary 2,,Positions in the societies?,Positions in the societies?,,
,,Interviewer,,"Like this is somebody senior, is a manager and another one is just aah!!! House help? Is it possible to tell those differences from these people?","Like this is somebody senior, is a manager and another one is just aah!!! House help? Is it possible to tell those differences from these people?",,
,,Mary 2,,"Yah, you can, sometimes maybe<Swahili>tuseme</Swahili>you are in a certain home and then you hear somebody commanding<Swahili>""sinilikuambia ufanye hivi and  hivi?""Yaani</Swahili>if somebody is commanding like<Swahili>si hati anarequest ama</Swahili>something you definataely know that this person is the head of that house, you get? Lakini if somebody  maybe is just humble and<Swahili>sikufu</Swahili>you you yeah. From that I tend to think yeah you can tell.","Yeah you can, sometimes maybe<English>let's say</English> you are in a certain home and then you hear somebody commandin<English>""I told you do this and this?"" in that</English>if somebody is commanding like<English>it's not like you are requesting or</English>something you definataely know that this person is the head of that house, you get?<English>But</English>if somebody  maybe is just humble and<English>not to</English>you you yeah. From that I tend to think yeah you can tell.",,
,Politics ,Interviewer,,Political affiliation? anything you can from the way somebody speaks?,Political affiliation? anything you can from the way somebody speaks?,,
,,Mary 2,,Yah I tend to think thatpolitics actually.,Yeah I tend to think that politics actually.,,
,,Interviewer,,You are free to touch your parties.,You are free to touch your parties.,,
,,Mary 2,,"Ok fine. When it comes to matters of politics, Kenyans are so sentitive maybe you are discussing about JUBILEE (political party) or you are discusing about CORD (political party) and the person who as in<Swahili>mwenye yuko</Swahili>so much into Cord loves Raila(Cord leader) and starts like<Swahili>hata anakasirika</Swahili>you know and from the way he talks you sense that this person is actually<Swahili>mtu wa Jubilee damu</Swahili>you can't yeah you can't do anything this person really loves this man<Swahili>na</Swahili>passion and stuff yeah.","Ok fine. When it comes to matters of politics, Kenyans are so sentitive maybe you are discussing about JUBILEE (political party)  or you are discusing about CORD (political party)  and the person who as in<English>who is</English>so much into Cord loves Raila(Cord leader) and starts like<English>even get mad</English>you know and from the way he talks you sense that this person is actually<English>person of bloody Jubilee you</English>can't yeah you cant do anything this person really loves this man<English>with</English>passion and stuff yeah.",,
,,Interviewer,,So from the language you can tell the background of a person?,So from the language you can tell the background of a person?,,
,,Mary 2,,"Yah, you can. ","Yah, you can",,
,Different languages with different people ,Interviewer,,Aaah!!! Do you use different languages for different people?,Aaah!!! Do you use different languages for different people?,,
,,Mary 2,,"Yah, like aah I told you most of the times when it comes to communicating maybe with my lecturers, my teachers, maybe the yeah in such an environment I wil speak in English because I tend to think that English is the formal languge yah, when it comes to my friends, my friends<Swahili>wenye yaani</Swahili>we are close<Swahili>tuna weza bonga na hawa Sheng Swahili and ....(unfinish statement)","Yah, like aah I told you most of the times when it comes to communicating maybe with my lecturers, my teachers, maybe the yeah in such an environment I wil speak in English because I tend to think that English is the formal languge yah, when it comes to my friends, my friends<English>who are, I mean</English>we are close<English>we can speak with them Slang<English>Swahili and ...(unfinished statement)",,
,,Interviewer,,Don’t you think thee are students who will speak to their lecturers in the Slang.,Don’t you think thee are students who will speak to their lecturers in the Slang.,,
,,Mary 2,,"Yah, there are students who do that.","Yah, there are students who do that.",,
,,Interviewer,,Why do they do that?,Why do they do that?,,
,,Mary 2,,Sometimes it comes unknowingly because your are used to speaking in Sheng(slang) to anybody.,Sometimes it comes unknowingly because your are used to speaking in the Sheng (Slang) to anybody.,,
,,Interviewer,,So it is not continuous.,So it is not continuous.,,
,,Mary 2,,"Yah, you  just find yourself  speaking.","Yah, you  just find yourself  speaking.",,
,,Interviewer,,But you personally you will not  never speak in Slang to a lecturer?,But you personally you will not never speak in Slang to a lecturer?,,
,,Mary 2,,Ok fine. aah!! let me say that Sometimes maybe<Swahili>nikuwe ule</Swahili>unaware<Swahili>kabisa unajua</Swahili>sometimes you do talk<Swahili>lakini</Swahili you are unaware because like now sometimes I find myself when I am communicating with my dad me<Swahili>ucommunicate na yeye na Sheng yah. Sasa  lakini nikiambia besthe yangu hivyo ananiambia<Swahili>what? your dad? its like.,"Ok fine. aah!! let me say that Sometimes may be<English>I am that</English>unaware<English>very much, you</English>sometimes you do talk<English>but</English>you are unaware because like now sometimes I find myself when I am communicating with my dad me<English>usually communicate with him in Slang. Now but if I tell my friend that he/she tells me</English>what? your dad? its like. ",,
,,Interviewer,,They don’t do that with their.. with their father yeah?,They don’t do that with their with their father yeah?,,
,,Mary 2,,mmm.. so..,mmm so..,,
,Changing the way of talking,Interviewer,,Oh ok . And aah!!! Have you ever tried to change the way you talk?,Oh ok . And aah!!! Have you ever tried to change the way you talk?,,
,,Mary 2,,Trying to change the way you talk?,Trying to change the way you talk?,,
,,Interviewer,,yeah!,yeah!,,
,,Mary 2,,Ok at some point I have ever tried.,Ok at some point I have ever tried,,
,,Interviewer,,Why was that necessary to do?,Why was that necessary to do?,,
,,Mary 2,,Ok fine like now aah!!! In my proffesion  I don’t expect.,Ok fine like now aah!!! In my proffesion I don’t expect,,
,,Interviewer,,Please tell us your profession again?,Please tell us your profession again?,,
,,Mary 2,,"Ok fine am not yet am not yet there yeah, yeah ","Ok fine am not yet am not yet there yeah, yeah ",,
,,Interviewer,,You are trying  to be what?,You are trying  to be what?,,
,,Mary 2,,A journalist.,A journalist.,,
,,Interviewer,,Go on.. ,Go on.. ,,
,,Mary 2,,Aah!! I don’t expect my language to be like that of a layman I have to communicate in a way that people will understand my message my the way I atticulate my words .,Aah!! I don’t expect my language to be like  that of a layman I have to  communicate in a way that people will understand my message my the way I atticulate my words,,
,,Interviewer,,How does a layman speaks?  That you don’t want to speak like a layman?,How does a layman speaks?  That you don’t want to speak like a layman?,,
,,Mary 2,,"You know I tend to think that in every profession there are ethics you just don’t speak like now the way you speak to my classmates<Swahili>""wee!! niaje</Swahili>you get in?""  As in rough yah.","You know I tend to think that in every profession there are ethics you just don’t speak like now the way you speak to my classmates<English> ""hey</English>you get in?"" As in rough yah.",,
,,Interviewer,,And do this lay people speak in certain languges?,And do this lay people speak in certain languges?,,
,,Mary 2,,Mostly  me.,Mostly  me.,,
,,Interviewer,,Forget about the way they speak but they languages?,Forget about the way they speak but they languages?,,
,,Mary 2,,Certain languages?,Certain languages?,,
,,Interviewer,,Yah!!,Yah!!,,
,,Mary 2,,Mostly<Swahili>tuseme Sheng yeah!!,Mostly<English>lets say Slang yah!!!,,
,,Interviewer,,Mosly Sheng for lay people?,Mosly Sheng for lay people?,,
,,Mary 2,,Yah!!,Yah!!,,
,,Interviewer,,For a professional what kind of language is more popular?,For a professional what kind of language is more popular?,,
,,Mary 2,,English but aah!! Swahili<Swahili>pia.,English but aah!! Swahili<English>also.,,
,,Interviewer,,So are you successfully changing to the way  you speak? The way you talk?,So are you successfully changing to the way  you speak? The way you talk?,,
,,Mary 2,,"Ok when it comes to changing the way I talk ok What I actually mean here is that, it depends as in with the field maybe if I am reporting something, if I am reporting something, I will not report it the same way I will act at that field you get in? they way I encouter and the way I report is different beacuse when you are reporting when you are preporting according to me, it's me its more like you are reading it to people as in it's more like you are telling them<Swahili>lakini</Swahili>when you are when you are  reporting I tend to think  it's like it's more of narrating as in you have to make your audience as in you have to capture the attention of the audience.","Ok when it comes to changing the way I talk  Ok  aah!! What I actually mean here is that, it depends  as in with the field maybe if I am reporting something, if I am reporting something, I will not report it the same way I will act at that field you get in? they way I encouter and the way I report is different beacuse when you are reporting when you are reporting according to me, it's me its more like you are reading it  to people as in its more like you are telling them<English>but</English>when you are when you are reporting I tend to think it's like its more of narrating as in you have to make your audience as in you have to capture the attention of the audience.",,
,,Interviewer,,Ok.,Ok,,
,,Mary 2,,Yah!!,Yah!!,,
,,Interviewer,,So get the profession abit.,So get the profession a bit.,,
,,Mary 2,,Yah!!,Yah!!,,
,,Interviewer,,Just in daily life have you ever tried to change the way you talk? Maybe you encounter somebody and you feel you want to talk in a certain way.,Just in daily life have you ever tried to change the way you talk? Maybe you encounter somebody and you feel you want to talk in a certain way.,,
,,Mary 2,,Yah!!,Yah!!,,
,,Interviewer,,Tell me tell me such incidences,Tell me tell me such incidences,,
,,Mary 2,,"Yah, it does happen sometimes for instance when I meet  my luo friends I try to emulate the way they talk yah the reason is to why I do that, is I feel like as in  we will communicate better that’s how I feel I actually feel. I feel  that as in everybody will be composed the environment wil be condusive for us.","Yah, it does happen sometimes for instance when I meet my luo friends I try to emulate the way they talk yah the reason is to why I do that, is I feel like as in  we will communicate better that’s how I feel I actually feel. I feel  that as in everybody will be composed the environment wil be condusive for us",,
,,Interviewer,,So will you be trying to accommodate the other your friends?,So will you be trying to accommodate the other your friends?,,
,,Mary 2,,Yah!!,Yah!!,,
,,Interviewer,,Or do they accommodate you?,Or do they accommodate you?,,
,,Mary 2,,"Yah, they actually do as in I tend to think that sometimes you meet somebody like now most of my friends are from Coast sometimes you have to switch to that accent so that you are in the same sphere yah, you can communicate yah and get what others are saying.","Yah, they actually do as in I tend to think that sometimes you meet somebody like now most of my friends are from Coast sometimes you have to switch to that accent so that you are in the same sphere yah you can communicate yah and get what others are saying.",,
,,Interviewer,,So what you are telling me is that for reagionally for different regions you change the way you speak.,So what you are telling me is that for reagionally for different regions you change the way you speak.,,
,,Mary 2,,"Yeah, I do, I do I try as much as I don’t do it like they do but I try.","Yeah, I do I do I try as much as I don’t do it like they do but I try.",,
,,Interviewer,,A part from that any other instance you feel you need to change the language? Not just based on regions or background of somebody anything else?,A part from that any other instance you feel you need to change the language? Not just based on regions or background of somebody anything else?,,
,,Mary 2,,"Well aah! as I told you, I tend to think that Sheng<Swahili>ni</Swahili>different as in according to the place<Swahili>mtu mwenye ametoka</Swahili>so if maybe am speaking  Sheng<Swahili>ya</Swahili>particular place and you are from a different place, I will try also to to emulate you as in to speak the way you speak yah at that point I will change they way I speak.","Well aah! as I told you, I tend to think that  Sheng<English>is</English>different as in according to the place<English>a person is from</English>if maybe am speaking Sheng<English>of</English>particular place and you are from a different place, I will try also to to emulate you as in to speak the way you speak yah at that point I will change they way I speak.",,
,,Interviewer,,Ok.,Ok.,,
,,Mary 2,,Yah!!,Yah!!,,
,Topics  to speak with friends,Interviewer,,What are some of the topics or issues that you discuss with your friends this days?,What are some of the topics or issues that you discuss with your friends this days?,,
,,Mary 2,,Ok you know.,Ok you know.,,
,,Interviewer,,Currently what are you talking about?,Currently what are you talking about?,,
,,Mary 2,,"Well, I tend to think what we talk about comes naturally you don’t plan that today I will talk about this but mostly.","Well, I tend to think what we talk about comes naturally you don’t plan that today I will  talk about this but mostly.",,
,,Interviewer,,But of late if you remember any topics that have been yah.,But of late if you remember any topics that have been yah.,,
,,Mary 2,,Of late politics yeah because.,Of late politics yeah because.,,
,,Interviewer,,"Politics, what about politics for example?","Politics, what about politics for example?",,
,,Mary 2,,What about politics? like now the MP's(Members of Perliament)<Swahili>sijui</Swahili>they wanted to do what the budget and stuff I tend to think that sometimes the current afairs what is actually happening in the country shapes what you are actually going to discuss yah because<Swahili>nikiwa hapa</Swahili>and then<Swahili>nisikie wasee leo</Swahili>budget<Swahili>inasomwa leo</Swahili>and stuff you know I tend to discuss that.,What about politics? like now the MP's(Members of Perliament)<English>I don't know</English>they wanted to do what the budget and stuff I tend to think that sometimes the current afairs what is actually happening in the country shapes what you are actually going to discuss yah because<English>I was here</English>and then<English>I heard people today</English>budget<English>is been read today and stuff you know I tend to discuss that.,,
,,Interviewer,,Do you remember any topic you have talked about apart from politics?,Do you remember any topic you have talked about apart from politics?,,
,,Mary 2,,Aaah!!,Aah!!,,
,,Interviewer,,Do you remember any other topic?,Do you remember any other topic?,,
,Profession,Mary 2,,Profession.,Profession.,,
,,Interviewer,,Profession?,Profession?,,
,,Mary 2,,Yah (agree).,Yah (agree).,,
,,Interviewer,,what about profession?,what about profession?,,
